date,fiyat,pay,hesap,buyukluk
2024-09-02,0.311485,34107719434.973,469476,10624044091.67
2024-09-03,0.311317,34159969814.533,469990,10634574545.0
2024-09-04,0.305618,34174767697.527,470243,10444407990.75
2024-09-05,0.304475,34303086877.84,470954,10444429470.38
2024-09-06,0.309478,34303742956.96,471344,10616244526.75
2024-09-09,0.305876,34301657311.995,471802,10492049460.14
2024-09-10,0.304892,34337569177.008,472779,10469233871.68
2024-09-11,0.304502,34408039773.56,473520,10477324266.21
2024-09-12,0.313112,34457846311.95,474374,10789156377.99
2024-09-13,0.311304,34490044024.704,475312,10736901961.47
2024-09-16,0.312953,34541822938.275,476446,10809976487.22
2024-09-17,0.314121,34544693683.576,477364,10851228997.43
2024-09-18,0.31549,34554861248.343,478685,10901695996.69
2024-09-19,0.312767,34624393734.665,479483,10829382100.35
2024-09-20,0.319483,34635487866.749,479953,11065441429.6
2024-09-23,0.320245,34666884589.963,480414,11101896701.71
2024-09-24,0.324603,34695845785.746,481023,11262387048.73
2024-09-25,0.324469,34858395806.565,481897,11310467452.0
2024-09-26,0.329014,34967430928.951,482498,11504759496.11
2024-09-27,0.330059,34985126722.436,482936,11547169765.28
2024-09-30,0.336753,35001591404.993,483451,11786903103.58
2024-10-01,0.338409,35022440476.211,484095,11851903376.83
2024-10-02,0.33748,35059697541.203,484739,11831962012.05
2024-10-03,0.330113,35160582656.476,485923,11606964630.24
2024-10-04,0.330699,35218559503.688,487406,11646753983.65
2024-10-07,0.329399,35225874543.226,488055,11603356581.05
2024-10-08,0.329956,35284769579.037,488575,11642407827.96
2024-10-09,0.324267,35415065209.713,489118,11483930292.19
2024-10-10,0.322931,35460596647.223,489659,11451318622.25
2024-10-11,0.332315,35475671789.48,490075,11789094664.29
2024-10-14,0.332842,35467510392.888,490394,11805071001.28
2024-10-15,0.33147,35489881008.614,490880,11763816451.5
2024-10-16,0.340042,35545603318.385,491237,12087002958.06
2024-10-17,0.336318,35570831510.799,491660,11963121670.78
2024-10-18,0.341247,35620082540.923,492359,12155237933.3
2024-10-21,0.34034,35623438080.828,492772,12124090293.74
2024-10-22,0.347586,35637594699.111,493165,12387134879.2
2024-10-23,0.346979,35657716066.792,493700,12372496121.02
2024-10-24,0.34972,35724014937.408,494338,12493414991.67
2024-10-25,0.343412,35739699780.007,494695,12273439086.44
2024-10-28,0.351275,35754071490.36,495021,12559494564.58
2024-10-30,0.351079,35756785877.454,495243,12553443201.62
2024-10-31,0.351412,35797370196.628,495801,12579637292.81
2024-11-01,0.351585,35821682990.08,495991,12594363929.01
2024-11-04,0.349877,35853093059.226,496430,12544188510.63
2024-11-05,0.34695,35909611613.954,496773,12458851486.01
2024-11-06,0.346829,36004138593.262,497637,12487276427.54
2024-11-07,0.342671,36036825939.642,497970,12348792799.88
2024-11-08,0.340936,36108364015.524,498357,12310629467.33
2024-11-11,0.339133,36036308878.935,498655,12221093805.65
2024-11-12,0.3332,36053723398.913,499305,12013098574.57
2024-11-13,0.335727,36085381733.047,500530,12114830760.2
2024-11-14,0.331807,36111096491.539,501115,11981914048.37
2024-11-15,0.335085,36104207431.765,501393,12097992781.25
2024-11-18,0.341021,36094984793.253,501694,12309159742.86
2024-11-19,0.333463,36082416395.191,502056,12032143124.8
2024-11-20,0.34445,36143334096.544,502713,12449556638.97
2024-11-21,0.340533,36181361837.069,503273,12320936086.64
2024-11-22,0.342283,36193215756.288,503569,12388325955.01
2024-11-25,0.3506,36232153159.239,503983,12702991506.44
2024-11-26,0.342874,36250088728.382,504312,12429230952.52
2024-11-27,0.340339,36268487644.725,504786,12343589028.68
2024-11-28,0.342014,36224445075.779,505171,12389260373.49
2024-11-29,0.340551,36231107281.096,505492,12338528732.36
2024-12-02,0.338807,36286287774.079,505751,12294045917.74
2024-12-03,0.338585,36281255836.155,506095,12284285246.76
2024-12-04,0.340271,36389028477.439,506614,12382147411.04
2024-12-05,0.34016,36486696608.803,507209,12411301633.08
2024-12-06,0.333922,36476383384.131,507319,12180250943.51
2024-12-09,0.337687,36483036722.433,507657,12319842496.89
2024-12-10,0.335322,36487068497.686,507928,12234904295.52
2024-12-11,0.341913,36476251789.258,508318,12471711972.13
2024-12-12,0.342148,36450375804.307,508515,12471405506.24
2024-12-13,0.34571,36383221376.223,507957,12578026776.06
2024-12-16,0.340155,36353836117.197,507844,12365922012.18
2024-12-17,0.338889,36323861620.352,507816,12309739363.74
2024-12-18,0.334923,36286870457.332,507915,12153310088.7
2024-12-19,0.336034,36370525931.884,508387,12221747606.67
2024-12-20,0.332798,36375526093.568,508633,12105693620.2
2024-12-23,0.333147,36362682976.357,508796,12114121606.36
2024-12-24,0.337081,36343266624.262,509016,12250629515.84
2024-12-25,0.333049,36372077700.713,509218,12113684924.09
2024-12-26,0.331702,36396287592.757,509475,12072723812.58
2024-12-27,0.341369,36407365414.327,509708,12428335774.8
2024-12-30,0.336738,36425857252.953,510037,12265976928.46
2024-12-31,0.334166,36431893237.304,510253,12174313933.41
2025-01-02,0.336147,36457619463.296,510509,12255127635.16
2025-01-03,0.337899,36500014711.681,510682,12333329437.12
2025-01-06,0.339406,36539747081.881,510926,12401820137.73
2025-01-07,0.331173,36606337066.08,511462,12123024927.42
2025-01-08,0.334756,36510647046.638,511494,12222144093.92
2025-01-09,0.33503,36516645309.123,511699,12234166627.61
2025-01-10,0.334544,36501098644.418,511671,12211219924.54
2025-01-13,0.340381,36487333919.338,511706,12419578093.16
2025-01-14,0.341906,36489218410.428,511811,12475879769.03
2025-01-15,0.339265,36468456255.805,511820,12372487950.18
2025-01-16,0.340244,36528012804.337,511898,12428439428.52
2025-01-17,0.342405,36599295703.01,511991,12531782369.72
2025-01-20,0.342831,36629612795.624,512446,12557763104.2
2025-01-21,0.343262,36650914134.248,512823,12580865663.68
2025-01-22,0.345583,36640374671.943,513117,12662276542.22
2025-01-23,0.348281,36725306717.741,513612,12790735697.41
2025-01-24,0.347883,36714269264.709,513767,12772278659.49
2025-01-27,0.349725,36786111720.827,514067,12865031660.42
2025-01-28,0.349958,36786758090.41,514285,12873804051.78
2025-01-29,0.348183,36809080483.126,514593,12816283055.52
2025-01-30,0.350451,36867644464.204,514931,12920292498.56
2025-01-31,0.352357,36875566270.798,515245,12993361955.25
2025-02-03,0.35681,36883539808.444,515520,13160423278.08
2025-02-04,0.357818,36899620650.033,515955,13203332681.64
2025-02-05,0.361573,37009814983.818,516432,13381739312.8
2025-02-06,0.366626,37147097384.711,517152,13619100553.62
2025-02-07,0.361466,37158529172.191,517480,13431538787.43
2025-02-10,0.36579,37204841172.934,517917,13609145983.93
2025-02-11,0.371369,37256434862.483,518363,13835897557.99
2025-02-12,0.373039,37290927036.158,518791,13910958965.47
2025-02-13,0.371281,37359132814.038,519456,13870732147.25
2025-02-14,0.376531,37358444382.01,519892,14066625880.67
2025-02-17,0.377476,37385906310.333,520374,14112296737.65
2025-02-18,0.375227,37415685559.704,520976,14039371761.89
2025-02-19,0.386351,37442698320.44,521590,14466012535.28
2025-02-20,0.390638,37561922687.601,522710,14673114792.96
2025-02-21,0.388829,37615416180.743,523428,14625972819.15
2025-02-24,0.390232,37619669937.17,523787,14680395870.55
2025-02-25,0.391454,37663495591.391,524441,14743514908.28
2025-02-26,0.390993,37705287175.402,524957,14742485108.48
2025-02-27,0.38569,37783612063.082,525695,14572768058.58
2025-02-28,0.382,37846639904.267,526566,14457429491.4
2025-03-03,0.377761,37872228550.918,527178,14306640087.95
2025-03-04,0.377961,37873187206.312,527672,14314576725.36
2025-03-05,0.382017,37966978230.056,528311,14504043902.19
2025-03-06,0.382789,38066881626.425,529023,14571587960.5
2025-03-07,0.383575,38030880422.805,529359,14587691689.96
2025-03-10,0.383924,38019783739.264,529665,14596712074.64
2025-03-11,0.384493,37975143432.805,529970,14601159611.1
2025-03-12,0.382802,37962457083.27,530399,14532090581.79
2025-03-13,0.38456,37981167996.232,530945,14606053943.98
2025-03-14,0.38933,38011711515.452,531358,14799090244.12
2025-03-17,0.393013,37958046810.137,531834,14917993784.1
2025-03-18,0.392057,37984670019.982,533270,14892137105.53
2025-03-19,0.396295,37988902441.285,534077,15054799008.02
2025-03-20,0.413531,38106431126.445,534970,15758177468.47
2025-03-21,0.412755,38103386515.746,535577,15727381295.25
2025-03-24,0.413406,38089032856.778,536281,15746226015.72
2025-03-25,0.412983,38140871071.564,537420,15751523377.81
2025-03-26,0.413332,38154604676.676,538591,15770508460.35
2025-03-27,0.413579,38218855833.774,539508,15806528154.6
2025-03-28,0.415113,38252462770.114,540763,15879109181.99
2025-04-02,0.420306,38280737500.819,541873,16089634415.3
2025-04-03,0.426689,38317625132.045,543076,16349718014.44
2025-04-04,0.426451,38386070195.143,544442,16369776646.06
2025-04-07,0.422987,38499857181.003,545415,16284926687.52
2025-04-08,0.41762,38508677794.872,545799,16082013200.38
2025-04-09,0.414134,38528026301.276,546235,15955747929.87
2025-04-10,0.419657,38580649220.493,546836,16190648148.58
2025-04-11,0.42769,38726300161.676,548097,16562835338.26
2025-04-14,0.43904,38766789784.609,548779,17020165358.32
2025-04-15,0.438282,38824065225.367,549637,17015874005.26
2025-04-16,0.439813,38865045307.555,550269,17093365895.02
2025-04-17,0.450053,38922288244.029,550653,17517108634.22
2025-04-18,0.454288,38998335965.146,551369,17716476535.99
2025-04-21,0.454596,39015949890.12,551911,17736509282.86
2025-04-22,0.466381,39028831917.56,552435,18202307540.05
2025-04-24,0.475684,39106098320.967,553288,18602137620.99
2025-04-25,0.461552,39210836765.47,554076,18097840519.07
2025-04-28,0.454913,39231246678.616,554375,17846804877.85
2025-04-29,0.454812,39224361269.999,554749,17839711453.66
2025-04-30,0.457312,39246650396.398,555196,17947958529.72
2025-05-02,0.455969,39268488373.139,555590,17905221664.51
2025-05-05,0.454152,39289615608.477,555851,17843455913.43
2025-05-06,0.457857,39387640152.947,556386,18033918104.78
2025-05-07,0.4672,39501124390.087,557035,18454942015.7
2025-05-08,0.468423,39550200093.854,557522,18526206241.53
2025-05-09,0.464877,39568056150.917,557926,18394295159.18
2025-05-12,0.461515,39620961537.741,558257,18285685492.75
2025-05-13,0.448691,39611938468.801,558580,17773527210.41
2025-05-14,0.450063,39607440905.065,558893,17825861709.16
