date,fiyat,pay,hesap,buyukluk
2024-09-02,1.038995,899225750.0,45,934291300.05
2024-09-03,1.040288,899227661.0,46,935455555.1
2024-09-04,1.041592,899226614.0,48,936626859.55
2024-09-05,1.042896,904139294.0,47,942923627.27
2024-09-06,1.044202,874225596.0,47,912867687.58
2024-09-09,1.04813,874227960.0,48,916304659.63
2024-09-10,1.049442,876095081.0,48,919411266.54
2024-09-11,1.051389,876094962.0,49,921116794.22
2024-09-12,1.0527,876086356.0,50,922255976.49
2024-09-13,1.054016,876132030.0,51,923457292.37
2024-09-16,1.058611,876108551.0,55,927458005.62
2024-09-17,1.059933,880400832.0,57,933166238.26
2024-09-18,1.061248,923333914.0,58,979886017.21
2024-09-19,1.06366,1018646322.0,61,1083493602.26
2024-09-20,1.064978,1020760020.0,58,1087086594.77
2024-09-23,1.068937,1019519141.0,60,1089801712.64
2024-09-24,1.069172,1019595851.0,58,1090123722.92
2024-09-25,1.070471,1019525964.0,58,1091373089.6
2024-09-26,1.071773,1019452171.0,58,1092620806.52
2024-09-27,1.073085,1022003894.0,59,1096696968.58
2024-09-30,1.077032,1021490822.0,62,1100178359.14
2024-10-01,1.078284,1485974416.0,62,1602302688.41
2024-10-02,1.079623,1484822347.0,63,1603049057.02
2024-10-03,1.080945,1416214658.0,63,1530849468.8
2024-10-04,1.082263,1232990168.0,62,1334419613.88
2024-10-07,1.086205,1095136270.0,64,1189542551.28
2024-10-08,1.087398,916420939.0,66,996514149.04
2024-10-09,1.088713,916523647.0,65,997831185.89
2024-10-10,1.090011,719703400.0,65,784484977.18
2024-10-11,1.091305,674714214.0,64,736318664.73
2024-10-14,1.095198,673559764.0,63,737681035.3
2024-10-15,1.095684,563996538.0,63,617962060.81
2024-10-16,1.096996,563895853.0,64,618591312.96
2024-10-17,1.098342,651528713.0,63,715601385.54
2024-10-18,1.09969,648062160.0,61,712667437.55
2024-10-21,1.103745,647557594.0,60,714738180.21
2024-10-22,1.1051,647486180.0,61,715536895.72
2024-10-23,1.106292,584122320.0,61,646209582.58
2024-10-24,1.107807,584065320.0,63,647031651.33
2024-10-25,1.109158,583771995.0,63,647495479.75
2024-10-28,1.113085,583505034.0,63,649490477.58
2024-10-30,1.115711,583505034.0,62,651022890.43
2024-10-31,1.116979,461070673.0,61,515006317.22
