date,fiyat,pay,hesap,buyukluk
2025-05-23,0.999902,2271002.0,75,2270779.06
2025-05-26,1.001666,3339886.0,114,3345449.23
2025-05-27,1.003768,3375102.0,125,3387819.64
2025-05-28,1.005983,3892489.0,135,3915775.85
2025-05-29,1.007115,8741869.0,156,8804065.32
2025-05-30,1.010163,10858894.0,183,10969255.91
2025-06-02,1.012885,12185154.0,192,12342163.29
2025-06-03,1.012061,14022088.0,209,14191205.96
2025-06-04,1.014988,14687547.0,228,14907678.59
2025-06-05,1.017801,15753562.0,235,16033992.26
2025-06-10,1.0244,15751570.0,235,16135913.78
2025-06-11,1.02636,15695853.0,243,16109592.84
2025-06-12,1.026386,16993028.0,260,17441404.29
2025-06-13,1.027201,19586111.0,272,20118868.71
2025-06-16,1.027342,20141514.0,270,20692221.9
2025-06-17,1.031753,20102438.0,270,20740750.02
2025-06-18,1.032633,16136765.0,263,16663358.37
2025-06-19,1.032931,17013178.0,270,17573443.72
2025-06-20,1.033978,16855248.0,271,17427958.47
2025-06-23,1.037185,16284145.0,271,16889677.92
2025-06-24,1.038374,16145542.0,269,16765119.07
2025-06-25,1.044303,16132871.0,273,16847598.87
2025-06-26,1.042872,20143698.0,286,21007305.3
2025-06-27,1.04383,22712282.0,309,23707769.85
2025-06-30,1.049397,24050115.0,323,25238111.66
2025-07-01,1.052411,24755028.0,325,26052467.37
2025-07-02,1.053461,27493349.0,338,28963180.21
2025-07-03,1.055071,34085028.0,354,35962124.12
2025-07-04,1.057605,38276325.0,360,40481216.33
2025-07-07,1.062145,38744265.0,376,41152010.64
2025-07-08,1.061805,39339226.0,385,41770577.45
2025-07-09,1.061876,45655010.0,402,48479958.36
2025-07-10,1.064704,47331990.0,412,50394562.67
2025-07-11,1.067246,51060670.0,413,54494297.45
2025-07-14,1.071295,50139454.0,422,53714129.97
2025-07-16,1.072218,50142141.0,425,53763329.92
2025-07-17,1.073914,50109443.0,434,53813252.5
2025-07-18,1.076718,51085457.0,456,55004629.15
2025-07-21,1.080004,51397966.0,472,55510020.13
2025-07-22,1.0825,50721477.0,477,54906019.78
2025-07-23,1.083709,48317657.0,491,52362263.86
2025-07-24,1.084753,49113013.0,500,53275508.99
2025-07-25,1.085697,50721589.0,506,55068300.72
2025-07-28,1.089317,53154266.0,512,57901870.76
2025-07-29,1.090233,52992479.0,513,57774124.79
2025-07-30,1.091815,52641915.0,506,57475220.8
2025-07-31,1.093608,49052625.0,511,53644358.0
2025-08-01,1.095828,52334120.0,513,57349185.21
