date,fiyat,pay,hesap,buyukluk
2025-04-15,0.01001,200000000.0,0,2001932.55
2025-04-16,0.009999,200000000.0,0,1999878.84
2025-04-17,0.010257,200000000.0,0,2051319.64
2025-04-18,0.010081,200000000.0,0,2016197.21
2025-04-21,0.010191,200000000.0,0,2038146.93
2025-04-22,0.010423,200000000.0,0,2084684.9
2025-04-24,0.01042,200000000.0,0,2083959.4
2025-04-25,0.010301,200000000.0,0,2060206.76
2025-04-28,0.010138,200000000.0,0,2027686.16
2025-04-29,0.010234,200000000.0,0,2046764.62
2025-04-30,0.010229,200000000.0,0,2045741.8
2025-05-02,0.010181,200000000.0,0,2036248.38
2025-05-05,0.01012,200000000.0,0,2023977.64
2025-05-06,0.010229,200000000.0,0,2045739.07
2025-05-07,0.010297,200000000.0,0,2059489.21
2025-05-08,0.010241,200000000.0,0,2048118.72
2025-05-09,0.010137,200000000.0,0,2027473.08
2025-05-12,0.010148,200000000.0,0,2029625.44
2025-05-13,0.009928,200000000.0,0,1985561.24
2025-05-14,0.01006,200000000.0,0,2012060.55
2025-05-15,0.009948,200000000.0,0,1989685.52
2025-05-16,0.009852,200000000.0,0,1970391.07
2025-05-20,0.009872,200000000.0,0,1974440.08
2025-05-21,0.009995,200000000.0,0,1999031.25
2025-05-22,0.010166,200000000.0,0,2033289.18
2025-05-23,0.010184,200000000.0,0,2036720.69
2025-05-26,0.010314,200000000.0,0,2062852.41
2025-05-27,0.010272,200000000.0,0,2054429.39
2025-05-28,0.010335,200000000.0,0,2066955.51
2025-05-29,0.010242,200000000.0,0,2048457.08
2025-05-30,0.010287,200000000.0,0,2057377.33
2025-06-02,0.010268,200000000.0,0,2053600.26
2025-06-03,0.010374,200000000.0,0,2074831.81
2025-06-04,0.010496,200000000.0,0,2099263.35
2025-06-05,0.01055,200000000.0,0,2110068.94
2025-06-10,0.010578,200000000.0,0,2115605.45
2025-06-11,0.010904,200000000.0,0,2180850.39
2025-06-12,0.010875,200000000.0,0,2175046.39
2025-06-13,0.010918,200000000.0,0,2183669.75
2025-06-16,0.011031,200000000.0,0,2206205.35
2025-06-17,0.010951,200000000.0,0,2190195.78
2025-06-18,0.010925,200000000.0,0,2184933.5
2025-06-19,0.011044,200000000.0,0,2208762.9
2025-06-20,0.010929,200000000.0,0,2185892.59
2025-06-23,0.010964,200000000.0,0,2192870.02
2025-06-24,0.011005,200000000.0,0,2201032.88
2025-06-25,0.01078,200000000.0,0,2155958.3
2025-06-26,0.010823,200000000.0,0,2164528.3
2025-06-27,0.010904,200000000.0,0,2180739.42
2025-06-30,0.010866,200000000.0,0,2173232.5
2025-07-01,0.01086,200000000.0,0,2172084.94
2025-07-02,0.010863,200000000.0,0,2172545.32
2025-07-03,0.010886,200000000.0,0,2177128.73
2025-07-04,0.010926,200000000.0,0,2185272.32
2025-07-07,0.010946,200000000.0,0,2189146.75
2025-07-08,0.010929,200000000.0,0,2185739.28
