date,fiyat,pay,hesap,buyukluk
2024-09-02,1.062917,150346860.0,11279,159806235.14
2024-09-03,1.067075,150346860.0,11236,160431313.79
2024-09-04,1.034427,150251441.0,11250,155424117.14
2024-09-05,1.037611,149821389.0,11235,155456250.11
2024-09-06,1.024973,148840237.0,11162,152557187.16
2024-09-09,1.015364,148390370.0,11133,150670247.89
2024-09-10,1.008348,149091405.0,11120,150336011.0
2024-09-11,0.991688,148784776.0,11091,147548107.61
2024-09-12,0.982626,149003287.0,11029,146414524.68
2024-09-13,0.988005,148518124.0,10977,146736597.12
2024-09-16,0.998501,148021687.0,10954,147799872.56
2024-09-17,1.000604,147833019.0,10972,147922383.67
2024-09-18,1.017754,114904385.0,10968,116944440.28
2024-09-19,1.024299,115052587.0,10942,117848254.21
2024-09-20,1.040753,114890299.0,10933,119572468.52
2024-09-23,1.027744,130635911.0,10897,134260283.38
2024-09-24,1.051313,125268365.0,10886,131696288.67
2024-09-25,1.049689,124952054.0,10870,131160782.94
2024-09-26,1.0396,125000173.0,10840,129950127.22
2024-09-27,1.014796,139831641.0,10821,141900544.54
2024-09-30,1.02974,139533907.0,10792,143683679.27
2024-10-01,1.030311,138707142.0,10768,142911528.8
2024-10-02,1.03487,138418874.0,10744,143245534.13
2024-10-03,1.030457,138155203.0,10704,142363021.72
2024-10-04,1.040307,137905165.0,10664,143463674.95
2024-10-07,1.057642,137755019.0,10629,145695430.46
2024-10-08,1.064807,137744607.0,10625,146671445.38
2024-10-09,1.045714,137453052.0,10628,143736544.54
2024-10-10,1.048361,121123001.0,10600,126980667.99
2024-10-11,1.048134,121878673.0,10582,127745159.07
2024-10-14,1.048586,121833114.0,10582,127752545.56
2024-10-15,1.039701,121833114.0,10562,126669955.24
2024-10-16,1.022476,121340344.0,10663,124067621.22
2024-10-17,1.017547,122353971.0,10682,124500939.34
2024-10-18,1.014575,122641125.0,10584,124428611.58
2024-10-21,1.008147,122321393.0,10546,123317934.9
2024-10-22,1.007887,122352964.0,10529,123317964.94
2024-10-23,1.016673,123539434.0,10514,125599255.25
2024-10-24,1.001693,123094132.0,10460,123302554.89
2024-10-25,1.002646,123611048.0,10432,123938078.86
2024-10-28,1.014244,123875610.0,10432,125640136.11
2024-10-30,1.017593,123549957.0,10384,125723613.1
2024-10-31,1.01131,123616786.0,10380,125014835.29
2024-11-01,1.007726,122849786.0,10361,123798886.81
2024-11-04,1.013459,122095932.0,10322,123739227.19
2024-11-05,1.010596,121956730.0,10309,123249023.91
2024-11-06,1.013677,121538898.0,10286,123201171.75
2024-11-07,1.018389,121324569.0,10243,123555632.4
2024-11-08,1.036302,120661848.0,10230,125042163.08
2024-11-11,1.029478,106218625.0,10230,109349778.91
2024-11-12,1.036583,106218625.0,10207,110104428.97
2024-11-13,1.037963,105516715.0,10219,109522400.89
2024-11-14,1.02734,105205838.0,10197,108082115.14
2024-11-15,1.039307,104020080.0,10110,108108808.13
2024-11-18,1.047828,103990436.0,10103,108964053.06
2024-11-19,1.046434,103606762.0,10093,108417617.28
2024-11-20,1.056889,103277173.0,10085,109152493.81
2024-11-21,1.052901,103490522.0,10050,108965290.86
2024-11-22,1.06276,103146740.0,10034,109620184.44
2024-11-25,1.074261,103138095.0,10036,110797273.32
2024-11-26,1.071617,103896013.0,10154,111336718.59
2024-11-27,1.061121,107878954.0,10231,114472572.86
2024-11-28,1.052401,109042025.0,10231,114755903.61
2024-11-29,1.050639,109042025.0,10259,114563821.72
2024-12-02,1.057856,108443739.0,10253,114717812.54
2024-12-03,1.060404,106391014.0,10273,112817417.7
2024-12-04,1.057549,108276323.0,10261,114507554.86
2024-12-05,1.056009,108297916.0,10239,114363534.93
2024-12-06,1.04407,108585592.0,10239,113370940.02
2024-12-09,1.041561,108242744.0,10205,112741444.51
2024-12-10,1.036211,106522583.0,10182,110379859.16
2024-12-11,1.028978,104376630.0,10156,107401274.16
2024-12-12,1.025576,102785874.0,10100,105414768.35
2024-12-13,1.022193,102079853.0,10043,104345263.05
2024-12-16,1.019497,101497838.0,10006,103476791.57
2024-12-17,1.014688,101424120.0,10009,102913791.55
2024-12-18,0.992648,101028283.0,9994,100285528.79
2024-12-19,0.992848,101919813.0,9922,101190897.37
2024-12-20,0.970655,120482243.0,9886,116946641.57
2024-12-23,0.961375,120487351.0,9871,115833501.25
2024-12-24,0.960714,120761295.0,9863,116017066.58
2024-12-25,0.975687,102871489.0,9863,100370364.67
2024-12-26,0.979895,102871489.0,9850,100803228.76
2024-12-27,1.013634,103073422.0,9827,104478746.11
2024-12-30,0.986119,103543774.0,9819,102106462.96
2024-12-31,0.99135,103581960.0,9786,102686016.79
2025-01-02,0.989287,103630390.0,9777,102520205.37
2025-01-03,1.01084,103599647.0,9758,104722713.9
2025-01-06,1.017764,103607947.0,9735,105448421.11
2025-01-07,1.027971,102765141.0,9719,105639557.99
2025-01-08,1.027697,101253555.0,9689,104058002.59
2025-01-09,1.023384,99205170.0,9639,101524945.89
2025-01-10,1.027219,98979233.0,9587,101673389.28
2025-01-13,1.038008,98854934.0,9544,102612217.54
2025-01-14,1.034416,98773115.0,9529,102172523.06
2025-01-15,1.047323,97931785.0,9505,102566194.65
2025-01-16,1.056228,97608207.0,9466,103096506.23
2025-01-17,1.06242,97562574.0,9477,103652461.62
2025-01-20,1.070056,99095471.0,9477,106037662.86
2025-01-21,1.075943,99095471.0,9541,106621038.92
2025-01-22,1.077634,101062477.0,10035,108908356.85
2025-01-23,1.078046,133579826.0,10278,144005220.52
2025-01-24,1.073264,153690111.0,10435,164950073.77
2025-01-27,1.073578,163423002.0,10596,175447261.66
2025-01-28,1.056469,156965549.0,10789,165829273.93
2025-01-29,1.061584,164783551.0,10831,174931651.72
2025-01-30,1.047451,158592729.0,10831,166118050.7
2025-01-31,1.056283,152899078.0,10786,161504718.95
2025-02-03,1.04762,150041735.0,10796,157186764.7
2025-02-04,1.040347,152320305.0,10834,158466038.74
2025-02-05,1.039504,148558020.0,10887,154426678.65
2025-02-06,1.051565,146481541.0,10861,154034831.34
2025-02-07,1.058021,142413096.0,10769,150676014.7
2025-02-10,1.046997,140846401.0,10678,147465747.88
2025-02-11,1.050372,140343182.0,10596,147412534.91
2025-02-12,1.059583,139394189.0,10549,147699770.8
2025-02-13,1.058545,137058426.0,10529,145082516.68
2025-02-14,1.050066,135248709.0,10457,142020077.06
2025-02-17,1.056808,134186525.0,10402,141809363.11
2025-02-18,1.052809,134186525.0,10402,141272756.12
2025-02-19,1.053365,130112560.0,10350,137055959.54
2025-02-20,1.061192,122306365.0,10336,129790479.85
2025-02-21,1.064096,117396577.0,10308,124921283.87
2025-02-24,1.058601,115356663.0,10158,122116703.65
2025-02-25,1.047,113506041.0,10123,118840832.39
2025-02-26,1.033433,108475132.0,10067,112101790.31
2025-02-27,1.030256,108331089.0,10028,111608752.09
