date,fiyat,pay,hesap,buyukluk
2024-09-02,4.244698,20812425.0,2070,88342452.9
2024-09-03,4.249896,20775719.0,2065,88294639.66
2024-09-04,4.253985,20164377.0,2070,85778956.54
2024-09-05,4.257922,20168629.0,2077,85876443.55
2024-09-06,4.261897,20000479.0,2081,85239971.9
2024-09-09,4.273343,19863955.0,2092,84885488.13
2024-09-10,4.27749,20394635.0,2091,87237856.6
2024-09-11,4.279417,20578299.0,2099,88063128.46
2024-09-12,4.282693,20481290.0,2094,87715086.51
2024-09-13,4.286878,20621548.0,2087,88402069.6
2024-09-16,4.297931,20467619.0,2089,87968406.18
2024-09-17,4.302684,20461652.0,2102,88040018.67
2024-09-18,4.306064,20507086.0,2109,88304831.47
2024-09-19,4.310652,20653325.0,2114,89029290.75
2024-09-20,4.315383,20553592.0,2121,88696622.21
2024-09-23,4.328738,20178231.0,2118,87346276.73
2024-09-24,4.33286,20167542.0,2126,87383134.04
2024-09-25,4.337515,20319490.0,2120,88136083.31
2024-09-26,4.342373,19248559.0,2115,83584415.88
2024-09-27,4.34858,18843792.0,2115,81943729.45
2024-09-30,4.362534,19169724.0,2114,83628573.48
2024-10-01,4.367544,19167810.0,2118,83716260.22
2024-10-02,4.372466,19273214.0,2117,84271481.31
2024-10-03,4.377107,19492219.0,2118,85319527.72
2024-10-04,4.381794,19704079.0,2118,86339211.43
2024-10-07,4.396106,19762456.0,2132,86877849.84
2024-10-08,4.401784,19716377.0,2138,86787235.35
2024-10-09,4.406211,19832537.0,2133,87386337.86
2024-10-10,4.410615,19945669.0,2141,87972666.53
2024-10-11,4.41532,20393780.0,2145,90045073.12
2024-10-14,4.427093,20358557.0,2150,90129218.43
2024-10-15,4.432706,20376281.0,2143,90322070.5
2024-10-16,4.43747,20342193.0,2140,90267875.6
2024-10-17,4.442162,20609412.0,2142,91550339.81
2024-10-18,4.446697,20161869.0,2148,89653716.15
2024-10-21,4.460965,20414193.0,2152,91067002.77
2024-10-22,4.466526,20488680.0,2165,91513231.22
2024-10-23,4.470923,20716326.0,2163,92621092.79
2024-10-24,4.478583,20564682.0,2165,92100634.13
2024-10-25,4.482947,20705517.0,2166,92821734.26
2024-10-28,4.495874,21132157.0,2176,95007523.89
2024-10-30,4.505868,21237826.0,2180,95694832.63
2024-10-31,4.508122,21653428.0,2176,97616296.64
2024-11-01,4.512405,21413475.0,2181,96626262.45
2024-11-04,4.525571,21561283.0,2191,97577123.8
2024-11-05,4.531894,21662181.0,2200,98170714.69
2024-11-06,4.536883,21304768.0,2198,96657241.96
2024-11-07,4.541475,21215886.0,2202,96351418.48
2024-11-08,4.546425,21211241.0,2206,96435325.83
2024-11-11,4.559978,21347335.0,2208,97343381.01
2024-11-12,4.565725,21412081.0,2206,97761678.41
2024-11-13,4.57195,21497753.0,2214,98286645.16
2024-11-14,4.576852,21487281.0,2215,98344095.15
2024-11-15,4.584059,21978283.0,2210,100749742.54
2024-11-18,4.597129,22454934.0,2220,103228221.98
2024-11-19,4.602879,22752436.0,2236,104726702.0
2024-11-20,4.606735,22855524.0,2243,105289353.07
2024-11-21,4.609013,23159124.0,2255,106740703.84
2024-11-22,4.614434,23776322.0,2260,109714260.69
2024-11-25,4.634079,24074073.0,2257,111561148.07
2024-11-26,4.638473,24022739.0,2262,111428814.98
2024-11-27,4.643423,23325637.0,2260,108310800.1
2024-11-28,4.648407,23460618.0,2263,109054510.17
2024-11-29,4.653406,23378409.0,2271,108789225.71
2024-12-02,4.66765,23189466.0,2276,108240305.25
2024-12-03,4.673635,23181611.0,2288,108342380.92
2024-12-04,4.678631,23444460.0,2300,109687968.31
2024-12-05,4.683644,23554723.0,2306,110321928.39
2024-12-06,4.688637,23631756.0,2314,110800733.21
2024-12-09,4.702781,23712628.0,2323,111515292.29
2024-12-10,4.708464,23756960.0,2329,111858780.21
2024-12-11,4.713843,23776976.0,2340,112080935.84
2024-12-12,4.718857,23905366.0,2337,112806000.12
2024-12-13,4.724361,23396125.0,2337,110531735.99
2024-12-16,4.738342,23535292.0,2345,111518258.72
2024-12-17,4.744239,23701721.0,2363,112446637.0
2024-12-18,4.749245,23270283.0,2372,110516273.74
2024-12-19,4.751754,23856090.0,2365,113358277.74
2024-12-20,4.756795,24484658.0,2369,116468492.05
2024-12-23,4.770017,24940587.0,2370,118967021.63
2024-12-24,4.775906,24872073.0,2371,118786682.77
2024-12-25,4.780927,25534572.0,2373,122078922.49
2024-12-26,4.78598,25772119.0,2376,123344836.44
2024-12-27,4.791056,25561968.0,2377,122468819.06
2024-12-30,4.805487,24848196.0,2379,119407673.64
2024-12-31,4.811458,24688362.0,2377,118787024.81
2025-01-02,4.821113,24678332.0,2383,118977038.37
2025-01-03,4.826429,25564507.0,2398,123385276.93
2025-01-06,4.840299,26326884.0,2399,127430002.05
2025-01-07,4.8474,25945042.0,2407,125766007.2
2025-01-08,4.852701,24958889.0,2404,121118019.16
