date,fiyat,pay,hesap,buyukluk
2024-09-02,4.613837,242512814.0,13915,1118914683.83
2024-09-03,4.594801,245034853.0,14014,1125886482.14
2024-09-04,4.477101,243222942.0,14071,1088933782.47
2024-09-05,4.446487,235184525.0,14090,1045744830.32
2024-09-06,4.514535,235168878.0,14121,1061678230.19
2024-09-09,4.519842,238038985.0,14173,1075898663.08
2024-09-10,4.465783,238195881.0,14218,1063731126.47
2024-09-11,4.487274,238943514.0,14266,1072205061.13
2024-09-12,4.573975,238768017.0,14300,1092118835.18
2024-09-13,4.549925,237269083.0,14312,1079556570.35
2024-09-16,4.642746,241642948.0,14350,1121886777.37
2024-09-17,4.725571,244370096.0,14452,1154788279.63
2024-09-18,4.749124,237887837.0,14564,1129758822.81
2024-09-19,4.74434,237920986.0,14712,1128778082.28
2024-09-20,4.786794,237373604.0,14844,1136258593.75
2024-09-23,4.815856,239153690.0,14954,1151729685.79
2024-09-24,4.822187,247887065.0,15105,1195357721.9
2024-09-25,4.842457,251046945.0,15195,1215684049.99
2024-09-26,4.913197,251886310.0,15331,1237567027.67
2024-09-27,4.962886,254429239.0,15456,1262703310.13
2024-09-30,4.982358,256227695.0,15593,1276618204.26
2024-10-01,4.963045,258472190.0,15756,1282809228.29
2024-10-02,4.97021,258505877.0,15818,1284828415.76
2024-10-03,4.925963,258913708.0,15882,1275399328.31
2024-10-04,4.931346,264602330.0,15949,1304845556.96
2024-10-07,4.946974,270622830.0,16028,1338764181.37
2024-10-08,4.949145,278947624.0,16145,1380552225.11
2024-10-09,4.880248,280359966.0,16236,1368226297.05
2024-10-10,4.808175,282244432.0,16238,1357080568.52
2024-10-11,4.872763,287110110.0,16233,1399019658.09
2024-10-14,4.914164,285937588.0,16248,1405144094.08
2024-10-15,4.877465,285946621.0,16265,1394694748.19
2024-10-16,4.974255,284370649.0,16264,1414531982.21
2024-10-17,4.963944,285753469.0,16291,1418464283.65
2024-10-18,5.035458,288232345.0,16335,1451381855.45
2024-10-21,5.061861,288451311.0,16377,1460100380.18
2024-10-22,5.230898,288376749.0,16457,1508469366.04
2024-10-23,5.231193,292957594.0,16532,1532517751.68
2024-10-24,5.274389,289735195.0,16633,1528176248.3
2024-10-25,5.180431,290176581.0,16727,1503239774.62
2024-10-28,5.209778,296510749.0,16727,1544755076.87
2024-10-30,5.197239,295739264.0,16857,1537027491.91
2024-10-31,5.24081,298868646.0,16925,1566313782.29
2024-11-01,5.20628,300085211.0,16993,1562327586.94
2024-11-04,5.197637,299748334.0,17055,1557983098.66
2024-11-05,5.129075,294102771.0,17106,1508475097.52
2024-11-06,5.101413,294570145.0,17130,1502724081.02
2024-11-07,5.008655,297851163.0,17121,1491833848.35
2024-11-08,4.959647,290112722.0,17082,1438856701.63
2024-11-11,4.960025,289156996.0,17060,1434225891.6
2024-11-12,4.896212,288013259.0,17022,1410173859.76
2024-11-13,4.8671,291140109.0,16966,1417007999.5
2024-11-14,4.831698,276858355.0,16913,1337695932.65
2024-11-15,4.763707,275620516.0,16864,1312975334.57
2024-11-18,4.851273,266502865.0,16817,1292878207.78
2024-11-19,4.874,265990043.0,16846,1296435496.13
2024-11-20,5.012841,270475229.0,16835,1355849244.54
2024-11-21,4.946055,271470079.0,16852,1342705810.29
2024-11-22,4.962716,267524146.0,16840,1327646339.08
2024-11-25,5.039018,268451315.0,16817,1352731097.3
2024-11-26,5.063085,269215909.0,16766,1363062993.97
2024-11-27,4.888338,268350032.0,16739,1311785686.63
2024-11-28,4.927876,268388225.0,16747,1322584008.36
2024-11-29,4.876757,269361534.0,16736,1313610742.45
2024-12-02,4.918778,266778978.0,16720,1312226631.81
2024-12-03,4.853637,266615777.0,16648,1294056186.47
2024-12-04,4.922691,267112143.0,16600,1314910488.03
2024-12-05,4.957537,266185615.0,16551,1319625001.09
2024-12-06,4.914477,264737268.0,16530,1301045276.05
2024-12-09,4.935599,264621942.0,16504,1306067883.61
2024-12-10,4.954689,263416052.0,16442,1305144659.51
2024-12-11,5.024757,262077268.0,16379,1316874577.55
2024-12-12,5.033449,259916006.0,16350,1308274002.23
2024-12-13,5.05162,259066769.0,16327,1308706973.31
2024-12-16,4.939942,258376645.0,16326,1276365599.5
2024-12-17,4.907864,258588679.0,16279,1269118005.0
2024-12-18,4.907036,257093987.0,16231,1261569534.27
2024-12-19,4.913579,256062800.0,16185,1258184906.99
2024-12-20,4.802577,254686608.0,16157,1223152045.65
2024-12-23,4.81855,254317671.0,16141,1225442492.85
2024-12-24,4.858732,253866145.0,16077,1233467507.03
2024-12-25,4.860884,250107306.0,16029,1215742602.15
2024-12-26,4.833097,249383777.0,15991,1205296064.82
2024-12-27,4.896675,251440881.0,15942,1231224385.82
2024-12-30,4.861671,250531828.0,15913,1218003286.71
2024-12-31,4.839627,250276483.0,15846,1211244766.69
2025-01-02,4.803735,250263345.0,15830,1202198864.73
2025-01-03,4.847489,250924982.0,15792,1216356087.4
2025-01-06,4.904841,251779378.0,15773,1234937737.2
2025-01-07,4.864936,251444938.0,15714,1223263551.38
2025-01-08,4.902367,250268896.0,15668,1226909962.03
2025-01-09,4.913512,248831670.0,15627,1222637486.43
2025-01-10,4.926085,247508443.0,15607,1219247598.95
2025-01-13,4.964368,247321351.0,15578,1227794077.15
2025-01-14,4.96756,246093297.0,15544,1222483319.16
2025-01-15,4.929565,246455618.0,15528,1214918877.84
2025-01-16,4.947677,245982084.0,15508,1217039800.13
2025-01-17,5.020299,245174553.0,15481,1230849549.7
2025-01-20,5.009166,244843657.0,15464,1226462551.51
2025-01-21,5.008669,244391134.0,15454,1224074348.29
2025-01-22,5.04895,240509618.0,15453,1214320999.24
2025-01-23,5.082373,238054458.0,15446,1209881523.2
2025-01-24,5.065188,238496256.0,15458,1208028429.83
2025-01-27,5.096143,237539561.0,15450,1210535648.92
2025-01-28,5.052842,236967681.0,15451,1197360264.28
2025-01-29,5.024055,237104714.0,15453,1191227142.32
2025-01-30,5.078004,236463206.0,15453,1200761175.34
2025-01-31,5.143664,236251476.0,15428,1215198108.78
2025-02-03,5.192617,236425646.0,15406,1227667778.33
2025-02-04,5.210221,236722903.0,15430,1233378552.28
2025-02-05,5.266244,237401858.0,15500,1250216048.3
2025-02-06,5.349252,238501179.0,15564,1275802965.9
2025-02-07,5.318161,242962331.0,15638,1292112783.41
2025-02-10,5.353164,243487726.0,15726,1303429634.98
2025-02-11,5.399534,243734615.0,15794,1316053369.97
2025-02-12,5.415971,246623996.0,15903,1335708381.95
2025-02-13,5.406492,248529324.0,15977,1343671785.03
2025-02-14,5.441239,248780022.0,16016,1353671455.62
2025-02-17,5.512929,252011817.0,16069,1389323361.72
2025-02-18,5.443769,251144802.0,16113,1367174203.56
2025-02-19,5.536136,253079235.0,16285,1401081104.76
2025-02-20,5.593646,259067225.0,16389,1449130473.87
2025-02-21,5.582366,260271631.0,16449,1452931411.79
2025-02-24,5.601378,263068155.0,16544,1473544218.97
2025-02-25,5.590575,263514124.0,16620,1473195387.88
2025-02-26,5.560747,265407392.0,16657,1475863395.45
2025-02-27,5.471143,262982765.0,16663,1438816417.88
2025-02-28,5.436018,260746430.0,16646,1417422220.16
2025-03-03,5.410216,258428925.0,16582,1398156364.22
2025-03-04,5.429571,257006710.0,16531,1395436086.27
2025-03-05,5.461438,251723013.0,16519,1374769699.54
2025-03-06,5.500445,252328973.0,16493,1387921572.93
2025-03-07,5.521941,252519088.0,16481,1394395599.74
2025-03-10,5.517828,252845111.0,16492,1395155836.85
2025-03-11,5.516786,252574082.0,16514,1393397173.13
2025-03-12,5.494551,252500210.0,16510,1387375223.51
2025-03-13,5.512696,251233584.0,16457,1384974481.77
2025-03-14,5.613564,249994597.0,16407,1403360662.77
2025-03-17,5.634681,250282700.0,16376,1410263284.65
2025-03-18,5.696502,249606839.0,16359,1421885786.16
2025-03-19,5.736235,250701158.0,16372,1438080850.36
2025-03-20,5.943107,252288425.0,16361,1499377194.77
2025-03-21,5.927585,251332892.0,16340,1489796960.55
2025-03-24,5.877626,251821707.0,16367,1480113936.18
2025-03-25,5.878469,251997176.0,16373,1481357658.77
2025-03-26,5.902922,252585209.0,16402,1490990683.71
2025-03-27,5.920258,246239362.0,16410,1457800659.7
2025-03-28,5.932036,239220989.0,16449,1419067561.7
2025-04-02,6.009575,240195496.0,16494,1443472779.89
2025-04-03,6.067384,240846029.0,16518,1461305338.14
2025-04-04,5.964086,243228075.0,16617,1450633190.01
2025-04-07,5.797515,244614885.0,16681,1418158554.61
2025-04-08,5.740177,244736606.0,16726,1404831423.98
2025-04-09,5.675607,244262742.0,16688,1386339372.34
2025-04-10,5.729801,242981487.0,16671,1392235565.56
2025-04-11,5.832321,242799085.0,16653,1416082132.17
2025-04-14,5.934934,242465728.0,16618,1439018022.92
2025-04-15,5.986608,242240290.0,16611,1450197568.59
2025-04-16,6.01443,240000089.0,16549,1443463798.08
2025-04-17,6.112514,239867178.0,16543,1466191498.15
2025-04-18,6.119923,254211555.0,16533,1555755130.07
2025-04-21,6.127768,253579059.0,16525,1553873572.57
2025-04-22,6.242478,253166743.0,16505,1580387876.97
2025-04-24,6.278975,253387858.0,16459,1591015966.52
2025-04-25,6.265661,253025434.0,16433,1585371625.32
2025-04-28,6.211281,252317746.0,16401,1567216344.42
2025-04-29,6.191663,250964442.0,16368,1553887263.03
2025-04-30,6.234838,248838372.0,16299,1551467042.51
2025-05-02,6.173962,244696289.0,16268,1510745613.7
2025-05-05,6.136952,245686132.0,16263,1507763930.86
2025-05-06,6.168931,245707353.0,16258,1515751817.88
2025-05-07,6.286296,245675921.0,16233,1544391551.15
2025-05-08,6.272063,242368139.0,16212,1520148164.86
2025-05-09,6.224851,237921585.0,16192,1481026390.07
2025-05-12,6.21865,235965938.0,16167,1467389473.83
2025-05-13,6.122811,235943400.0,16160,1444636946.72
2025-05-14,6.178525,223042619.0,16106,1378074467.75
2025-05-15,6.158853,222536842.0,16071,1370571699.32
2025-05-16,6.039024,222014134.0,16038,1340748573.07
2025-05-20,6.119657,220752609.0,15998,1350930260.19
2025-05-21,6.151986,220929667.0,15956,1359156128.84
2025-05-22,6.27699,220267290.0,15909,1382615612.64
