date,fiyat,pay,hesap,buyukluk
2024-09-02,0.015233,6264468947.127,10191,95427345.77
2024-09-03,0.015431,6271148280.108,10191,96772960.05
2024-09-04,0.015317,6281437112.494,10191,96211220.29
2024-09-05,0.014977,6255521286.014,10191,93686154.7
2024-09-06,0.015168,6249376091.541,10191,94790889.46
2024-09-09,0.014881,6304631719.336,10191,93816974.54
2024-09-10,0.01485,6297740737.911,10191,93522965.42
2024-09-11,0.014883,6304246234.445,10843,93828774.97
2024-09-12,0.014668,6330919489.254,10862,92859363.96
2024-09-13,0.014762,6305264994.138,10861,93077654.92
2024-09-16,0.015039,6302680597.57,10869,94786771.94
2024-09-17,0.015015,6311823971.746,10879,94774911.92
2024-09-18,0.015047,6326056039.512,10935,95190375.09
2024-09-19,0.014936,6332236712.957,10955,94579576.2
2024-09-20,0.015187,6307525632.727,10955,95795268.97
2024-09-23,0.015132,6344312065.03,11001,96001930.9
2024-09-24,0.015131,6281997605.232,11021,95055817.51
2024-09-25,0.015235,6278755489.876,11021,95656004.2
2024-09-26,0.015085,6292787332.082,11123,94926492.3
2024-09-27,0.015067,6292975108.734,11144,94816939.32
2024-09-30,0.015014,6279864766.529,11184,94284272.9
2024-10-01,0.014886,6287973562.499,11195,93600367.17
2024-10-02,0.01453,6222574003.495,11254,90413487.1
2024-10-03,0.014313,6261728515.189,11283,89626079.81
2024-10-04,0.014439,6273419864.173,11287,90579991.43
2024-10-07,0.014628,6269173091.826,11325,91706568.49
2024-10-08,0.014582,6251129913.522,11348,91152959.74
2024-10-09,0.014496,6252794602.503,11444,90643305.41
2024-10-10,0.014599,6177996876.056,11429,90192779.88
2024-10-11,0.014475,6165418647.607,11430,89245107.32
2024-10-14,0.014347,6177942539.586,11446,88634821.64
2024-10-15,0.014234,6176965338.95,11463,87923588.08
2024-10-16,0.014488,6158653054.995,11509,89224178.63
2024-10-17,0.014499,6156248795.454,11504,89259684.12
2024-10-18,0.014643,6156875877.623,11492,90152848.16
2024-10-21,0.014541,6163823658.016,11490,89629196.38
2024-10-22,0.014436,6226201270.479,11492,89878758.94
2024-10-23,0.014573,6180414032.873,11511,90064581.54
2024-10-24,0.014568,6092690570.262,11514,88757049.42
2024-10-25,0.014695,6080646727.211,11508,89357867.07
2024-10-28,0.014765,6090162436.558,11512,89920463.67
2024-10-30,0.014801,6074914543.942,11513,89916491.75
2024-10-31,0.015062,6076834026.802,11567,91531133.98
2024-11-01,0.014946,6056762174.803,11588,90524069.55
2024-11-04,0.015032,6091585113.88,11608,91567067.48
2024-11-05,0.014807,6112067185.656,11649,90501449.51
2024-11-06,0.014758,6147290341.193,11713,90722981.78
2024-11-07,0.014908,6141979527.528,11719,91564364.72
2024-11-08,0.015048,6142150944.159,11721,92427503.93
2024-11-11,0.015323,6175566272.994,11736,94626307.54
2024-11-12,0.015551,6216801651.525,11756,96678291.97
2024-11-13,0.015345,6244867901.803,11834,95828087.59
2024-11-14,0.015345,6249173223.965,11834,95893269.19
2024-11-15,0.015431,6281860894.456,11834,96936050.01
2024-11-18,0.015357,6286868212.301,11869,96549253.22
2024-11-19,0.015256,6330077415.652,11896,96570506.78
2024-11-20,0.01518,6385786131.45,11956,96937801.95
2024-11-21,0.015042,6464993475.253,11962,97243592.27
2024-11-22,0.015245,6448738321.538,11960,98311948.04
2024-11-25,0.015297,6454721532.06,11982,98734870.05
2024-11-26,0.01546,6461429202.159,11979,99892115.42
2024-11-27,0.015432,6459282062.123,11979,99682685.5
2024-11-28,0.015441,6443232151.334,12035,99489934.76
2024-11-29,0.015547,6452681200.933,12021,100320529.71
2024-12-02,0.015497,6458132835.159,12018,100078827.07
2024-12-03,0.015607,6476637654.659,12033,101081991.87
