date,fiyat,pay,hesap,buyukluk
2025-11-10,1.006162,137691700.0,14,138540169.97
2025-11-11,1.015071,137691898.0,15,139767072.21
2025-11-12,1.012974,137701337.0,17,139487822.43
2025-11-13,1.020332,154048371.0,21,157180543.54
2025-11-14,1.020284,154070663.0,23,157195859.02
2025-11-17,1.001216,154116211.0,24,154303606.35
2025-11-18,1.007585,209019046.0,28,210604394.1
2025-11-19,0.999002,209047531.0,30,208838932.83
2025-11-20,1.002873,209045499.0,33,209646037.33
2025-11-21,1.012863,209047373.0,36,211736263.98
2025-11-24,0.990191,209054480.0,37,207003899.24
2025-11-25,1.002998,209072835.0,43,209699715.33
2025-11-26,1.009733,209084588.0,45,211119629.86
2025-11-27,1.020166,209085129.0,46,213301444.98
2025-11-28,1.024223,209085129.0,46,214149732.89
2025-12-01,1.026891,209060427.0,49,214682371.48
2025-12-02,1.029637,209092565.0,54,215289530.47
2025-12-03,1.029894,209214448.0,57,215468713.59
2025-12-04,1.031199,209417192.0,59,215950816.7
2025-12-05,1.032353,209422346.0,61,216197693.91
2025-12-08,1.036408,209321660.0,62,216942663.64
2025-12-09,1.041677,209340607.0,66,218065374.18
2025-12-10,1.039158,209392609.0,67,217591917.66
2025-12-11,1.036676,209564656.0,69,217250753.4
2025-12-12,1.040465,209664947.0,73,218149088.01
2025-12-15,1.047371,209694198.0,74,219627614.6
2025-12-16,1.038252,209696335.0,75,217717662.67
2025-12-17,1.032837,209730675.0,76,216617549.15
2025-12-18,1.036594,215572008.0,80,223460655.37
2025-12-19,1.033473,215537279.0,81,222751893.55
2025-12-22,1.037783,215539817.0,81,223683534.45
2025-12-23,1.048051,215486910.0,80,225841215.88
2025-12-24,1.048556,215499334.0,79,225963049.25
2025-12-25,1.052219,215499334.0,79,226752422.46
2025-12-26,1.053098,215499334.0,79,226941925.93
2025-12-29,1.055996,215499334.0,79,227566481.59
2025-12-30,1.054338,215517882.0,78,227228615.72
2025-12-31,1.057253,215756906.0,90,228109662.8
2026-01-02,1.057354,215756906.0,90,228131511.08
2026-01-05,1.063743,215941539.0,91,229706310.19
2026-01-06,1.072989,216029301.0,96,231797009.11
2026-01-07,1.079824,216020369.0,97,233263966.49
2026-01-08,1.084967,216047625.0,98,234404477.06
2026-01-09,1.082937,216113902.0,100,234037799.29
2026-01-12,1.083507,216284331.0,107,234345615.52
2026-01-13,1.087624,216307167.0,106,235260767.53
2026-01-14,1.094915,216429171.0,111,236971651.34
2026-01-15,1.087631,216423394.0,113,235388874.22
2026-01-16,1.090887,216652257.0,130,236343023.89
2026-01-19,1.090609,218137429.0,143,237902699.62
2026-01-20,1.091298,218137429.0,143,238052955.62
2026-01-21,1.079824,218231964.0,148,235652181.46
2026-01-22,1.084004,218671170.0,178,237040392.64
2026-01-23,1.098689,218777002.0,185,240367853.96
2026-01-26,1.101625,218752706.0,186,240983371.32
2026-01-27,1.109611,218911399.0,187,242906408.49
2026-01-28,1.11383,218637826.0,189,243525388.93
2026-01-29,1.124333,218985901.0,196,246213083.75
2026-01-30,1.126126,219186197.0,198,246831309.64
2026-02-02,1.114851,219122949.0,197,244289382.52
2026-02-03,1.103481,219155159.0,198,241833647.21
2026-02-04,1.114038,219181129.0,199,244176025.88
