date,fiyat,pay,hesap,buyukluk
2024-09-02,2.724781,45237458.0,17451,123262177.47
2024-09-03,2.735244,45237458.0,17393,123735493.09
2024-09-04,2.715968,45226389.0,17449,122833418.88
2024-09-05,2.693631,45065975.0,17431,121391097.33
2024-09-06,2.695585,44806230.0,17350,120778994.02
2024-09-09,2.659926,44754921.0,17348,119044773.14
2024-09-10,2.649357,44720525.0,17344,118480629.33
2024-09-11,2.651553,44550010.0,17329,118126702.5
2024-09-12,2.64744,44016962.0,17273,116532251.34
2024-09-13,2.682168,43874949.0,17246,117680002.52
2024-09-16,2.685674,43796885.0,17209,117624168.02
2024-09-17,2.683765,43758047.0,17211,117436317.94
2024-09-18,2.708217,42416391.0,17195,114872779.84
2024-09-19,2.693321,42332664.0,17147,114015455.08
2024-09-20,2.728564,42282392.0,17104,115370216.6
2024-09-23,2.725978,42274915.0,17080,115240501.05
2024-09-24,2.745704,42219051.0,17094,115921003.63
2024-09-25,2.773736,42177109.0,17079,116988164.0
2024-09-26,2.777345,42053203.0,17046,116796258.65
2024-09-27,2.80247,41833310.0,17026,117236583.9
2024-09-30,2.794355,41864537.0,17021,116984362.99
2024-10-01,2.78165,41941863.0,17039,116667592.33
2024-10-02,2.756264,41863014.0,17032,115385531.19
2024-10-03,2.740208,41706729.0,16985,114285108.1
2024-10-04,2.732728,41618298.0,16953,113731499.62
2024-10-07,2.742624,41568952.0,16908,114008022.38
2024-10-08,2.741333,41168918.0,16908,112857720.22
2024-10-09,2.729881,41126593.0,16890,112270690.7
2024-10-10,2.741601,40996319.0,16847,112395539.1
2024-10-11,2.733141,40972693.0,16825,111984139.23
2024-10-14,2.728783,40916326.0,16810,111651781.93
2024-10-15,2.734911,40893769.0,16816,111840803.77
2024-10-16,2.745976,40642104.0,16804,111602228.77
2024-10-17,2.735624,40610440.0,16763,111094886.38
2024-10-18,2.739094,40522910.0,16754,110996074.33
2024-10-21,2.724095,40504703.0,16726,110338654.77
2024-10-22,2.730568,40414541.0,16716,110354648.05
2024-10-23,2.747548,40264015.0,16696,110627302.29
2024-10-24,2.732401,40080974.0,16657,109517280.7
2024-10-25,2.728128,39909108.0,16633,108877174.7
2024-10-28,2.744798,39782626.0,16601,109195257.0
2024-10-30,2.747847,39740591.0,16581,109201053.48
2024-10-31,2.771014,39588222.0,16576,109699502.51
2024-11-01,2.719267,39424904.0,16557,107206838.66
2024-11-04,2.716998,39368805.0,16509,106964959.86
2024-11-05,2.706799,39569554.0,16493,107106846.77
2024-11-06,2.700035,39510185.0,16467,106678891.48
2024-11-07,2.735239,39492076.0,16419,108020280.95
2024-11-08,2.772194,39455680.0,16393,109378780.21
