date,fiyat,pay,hesap,buyukluk
2024-09-02,0.034624,79124172218.874,65248,2739624840.44
2024-09-03,0.034931,79031840000.039,65314,2760647301.69
2024-09-04,0.034794,79129772196.537,65560,2753260858.14
2024-09-05,0.03478,79163665299.143,65630,2753283521.09
2024-09-06,0.034821,79166513110.704,65794,2756637911.21
2024-09-09,0.03466,79142052202.612,65806,2743090229.58
2024-09-10,0.034557,79002988440.787,65897,2730126918.4
2024-09-11,0.034501,78791950775.273,66126,2718396290.7
2024-09-12,0.034487,78933622149.645,66179,2722175061.76
2024-09-13,0.034618,79005731409.752,66325,2735028184.04
2024-09-16,0.034813,79113143579.457,66478,2754140088.08
2024-09-17,0.034755,79255618991.801,66546,2754567558.86
2024-09-18,0.035003,79394653451.397,66733,2779016527.76
2024-09-19,0.035068,79337322575.62,66845,2782222954.22
2024-09-20,0.03537,79212316915.365,66916,2801745639.1
2024-09-23,0.035428,79194551447.978,66983,2805712321.87
2024-09-24,0.035552,79103158464.218,66982,2812245644.33
2024-09-25,0.035741,79130300776.04,67119,2828191153.0
2024-09-26,0.035753,79106547866.043,67152,2828320619.78
2024-09-27,0.035725,79212697618.882,67230,2829836453.97
2024-09-30,0.03589,79211082737.136,67334,2842922710.25
2024-10-01,0.035844,79257990749.045,67397,2840908952.45
2024-10-02,0.035541,79081069009.448,67554,2810641459.13
2024-10-03,0.035079,79180449369.843,67733,2777570238.64
2024-10-04,0.034914,79331333341.954,68042,2769810921.03
2024-10-07,0.035192,79148028939.365,68117,2785402078.34
2024-10-08,0.035134,79025998476.747,68088,2776519427.84
2024-10-09,0.035117,79069058833.21,68288,2776661409.47
2024-10-10,0.035228,79154271522.158,68346,2788449013.29
2024-10-11,0.035248,79162320500.233,68365,2790276854.48
2024-10-14,0.035241,79192806252.218,68378,2790797068.65
2024-10-15,0.035087,79055585024.212,68378,2773821215.9
2024-10-16,0.035476,79133012563.54,68490,2807294247.67
2024-10-17,0.035477,79195890152.311,68570,2809655564.52
2024-10-18,0.035589,79126324771.012,68694,2816036526.05
2024-10-21,0.035405,79051157452.564,68649,2798820834.56
2024-10-22,0.035392,79009639309.618,68675,2796295728.58
2024-10-23,0.035581,79049453959.24,68807,2812644682.33
2024-10-24,0.035548,79012391296.344,68800,2808760462.33
2024-10-25,0.035577,78869806167.546,68764,2805946737.16
2024-10-28,0.035819,78778686962.225,68798,2821780595.75
2024-10-30,0.035898,78534268661.759,68707,2819239399.79
2024-10-31,0.035984,78304538948.698,68834,2817700515.04
2024-11-01,0.035864,78334957158.915,68894,2809438675.33
2024-11-04,0.03593,78227215953.457,68984,2810736613.58
2024-11-05,0.035644,78257891421.175,68987,2789391646.19
2024-11-06,0.035631,79034982779.765,69299,2816099447.5
2024-11-07,0.03581,79726248460.662,69367,2854988566.87
2024-11-08,0.035884,79891135477.992,69456,2866823766.54
2024-11-11,0.03627,80098894632.689,69503,2905156147.3
2024-11-12,0.036336,80061092566.401,69480,2909105513.28
2024-11-13,0.036372,80104926752.455,69659,2913538077.25
2024-11-14,0.036358,80315267167.925,69711,2920091613.38
2024-11-15,0.036555,80376164305.589,69728,2938152051.09
2024-11-18,0.036678,80490425847.586,69760,2952217385.53
2024-11-19,0.036653,80478714399.396,69758,2949787933.43
