date,fiyat,pay,hesap,buyukluk
2024-09-02,5.090135,38543103.0,1201,196189610.55
2024-09-03,5.062536,38558103.0,1223,195201792.82
2024-09-04,5.018646,39062703.0,1227,196041876.23
2024-09-05,5.016504,38511103.0,1236,193191093.66
2024-09-06,5.056569,38632003.0,1249,195345407.18
2024-09-09,5.039756,38929103.0,1259,196193162.82
2024-09-10,5.005102,38926203.0,1268,194829630.49
2024-09-11,5.003193,38850803.0,1257,194378076.75
2024-09-12,5.05898,39098503.0,1247,197798532.69
2024-09-13,5.073733,39119903.0,1249,198483939.23
2024-09-16,5.105617,39646510.0,1252,202419902.04
2024-09-17,5.131217,38357910.0,1261,196822748.59
2024-09-18,5.156754,37369510.0,1257,192705354.33
2024-09-19,5.1459,37993710.0,1257,195511834.32
2024-09-20,5.191136,37888110.0,1257,196682333.76
2024-09-23,5.252926,37587710.0,1258,197445442.72
2024-09-24,5.322692,37554010.0,1253,199888428.62
2024-09-25,5.321261,37441810.0,1257,199237628.37
2024-09-26,5.383743,37080910.0,1266,199634071.85
2024-09-27,5.413959,37091110.0,1264,200809742.49
2024-09-30,5.496165,37023636.0,1264,203488009.5
2024-10-01,5.518433,36973136.0,1275,204033760.21
2024-10-02,5.520403,37101836.0,1288,204817083.81
2024-10-03,5.409313,37095636.0,1295,200661914.17
2024-10-04,5.409568,37214836.0,1301,201316180.19
2024-10-07,5.393193,37188136.0,1299,200562795.9
2024-10-08,5.39325,37168406.0,1301,200458508.89
2024-10-09,5.326331,37043506.0,1292,197305982.98
2024-10-10,5.298889,36994706.0,1289,196030822.5
2024-10-11,5.462439,36940806.0,1281,201786896.14
2024-10-14,5.445297,36867106.0,1281,200752335.79
2024-10-15,5.382962,36899306.0,1289,198627572.96
2024-10-16,5.577756,36923806.0,1294,205951997.12
2024-10-17,5.508167,37007206.0,1303,203841860.72
2024-10-18,5.600647,37139206.0,1316,208003597.91
2024-10-21,5.594459,37466906.0,1317,209607059.04
2024-10-22,5.702424,37520306.0,1330,213956690.11
2024-10-23,5.694132,37542306.0,1333,213770851.86
2024-10-24,5.752996,37588106.0,1332,216244226.48
2024-10-25,5.607894,37608706.0,1339,210905645.17
2024-10-28,5.744557,37546206.0,1341,215686323.42
2024-10-30,5.74501,37527206.0,1349,215594191.04
2024-10-31,5.738375,37422006.0,1352,214741508.43
2024-11-01,5.760478,37281006.0,1357,214756396.84
2024-11-04,5.755831,37294806.0,1365,214662586.89
2024-11-05,5.674997,37266806.0,1385,211489016.56
2024-11-06,5.673515,37361506.0,1389,211971046.87
2024-11-07,5.607883,37430006.0,1387,209903108.93
2024-11-08,5.568079,37243906.0,1378,207377024.82
2024-11-11,5.576997,37077006.0,1374,206778367.32
2024-11-12,5.491561,37126906.0,1375,203884685.64
2024-11-13,5.553815,37169206.0,1366,206430906.46
2024-11-14,5.436665,37111206.0,1356,201761202.34
2024-11-15,5.413334,37151206.0,1351,201111898.15
2024-11-18,5.507319,36829106.0,1343,202829638.39
