date,fiyat,pay,hesap,buyukluk
2024-09-02,3.359865,25371834.0,916,85245944.27
2024-09-03,3.364936,25383285.0,923,85413122.03
2024-09-04,3.368683,27251553.0,930,91801855.83
2024-09-05,3.37283,28922141.0,930,97549451.54
2024-09-06,3.376991,29001655.0,937,97938322.9
2024-09-09,3.387887,29251902.0,941,99102125.17
2024-09-10,3.393598,29449940.0,948,99941250.61
2024-09-11,3.398024,36984480.0,947,125674150.94
2024-09-12,3.40197,42209427.0,951,143595204.37
2024-09-13,3.406109,42311225.0,954,144116643.47
2024-09-16,3.416918,42576304.0,953,145479758.16
2024-09-17,3.422523,45056005.0,957,154205215.24
2024-09-18,3.426772,44314049.0,952,151854146.23
2024-09-19,3.430918,44622140.0,957,153094918.88
2024-09-20,3.435266,42824301.0,956,147112844.19
2024-09-23,3.446267,42010529.0,960,144779516.52
2024-09-24,3.451591,42101264.0,961,145316338.95
2024-09-25,3.45682,33893900.0,956,117165094.65
2024-09-26,3.461245,33719272.0,951,116710652.02
2024-09-27,3.4654,33986157.0,952,117775612.4
2024-09-30,3.478756,28896585.0,949,100524179.85
2024-10-01,3.484541,28806456.0,954,100377269.7
2024-10-02,3.488932,28778177.0,952,100405089.66
2024-10-03,3.493102,28954074.0,957,101139543.16
2024-10-04,3.497357,28547098.0,957,99839387.13
2024-10-07,3.508313,28658845.0,957,100544192.35
2024-10-08,3.515,28799497.0,956,101230240.82
2024-10-09,3.519223,28803966.0,957,101367580.07
2024-10-10,3.523431,29034320.0,965,102300422.46
2024-10-11,3.527657,29104142.0,967,102669443.86
2024-10-14,3.538297,29282262.0,966,103609332.49
2024-10-15,3.544116,29157329.0,968,103336952.82
2024-10-16,3.548434,28645815.0,967,101647778.75
2024-10-17,3.552761,28259415.0,971,100398935.71
2024-10-18,3.557018,28422295.0,977,101098609.2
2024-10-21,3.56818,28993576.0,978,103454297.83
2024-10-22,3.574057,29137926.0,985,104140608.14
2024-10-23,3.578417,29322704.0,983,104928852.66
2024-10-24,3.583075,29950542.0,983,107315029.63
2024-10-25,3.58732,29811424.0,983,106943123.1
2024-10-28,3.598443,30286457.0,986,108984096.74
2024-10-30,3.607721,30049346.0,980,108409671.25
2024-10-31,3.612712,30088119.0,981,108699709.88
2024-11-01,3.616965,30071243.0,979,108766623.95
2024-11-04,3.628207,30210114.0,981,109608558.41
2024-11-05,3.633983,30386700.0,983,110424765.31
2024-11-06,3.638344,29998101.0,982,109143421.32
2024-11-07,3.642641,30005455.0,984,109299110.4
2024-11-08,3.647037,29916333.0,989,109105981.13
2024-11-11,3.658528,30030119.0,993,109866045.74
2024-11-12,3.664489,30205021.0,998,110685971.09
2024-11-13,3.668886,30286940.0,1001,111119334.17
2024-11-14,3.67335,30227702.0,994,111036925.44
2024-11-15,3.677505,30342144.0,996,111583393.49
2024-11-18,3.689183,30322743.0,998,111866141.86
2024-11-19,3.695247,30248842.0,1008,111776928.71
2024-11-20,3.699693,30474509.0,1018,112746324.29
2024-11-21,3.704102,31492153.0,1017,116650147.43
2024-11-22,3.708483,31353656.0,1016,116274504.27
2024-11-25,3.719556,31373097.0,1016,116693995.17
2024-11-26,3.725804,31389088.0,1020,116949599.75
2024-11-27,3.730299,31524244.0,1016,117594869.86
2024-11-28,3.734806,31529480.0,1016,117756477.48
2024-11-29,3.739527,31266487.0,1019,116921886.3
2024-12-02,3.7516,32563175.0,1024,122163999.42
2024-12-03,3.75994,25346491.0,1027,95301283.3
2024-12-04,3.764788,25170359.0,1028,94761072.36
2024-12-05,3.769395,24994064.0,1033,94212498.07
2024-12-06,3.773958,25392196.0,1035,95829080.93
2024-12-09,3.786116,25354093.0,1034,95993528.54
2024-12-10,3.792444,25383627.0,1032,96265979.92
2024-12-11,3.797076,25578609.0,1031,97123930.39
2024-12-12,3.80161,25510353.0,1028,96980417.05
2024-12-13,3.806208,25837179.0,1024,98341686.66
2024-12-16,3.818291,25910325.0,1025,98933171.73
2024-12-17,3.824571,25986328.0,1029,99386547.66
2024-12-18,3.829178,27361880.0,1022,104773496.62
2024-12-19,3.833943,27352152.0,1028,104866585.26
2024-12-20,3.838727,27369378.0,1028,105063561.41
2024-12-23,3.851843,27386252.0,1036,105487548.58
2024-12-24,3.858361,27671031.0,1044,106764828.75
2024-12-25,3.863289,27842749.0,1052,107564574.84
2024-12-26,3.868242,27881217.0,1060,107851296.09
2024-12-27,3.874879,21363394.0,1065,82780567.19
2024-12-30,3.888179,21312199.0,1068,82865643.05
2024-12-31,3.895016,21333898.0,1071,83095881.46
2025-01-02,3.904345,21251116.0,1081,82971686.41
2025-01-03,3.910218,21430048.0,1100,83796160.76
2025-01-06,3.923267,23951005.0,1114,93966177.96
2025-01-07,3.929885,24140974.0,1134,94871249.36
2025-01-08,3.934752,28329010.0,1147,111467620.22
2025-01-09,3.939686,29069630.0,1165,114525221.01
2025-01-10,3.94457,29479083.0,1176,116282297.3
2025-01-13,3.96702,29795865.0,1190,118200791.07
2025-01-14,3.973433,30068346.0,1217,119474560.46
2025-01-15,3.978322,30217251.0,1264,120213964.89
2025-01-16,3.983325,31827661.0,1328,126779930.77
2025-01-17,3.987827,33290910.0,1381,132758399.79
2025-01-20,4.000375,36195968.0,1416,144797454.05
2025-01-21,4.012447,37239329.0,1444,149420845.03
2025-01-22,4.017324,37447624.0,1493,150439247.67
2025-01-23,4.022466,39381326.0,1540,158410030.72
2025-01-24,4.026386,46850129.0,1569,188636684.92
2025-01-27,4.038495,47885369.0,1585,193384809.47
2025-01-28,4.044738,47322318.0,1605,191406376.34
2025-01-29,4.050148,47797968.0,1630,193588845.6
2025-01-30,4.054854,53514731.0,1630,216994419.44
2025-01-31,4.059635,63719025.0,1668,258675991.93
2025-02-03,4.072776,63451228.0,1696,258422615.67
2025-02-04,4.078833,64171615.0,1706,261745296.77
2025-02-05,4.083609,67340880.0,1733,274993833.87
2025-02-06,4.087993,70888927.0,1759,289793436.41
2025-02-07,4.092635,74459440.0,1787,304735317.8
2025-02-10,4.105145,75887373.0,1810,311528703.24
2025-02-11,4.111636,76211984.0,1818,313355928.17
2025-02-12,4.116428,79004591.0,1820,325216700.81
2025-02-13,4.121185,79056679.0,1835,325807205.1
2025-02-14,4.125967,79399940.0,1861,327601531.42
2025-02-17,4.137874,79916641.0,1874,330684956.9
