date,fiyat,pay,hesap,buyukluk
2024-09-02,2.075085,49250956.0,2409,102199914.7
2024-09-03,2.089722,49250956.0,2402,102920785.43
2024-09-04,2.070484,49258667.0,2400,101989274.01
2024-09-05,2.031916,48468338.0,2397,98483582.71
2024-09-06,2.032185,48282635.0,2368,98119232.39
2024-09-09,2.013503,48193484.0,2365,97037744.76
2024-09-10,1.992423,48004268.0,2363,95644796.53
2024-09-11,1.973687,47946058.0,2356,94630513.25
2024-09-12,1.983507,47796787.0,2347,94805244.04
2024-09-13,1.995162,47779374.0,2340,95327592.83
2024-09-16,2.015619,47773838.0,2333,96293862.62
2024-09-17,2.025267,47693046.0,2327,96591133.19
2024-09-18,2.054373,43829916.0,2324,90043005.07
2024-09-19,2.056324,43657782.0,2320,89774535.62
2024-09-20,2.07916,43685615.0,2312,90829373.05
2024-09-23,2.058072,43717719.0,2309,89974220.17
2024-09-24,2.06293,43529036.0,2306,89797371.3
2024-09-25,2.070842,43485111.0,2296,90050786.93
2024-09-26,2.057393,43481313.0,2294,89458146.64
2024-09-27,2.066175,43440802.0,2291,89756284.13
2024-09-30,2.092765,43440919.0,2292,90911639.14
2024-10-01,2.079867,43445032.0,2288,90359896.45
2024-10-02,2.049878,43460266.0,2291,89088233.79
2024-10-03,2.025813,43362582.0,2283,87844502.46
2024-10-04,2.0195,43306962.0,2275,87458421.26
2024-10-07,2.026894,43288807.0,2271,87741844.29
2024-10-08,2.042455,43224498.0,2268,88284079.12
2024-10-09,2.033459,42745953.0,2264,86922138.92
2024-10-10,2.044932,42735821.0,2258,87391845.76
2024-10-11,2.025974,42661323.0,2251,86430740.82
2024-10-14,2.017058,42550660.0,2251,85827143.43
2024-10-15,2.029361,42550660.0,2245,86350665.22
2024-10-16,2.039787,42544665.0,2252,86782053.96
2024-10-17,2.040726,38561249.0,2249,78692924.6
2024-10-18,2.0395,38558832.0,2235,78640741.0
2024-10-21,2.032703,38554669.0,2232,78370178.26
2024-10-22,2.016671,38511326.0,2230,77664664.14
2024-10-23,2.015908,38126592.0,2225,76859688.41
2024-10-24,2.004651,38050597.0,2222,76278172.88
2024-10-25,2.01306,38000751.0,2217,76497796.21
2024-10-28,2.02082,37998190.0,2210,76787516.48
2024-10-30,2.022245,37751120.0,2207,76342018.25
2024-10-31,2.02684,37702618.0,2205,76417179.67
2024-11-01,2.011527,37601500.0,2201,75636421.86
2024-11-04,2.021099,37598179.0,2194,75989640.64
2024-11-05,2.019548,37598834.0,2188,75932642.69
2024-11-06,2.022122,37566909.0,2185,75964863.31
2024-11-07,2.044194,37531138.0,2181,76720917.05
2024-11-08,2.037285,37505587.0,2175,76409581.04
2024-11-11,2.036478,37499285.0,2175,76366485.76
2024-11-12,2.060921,37499285.0,2168,77283056.46
2024-11-13,2.051253,37490322.0,2169,76902145.53
2024-11-14,2.033893,37447965.0,2171,76165139.67
2024-11-15,2.03371,37395389.0,2158,76051364.08
2024-11-18,2.015151,37381244.0,2154,75328840.48
2024-11-19,2.01118,37114112.0,2153,74643156.69
2024-11-20,2.006969,36867161.0,2146,73991254.57
2024-11-21,2.001901,36642143.0,2145,73353930.19
2024-11-22,2.018856,36606934.0,2135,73904143.69
2024-11-25,2.042264,36577096.0,2130,74700080.62
2024-11-26,2.087872,36567858.0,2132,76349013.54
2024-11-27,2.094062,36393331.0,2133,76209889.14
2024-11-28,2.088545,36390278.0,2133,76002737.9
2024-11-29,2.084635,36390278.0,2125,75860442.32
2024-12-02,2.090242,36445505.0,2119,76179928.56
2024-12-03,2.10255,36396511.0,2113,76525475.57
2024-12-04,2.109737,36292827.0,2103,76568306.92
2024-12-05,2.101863,36288939.0,2095,76274366.89
2024-12-06,2.092121,36124833.0,2088,75577505.33
2024-12-09,2.09626,36003569.0,2088,75472852.42
2024-12-10,2.125481,36009837.0,2093,76538223.38
2024-12-11,2.10944,35904204.0,2097,75737771.61
2024-12-12,2.109848,35853842.0,2095,75646165.0
2024-12-13,2.09924,35849632.0,2091,75256968.83
2024-12-16,2.089878,35704147.0,2091,74617294.12
2024-12-17,2.089937,35467465.0,2089,74124763.31
2024-12-18,2.097884,35452120.0,2087,74374420.8
2024-12-19,2.089249,35213739.0,2082,73570256.84
2024-12-20,2.02849,35246683.0,2080,71497542.44
2024-12-23,1.999275,35252048.0,2080,70478554.61
2024-12-24,2.029214,35243485.0,2078,71516560.08
2024-12-25,2.039084,34990169.0,2078,71347890.97
2024-12-26,2.053535,34990169.0,2078,71853547.2
2024-12-27,2.058307,34946505.0,2079,71930629.16
2024-12-30,2.069342,34840046.0,2075,72095960.19
2024-12-31,2.049643,34842789.0,2072,71415279.44
2025-01-02,2.060954,34835735.0,2076,71794840.41
2025-01-03,2.055281,34831212.0,2080,71587938.33
2025-01-06,2.064624,34996151.0,2077,72253893.92
2025-01-07,2.119937,35034406.0,2078,74270730.47
2025-01-08,2.116424,34977463.0,2099,74027154.81
2025-01-09,2.086522,35326909.0,2100,73710374.22
2025-01-10,2.075662,35489262.0,2089,73663708.47
2025-01-13,2.075669,35437282.0,2084,73556076.95
2025-01-14,2.032109,35035078.0,2085,71195113.87
2025-01-15,2.074521,35016997.0,2072,72643497.8
2025-01-16,2.087576,34792807.0,2064,72632623.69
2025-01-17,2.09145,34783344.0,2056,72747613.6
2025-01-20,2.119879,34801393.0,2056,73774748.92
2025-01-21,2.120579,34801393.0,2054,73799107.91
2025-01-22,2.119301,34789455.0,2060,73729340.35
2025-01-23,2.107698,34717004.0,2056,73172958.37
2025-01-24,2.086033,34728134.0,2038,72444028.61
2025-01-27,2.10226,34715170.0,2036,72980302.35
2025-01-28,2.076823,34614852.0,2036,71888935.48
2025-01-29,2.08177,33148806.0,2037,69008189.36
2025-01-30,2.071124,33132189.0,2037,68620866.02
2025-01-31,2.073615,33081138.0,2023,68597542.16
2025-02-03,2.093896,32977257.0,2020,69050936.39
2025-02-04,2.03721,32886386.0,2014,66996478.81
2025-02-05,2.053577,32767817.0,2012,67291224.99
2025-02-06,2.056281,32733379.0,2009,67309015.64
2025-02-07,2.060458,32726736.0,2002,67432055.15
2025-02-10,2.066416,32450952.0,1996,67057163.07
2025-02-11,2.057424,32285475.0,1994,66424915.84
2025-02-12,2.04621,31928820.0,1992,65333073.85
2025-02-13,2.02267,31928562.0,1982,64580960.06
2025-02-14,2.044458,31854894.0,1977,65126007.17
2025-02-17,2.078016,31849727.0,1973,66184232.6
2025-02-18,2.079724,31849727.0,1973,66238628.39
2025-02-19,2.07355,30590124.0,1968,63430152.02
2025-02-20,2.085814,30547834.0,1965,63717094.64
2025-02-21,2.08784,30510884.0,1960,63701834.95
2025-02-24,2.077333,30468134.0,1942,63292465.09
2025-02-25,2.05028,30467123.0,1938,62466137.61
2025-02-26,2.028904,30456786.0,1932,61793886.76
2025-02-27,2.033224,29952516.0,1929,60900170.3
2025-02-28,2.026633,29936683.0,1923,60670661.57
2025-03-03,1.989888,29899457.0,1917,59496577.75
2025-03-04,2.00475,29895453.0,1915,59932915.86
2025-03-05,1.936496,29591607.0,1914,57304027.05
2025-03-06,1.955805,29401934.0,1912,57504450.85
2025-03-07,1.959421,29399947.0,1909,57606872.72
2025-03-10,1.967805,29403147.0,1908,57859654.28
2025-03-11,1.993058,29388268.0,1907,58572522.49
2025-03-12,1.976783,29371666.0,1905,58061395.83
2025-03-13,1.964088,29300171.0,1902,57548108.41
2025-03-14,1.957207,29286855.0,1900,57320435.99
2025-03-17,1.960546,29283653.0,1897,57411956.01
2025-03-18,1.98804,29198342.0,1891,58047480.81
2025-03-19,1.992063,29168956.0,1894,58106402.46
2025-03-20,2.028055,29145468.0,1885,59108607.58
2025-03-21,2.023424,29142945.0,1873,58968520.31
2025-03-24,1.974348,29006714.0,1872,57269342.5
2025-03-25,2.01451,29012431.0,1870,58445839.69
2025-03-26,2.028764,29001899.0,1868,58838013.2
2025-03-27,2.034368,28993640.0,1865,58983725.41
2025-03-28,2.016456,28325845.0,1855,57117819.77
2025-04-02,2.000716,28558207.0,1855,57136849.49
2025-04-03,1.981339,28371567.0,1855,56213684.13
2025-04-04,1.962751,28417323.0,1858,55776125.78
2025-04-07,1.878201,28410637.0,1857,53360879.56
2025-04-08,1.836983,28389464.0,1851,52150969.48
2025-04-09,1.889836,28375384.0,1850,53624831.16
2025-04-10,1.804817,28418506.0,1845,51290214.25
2025-04-11,1.891334,27827175.0,1842,52630481.58
2025-04-14,1.88061,27829613.0,1841,52336644.31
2025-04-15,1.93634,27852489.0,1834,53931880.04
2025-04-16,1.940372,25915615.0,1830,50285927.31
2025-04-17,1.91337,25803323.0,1830,49371304.05
2025-04-18,1.910182,25809389.0,1826,49300637.79
2025-04-21,1.910401,25791889.0,1820,49272851.23
2025-04-22,1.890331,25791921.0,1820,48755256.32
2025-04-24,1.899511,25771911.0,1817,48954029.18
2025-04-25,1.942042,25771923.0,1815,50050152.67
2025-04-28,1.967608,25765862.0,1810,50697112.25
2025-04-29,1.996071,25760420.0,1811,51419615.56
2025-04-30,1.99024,25730678.0,1808,51210231.8
2025-05-02,1.957789,25727010.0,1805,50368058.24
2025-05-05,2.008517,25488309.0,1800,51193693.16
2025-05-06,2.005737,25481958.0,1796,51110098.18
2025-05-07,2.004143,25488353.0,1791,51082303.62
2025-05-08,2.00482,25412695.0,1785,50947878.14
2025-05-09,2.024364,25408599.0,1780,51436263.7
2025-05-12,2.06324,25359165.0,1774,52322042.37
2025-05-13,2.135787,25299187.0,1772,54033669.6
2025-05-14,2.165832,25380979.0,1774,54970928.86
2025-05-15,2.163493,25464972.0,1773,55093298.96
2025-05-16,2.150579,25582096.0,1768,55016324.18
2025-05-20,2.172615,25530375.0,1762,55467677.88
2025-05-21,2.181222,25474907.0,1760,55566421.84
2025-05-22,2.158345,25340300.0,1758,54693106.13
2025-05-23,2.107327,25349412.0,1755,53419508.31
2025-05-26,2.092975,25377253.0,1755,53113952.58
2025-05-27,2.102275,25377253.0,1755,53349969.55
2025-05-28,2.115496,25219488.0,1756,53351731.51
2025-05-29,2.132337,25226931.0,1750,53792313.45
2025-05-30,2.127197,25259713.0,1742,53732397.96
2025-06-02,2.105219,25253356.0,1735,53163841.13
2025-06-03,2.093686,25238332.0,1734,52841139.31
2025-06-04,2.110016,25223187.0,1728,53221330.08
2025-06-05,2.145977,25182945.0,1720,54042020.73
2025-06-10,2.152053,25206788.0,1720,54246350.98
2025-06-11,2.195038,25209645.0,1719,55336137.84
2025-06-12,2.209009,25254209.0,1720,55786762.98
2025-06-13,2.19,25310376.0,1727,55429718.85
2025-06-16,2.162891,25287646.0,1725,54694426.38
2025-06-17,2.196145,25176538.0,1722,55291319.87
2025-06-18,2.162713,24813156.0,1723,53663737.58
2025-06-19,2.162973,25120030.0,1721,54333938.57
2025-06-20,2.16062,25120030.0,1721,54274847.93
2025-06-23,2.173105,25114244.0,1715,54575888.8
2025-06-24,2.153934,24957039.0,1706,53755809.19
2025-06-25,2.189204,24946643.0,1704,54613278.46
2025-06-26,2.202468,24955884.0,1694,54964530.54
2025-06-27,2.215672,24818337.0,1695,54989282.26
2025-06-30,2.230888,24757024.0,1694,55230158.22
2025-07-01,2.232716,24760688.0,1694,55283578.51
2025-07-02,2.231632,24760060.0,1697,55255342.12
2025-07-03,2.267912,24915825.0,1698,56506900.18
2025-07-04,2.30276,24997328.0,1699,57562847.56
2025-07-07,2.312306,24997328.0,1699,57801459.16
2025-07-08,2.308808,25567453.0,1703,59030350.61
2025-07-09,2.299536,25858268.0,1713,59462018.16
2025-07-10,2.32279,25740832.0,1716,59790541.21
2025-07-11,2.348554,25633986.0,1711,60202795.64
2025-07-14,2.345966,25660308.0,1707,60198222.41
2025-07-16,2.334806,25812702.0,1702,60267656.01
2025-07-17,2.335082,25637957.0,1701,59866737.82
2025-07-18,2.354032,25687902.0,1703,60470150.03
2025-07-21,2.389205,25688772.0,1700,61375747.87
2025-07-22,2.420446,25730059.0,1697,62278224.08
2025-07-23,2.405991,26018816.0,1728,62601030.16
2025-07-24,2.434351,26856986.0,1773,65379321.14
2025-07-25,2.428316,27332322.0,1801,66371505.6
2025-07-28,2.426458,27602076.0,1829,66975286.23
2025-07-29,2.433472,27732927.0,1840,67487291.34
2025-07-30,2.420924,27995776.0,1850,67775638.41
2025-07-31,2.403412,28074241.0,1863,67473974.14
2025-08-01,2.403292,28142510.0,1865,67634660.84
2025-08-04,2.366508,27650085.0,1874,65434158.88
2025-08-05,2.394157,27610789.0,1882,66104572.75
2025-08-06,2.408163,27374976.0,1894,65923391.61
2025-08-07,2.399116,27545692.0,1912,66085302.91
2025-08-08,2.421463,27778362.0,1929,67264277.53
2025-08-11,2.42356,27816942.0,1938,67416017.71
2025-08-12,2.438322,27778377.0,1942,67732637.87
2025-08-13,2.43846,27504748.0,1960,67069240.0
2025-08-14,2.480073,27465446.0,1974,68116313.19
2025-08-15,2.479501,27467351.0,1972,68105311.14
2025-08-18,2.495821,27607161.0,1985,68902528.59
2025-08-19,2.529154,27690262.0,1995,70032931.68
2025-08-20,2.527515,28076508.0,2015,70963801.49
2025-08-21,2.506636,28570183.0,2036,71615041.79
2025-08-22,2.489168,28740825.0,2056,71540750.99
2025-08-25,2.515775,28604169.0,2068,71961657.47
2025-08-26,2.538971,28643461.0,2071,72724919.01
2025-08-27,2.536177,28738721.0,2083,72886487.26
2025-08-28,2.5303,28794437.0,2118,72858558.2
2025-08-29,2.533156,28935186.0,2136,73297350.86
2025-09-01,2.529686,29013322.0,2155,73394593.29
2025-09-02,2.528535,29013322.0,2155,73361192.1
2025-09-03,2.486447,28892776.0,2167,71840369.58
2025-09-04,2.496066,28963418.0,2218,72294607.04
2025-09-05,2.496986,29051788.0,2235,72541894.58
2025-09-08,2.536968,28977604.0,2227,73515262.86
2025-09-09,2.525618,29136053.0,2227,73586546.22
2025-09-10,2.496399,29113158.0,2250,72678062.14
2025-09-11,2.49635,29204657.0,2274,72905032.57
2025-09-12,2.499055,29140264.0,2301,72823115.29
2025-09-15,2.504518,29197586.0,2310,73125871.03
2025-09-16,2.524874,29284580.0,2314,73939887.93
2025-09-17,2.552573,28804806.0,2331,73526379.05
2025-09-18,2.574586,28730516.0,2345,73969183.21
2025-09-19,2.594128,28736577.0,2348,74546349.24
2025-09-22,2.614826,28752718.0,2352,75183358.04
2025-09-23,2.628695,28847308.0,2376,75830776.45
2025-09-24,2.667048,29690324.0,2459,79185505.98
2025-09-25,2.644884,30057576.0,2495,79498806.78
2025-09-26,2.616123,30464727.0,2524,79699460.02
2025-09-29,2.629273,34223551.0,2709,89983046.64
2025-09-30,2.64688,34941869.0,2849,92486944.91
2025-10-01,2.643443,32932415.0,2961,87054963.5
2025-10-02,2.661498,33442030.0,3027,89005898.13
2025-10-03,2.688818,33661584.0,3072,90509868.64
2025-10-06,2.707288,33945389.0,3128,91899948.12
2025-10-07,2.734203,34287656.0,3193,93749422.75
2025-10-08,2.750578,35259744.0,3284,96984667.34
2025-10-09,2.726544,36253465.0,3349,98846684.31
2025-10-10,2.73667,37612887.0,3423,102934041.99
2025-10-13,2.734361,38407450.0,3547,105019830.79
2025-10-14,2.727517,38407450.0,3547,104756965.72
2025-10-15,2.716715,39832692.0,3632,108214073.14
2025-10-16,2.79061,41811547.0,3790,116679719.35
2025-10-17,2.799685,41929956.0,3845,117390650.76
2025-10-20,2.764448,42845838.0,3929,118445109.2
2025-10-21,2.794394,44614423.0,4011,124670257.0
2025-10-22,2.785432,45119114.0,4133,125676227.16
2025-10-23,2.774737,47714880.0,4221,132396244.38
2025-10-24,2.750072,48215611.0,4261,132596391.56
2025-10-27,2.789617,48327020.0,4274,134813885.37
2025-10-28,2.798612,48801682.0,4281,136576987.28
2025-10-30,2.795731,49926726.0,4339,139581686.72
2025-10-31,2.763098,49214693.0,4345,135985038.29
2025-11-03,2.749301,52618782.0,4380,144664879.17
2025-11-04,2.769167,52756741.0,4423,146092240.91
2025-11-05,2.724561,52905886.0,4457,144145312.17
2025-11-06,2.731267,52554169.0,4478,143539463.45
2025-11-07,2.799453,52656396.0,4481,147409101.84
2025-11-10,2.733938,52750925.0,4478,144217776.88
2025-11-11,2.794888,51555984.0,4471,144093199.16
2025-11-12,2.765788,51555984.0,4471,142592919.36
2025-11-13,2.772581,51971607.0,4486,144095507.23
2025-11-14,2.755359,50193793.0,4508,138301937.59
2025-11-17,2.674635,50166428.0,4502,134176864.15
2025-11-18,2.709709,49859804.0,4473,135105564.55
2025-11-19,2.662454,49880076.0,4494,132803383.31
2025-11-20,2.670471,49566635.0,4496,132366247.07
2025-11-21,2.705214,49215319.0,4490,133137961.44
2025-11-24,2.629307,49212665.0,4469,129395206.95
2025-11-25,2.673231,49233435.0,4460,131612345.98
2025-11-26,2.692083,49363551.0,4471,132890765.77
2025-11-27,2.724584,49789247.0,4475,135654965.61
2025-11-28,2.742862,49789247.0,4475,136565036.91
2025-12-01,2.750038,49675306.0,4468,136608974.47
2025-12-02,2.747767,49152895.0,4473,135060691.67
2025-12-03,2.73982,49897063.0,4469,136708973.26
2025-12-04,2.742881,49273741.0,4437,135152029.16
2025-12-05,2.761755,47063041.0,4423,129976597.17
2025-12-08,2.785235,46699368.0,4403,130068707.64
2025-12-09,2.783881,46599734.0,4388,129728101.83
2025-12-10,2.769347,46320757.0,4386,128278236.76
2025-12-11,2.752782,45476872.0,4384,125187902.27
2025-12-12,2.77281,45150494.0,4362,125193721.41
2025-12-15,2.808326,42851438.0,4340,120340821.31
2025-12-16,2.784324,42752912.0,4336,119037955.67
2025-12-17,2.765351,42323853.0,4366,117040306.41
2025-12-18,2.76271,42224299.0,4380,116653504.45
2025-12-19,2.758786,42075309.0,4370,116076777.26
2025-12-22,2.763914,42043831.0,4374,116205537.08
2025-12-23,2.790151,42023028.0,4380,117250576.7
2025-12-24,2.801811,41931158.0,4433,117483186.67
2025-12-25,2.792022,41671373.0,4478,116347408.09
2025-12-26,2.794551,41671373.0,4478,116452780.02
2025-12-29,2.800038,41852923.0,4493,117189788.53
2025-12-30,2.789194,42069967.0,4557,117341303.59
2025-12-31,2.780941,41973906.0,4598,116726953.84
2026-01-02,2.756425,42629253.0,4603,117504334.85
2026-01-05,2.767072,42819232.0,4617,118483898.72
2026-01-06,2.813266,42811779.0,4662,120440920.69
2026-01-07,2.834846,42772829.0,4759,121254370.89
2026-01-08,2.850482,42674198.0,4820,121642018.91
2026-01-09,2.830182,43039701.0,4900,121810198.59
2026-01-12,2.860274,43603097.0,4939,124716792.84
2026-01-13,2.876582,43914543.0,5004,126323778.2
2026-01-14,2.909795,44315381.0,5187,128948672.65
2026-01-15,2.902262,44907500.0,5312,130333311.62
2026-01-16,2.926884,46580617.0,5379,136336076.05
2026-01-19,2.924067,47982713.0,5466,140304674.82
2026-01-20,2.942218,47982713.0,5466,141175593.66
2026-01-21,2.91032,48998391.0,5521,142601007.26
2026-01-22,2.922619,49364456.0,5881,144273508.35
2026-01-23,2.975174,49797307.0,5978,148155636.51
2026-01-26,2.976715,50251975.0,6031,149585817.05
2026-01-27,2.966483,50454754.0,6080,149673156.62
2026-01-28,2.958428,51036679.0,6198,150988337.28
2026-01-29,2.984075,52818426.0,6290,157614133.81
2026-01-30,2.980347,53449646.0,6349,159298513.19
2026-02-02,2.947065,55089810.0,6410,162353243.12
2026-02-03,2.927236,55810421.0,6434,163370254.44
2026-02-04,2.94731,54422811.0,6517,160400875.83
2026-02-05,2.97829,54337933.0,6548,161834124.84
2026-02-06,2.920433,54367619.0,6555,158776984.12
2026-02-09,2.931216,54659918.0,6565,160220039.01
2026-02-10,2.965065,54653320.0,6573,162050626.6
2026-02-11,2.985219,54216404.0,6590,161847853.6
2026-02-12,3.01928,54279641.0,6597,163885443.17
2026-02-13,3.005339,54284321.0,6591,163142790.64
2026-02-16,2.939466,54595015.0,6609,160480215.85
2026-02-17,2.971365,54595015.0,6609,162221712.37
2026-02-18,2.971227,54805064.0,6611,162838297.52
2026-02-19,2.976337,54818107.0,6649,163157186.57
2026-02-20,2.959473,54604230.0,6650,161599723.8
2026-02-23,2.964868,53329303.0,6576,158114323.94
2026-02-24,2.967397,53269520.0,6554,158071820.94
2026-02-25,2.961368,52948444.0,6557,156799821.52
2026-02-26,3.005745,51686410.0,6551,155356167.82
2026-02-27,2.976564,51601991.0,6511,153596605.93
2026-03-02,2.948111,51770370.0,6494,152624800.33
2026-03-03,2.879046,51723097.0,6472,148913169.48
2026-03-04,2.8544,51617536.0,6459,147337090.86
2026-03-05,2.88844,51203398.0,6447,147897931.98
2026-03-06,2.878598,50532977.0,6420,145464145.32
2026-03-09,2.808643,50685253.0,6394,142356783.55
2026-03-10,2.770037,50410248.0,6379,139638252.03
2026-03-11,2.861068,50081062.0,6372,143285317.39
2026-03-12,2.862124,50011760.0,6362,143139874.65
2026-03-13,2.842468,50109565.0,6325,142434820.07
2026-03-16,2.845145,50138483.0,6301,142651251.46
2026-03-17,2.851695,49948886.0,6285,142438986.73
2026-03-18,2.860672,49520686.0,6283,141662448.24
2026-03-19,2.857325,49199445.0,6263,140578810.09
2026-03-23,2.847757,49199445.0,6263,140108055.44
2026-03-24,2.826542,49278183.0,6236,139286841.83
2026-03-25,2.813523,48592117.0,6240,136715034.48
2026-03-26,2.87036,48473117.0,6237,139135297.73
2026-03-27,2.85314,48362755.0,6193,137985713.01
2026-03-30,2.793049,48270617.0,6171,134822177.99
2026-03-31,2.792296,47943975.0,6141,133873788.81
2026-04-01,2.789842,47556677.0,6129,132675593.43
2026-04-02,2.863762,47327469.0,6113,135534615.2
2026-04-03,2.840633,47020161.0,6082,133566998.76
2026-04-06,2.848154,46747997.0,6057,133145497.92
2026-04-07,2.865295,46831935.0,6040,134187324.11
2026-04-08,2.847038,46827998.0,6039,133321085.58
2026-04-09,2.936896,46820132.0,6042,137505871.64
2026-04-10,2.939944,46725824.0,6029,137371314.04
2026-04-13,2.976524,46706068.0,6019,139021717.66
2026-04-14,2.972769,46812678.0,6020,139163300.96
2026-04-15,3.024363,46906079.0,6040,141861003.79
2026-04-16,3.037191,46920555.0,6031,142506670.07
2026-04-17,3.02947,46818658.0,6029,141835705.59
2026-04-20,3.063193,47368108.0,6011,145097673.1
2026-04-21,3.058467,47607509.0,6006,145606007.09
2026-04-22,3.098573,49065909.0,6013,152034309.78
2026-04-24,3.115451,49671252.0,6019,154748375.84
2026-04-27,3.115653,52096442.0,6010,162314424.95
2026-04-28,3.122381,51710420.0,6018,161459643.57
2026-04-29,3.079104,50162092.0,6029,154454303.55
2026-04-30,3.088293,50312180.0,6026,155378762.88
2026-05-04,3.097798,50558680.0,6013,156620574.08
2026-05-05,3.136259,51055249.0,6008,160122506.99
2026-05-06,3.151342,51036661.0,6028,160833994.81
2026-05-07,3.176507,50749146.0,6038,161205017.78
2026-05-08,3.199487,51033699.0,6027,163281646.73
2026-05-11,3.179025,50286994.0,6026,159863613.22
2026-05-12,3.219909,50406978.0,6022,162305864.14
2026-05-13,3.19188,50227114.0,6030,160318927.72
