date,fiyat,pay,hesap,buyukluk
2024-09-02,17.352736,15962704.0,2134,276996592.0
2024-09-03,17.734715,15952648.0,2130,282915672.9
2024-09-04,17.644437,15874409.0,2131,280095016.62
2024-09-05,17.559938,15870663.0,2127,278687857.45
2024-09-06,17.527367,15865230.0,2124,278075703.43
2024-09-09,17.294973,15849183.0,2120,274111197.08
2024-09-10,17.22869,15812916.0,2120,272435834.28
2024-09-11,17.080204,15615114.0,2108,266709327.59
2024-09-12,16.710157,15559153.0,2097,259995882.97
2024-09-13,16.816576,15530545.0,2086,261170583.98
2024-09-16,17.157997,15531774.0,2084,266494127.31
2024-09-17,17.178851,15519743.0,2075,266611351.53
2024-09-18,17.453948,14210289.0,2069,248025638.73
2024-09-19,17.316145,14191086.0,2066,245734905.53
2024-09-20,17.660728,14189482.0,2067,250596579.69
2024-09-23,17.805074,14189145.0,2063,252638777.78
2024-09-24,17.664772,14154241.0,2054,250031435.01
2024-09-25,17.633635,14136687.0,2045,249281178.66
2024-09-26,17.263065,14108684.0,2037,243559131.67
2024-09-27,17.360805,14117842.0,2032,245097108.41
2024-09-30,17.422586,14097997.0,2032,245623571.92
2024-10-01,17.140245,14098701.0,2031,241655192.5
2024-10-02,16.591532,14075559.0,2028,233535090.73
2024-10-03,16.130901,14035658.0,2024,226407810.29
2024-10-04,15.939656,13998916.0,2019,223137901.33
2024-10-07,16.227671,13999017.0,2012,227171441.51
2024-10-08,16.242955,13999886.0,2010,227399516.83
2024-10-09,16.130646,13993602.0,2007,225725834.34
2024-10-10,16.232363,13992907.0,2003,227137942.28
2024-10-11,16.073368,13980223.0,1997,224709266.62
2024-10-14,15.808126,13974901.0,1993,220917000.04
2024-10-15,15.309347,13974251.0,1987,213936660.33
2024-10-16,15.547789,13953465.0,1976,216945526.18
2024-10-17,15.68267,12655086.0,1967,198465543.2
2024-10-18,15.848805,12655039.0,1961,200567251.37
2024-10-21,15.572018,12653208.0,1960,197035981.51
2024-10-22,15.391222,12653085.0,1961,194746446.5
2024-10-23,15.658731,12650942.0,1954,198097693.82
2024-10-24,15.427228,12642405.0,1947,195037266.98
2024-10-25,15.654264,12629977.0,1945,197712989.24
2024-10-28,15.75167,12631581.0,1945,198968496.73
2024-10-30,15.826708,12621992.0,1936,199764576.56
2024-10-31,15.935083,12622158.0,1933,201135139.3
2024-11-01,15.884513,12617714.0,1928,200426242.92
2024-11-04,15.8768,12598701.0,1924,200027055.24
2024-11-05,15.538898,12598470.0,1925,195766337.49
2024-11-06,15.510771,12587402.0,1919,195240315.11
2024-11-07,15.992174,12593371.0,1914,201395382.3
2024-11-08,16.145952,12591036.0,1911,203294262.66
2024-11-11,16.416734,12590920.0,1908,206701780.67
