date,fiyat,pay,hesap,buyukluk
2024-09-02,0.069902,5267215540.0,3954,368188520.97
2024-09-03,0.06999,5318510653.0,3951,372242792.36
2024-09-04,0.070076,4995606005.0,3981,350070708.01
2024-09-05,0.070173,5182284920.0,3954,363654164.64
2024-09-06,0.070257,5306970391.0,3960,372852624.52
2024-09-09,0.070526,5293916813.0,3951,373361109.24
2024-09-10,0.070616,4911710529.0,3936,346846961.75
2024-09-11,0.070705,5062716453.0,3927,357957721.07
2024-09-12,0.070783,4717801138.0,3934,333941271.02
2024-09-13,0.070873,5136310913.0,3938,364026080.6
2024-09-16,0.071136,4696150873.0,3965,334066498.33
2024-09-17,0.071214,5201648175.0,3992,370428153.93
2024-09-18,0.071298,4783766078.0,3991,341074584.19
2024-09-19,0.071379,4969858528.0,3996,354746010.04
2024-09-20,0.071462,4805219039.0,3950,343390548.06
2024-09-23,0.071752,5114331857.0,3985,366961169.62
2024-09-24,0.071837,5377684925.0,3998,386314131.41
2024-09-25,0.071936,5115148166.0,3997,367963436.05
2024-09-26,0.072025,4787380682.0,3986,344811612.4
2024-09-27,0.072118,5314087530.0,3996,383243719.43
2024-09-30,0.072387,5963923742.0,3982,431707992.98
2024-10-01,0.072479,5183610271.0,3921,375702090.47
2024-10-02,0.072572,5264341052.0,3886,382044226.02
2024-10-03,0.072664,4807509898.0,3880,349334581.61
2024-10-04,0.072744,5092019869.0,3878,370414397.15
2024-10-07,0.073014,5052561318.0,3909,368909969.89
2024-10-08,0.073093,5130407318.0,3922,374999214.22
2024-10-09,0.073174,4883764460.0,3902,357363686.27
2024-10-10,0.073209,5119678706.0,3895,374807403.5
2024-10-11,0.073308,5175818511.0,3887,379426696.37
2024-10-14,0.073588,5073064603.0,3884,373315699.24
2024-10-15,0.073678,5011191269.0,3884,369214676.78
2024-10-16,0.073757,4771372079.0,3887,351922045.81
2024-10-17,0.073865,4965415040.0,3846,366772672.76
2024-10-18,0.073948,4682248804.0,3857,346242461.35
2024-10-21,0.074238,5047279837.0,3867,374701317.66
2024-10-22,0.074318,4454531876.0,3863,331052203.58
2024-10-23,0.074412,5313446937.0,3865,395383455.76
2024-10-24,0.074506,5575258654.0,3878,415388052.62
2024-10-25,0.074601,5572729195.0,3873,415730384.91
2024-10-28,0.074866,5565795932.0,3884,416691213.69
2024-10-30,0.075058,5632707704.0,3897,422781065.59
2024-10-31,0.075148,5331950610.0,3904,400686458.83
2024-11-01,0.07525,4990015775.0,3929,375498030.96
2024-11-04,0.075531,5182855113.0,3839,391463702.99
2024-11-05,0.075617,4642809351.0,3825,351075594.92
2024-11-06,0.075686,5146532274.0,3778,389521713.21
2024-11-07,0.075785,5496000793.0,3767,416512165.28
2024-11-08,0.075884,5053085647.0,3787,383447843.63
2024-11-11,0.076196,5501303575.0,3816,419178785.1
2024-11-12,0.076291,5441429411.0,3846,415129471.59
2024-11-13,0.076388,4612569058.0,3858,352344824.68
2024-11-14,0.07649,5654986041.0,3866,432551450.62
2024-11-15,0.076592,5276941137.0,3871,404171919.69
2024-11-18,0.076886,5422641806.0,3877,416927261.57
2024-11-19,0.076987,5352119913.0,3892,412041432.66
2024-11-20,0.077079,5504225513.0,3841,424262063.37
2024-11-21,0.077186,5728109003.0,3835,442131604.33
2024-11-22,0.077287,5153655508.0,3845,398312526.47
2024-11-25,0.077613,5273091578.0,3869,409260552.74
2024-11-26,0.077778,5350128752.0,3876,416124494.16
2024-11-27,0.07789,5241192192.0,3891,408235844.42
2024-11-28,0.077985,5239605456.0,3903,408613046.07
2024-11-29,0.078087,5181762233.0,3905,404630160.92
2024-12-02,0.078377,5426286929.0,3908,425298589.85
2024-12-03,0.078454,4983892537.0,3897,391006706.34
2024-12-04,0.078553,5215007168.0,3811,409656862.7
2024-12-05,0.078641,4921712875.0,3813,387050563.09
2024-12-06,0.07875,4912390905.0,3791,386848551.69
2024-12-09,0.079053,5196570643.0,3803,410803099.87
