date,fiyat,pay,hesap,buyukluk
2024-09-02,1.256888,35755743.0,121,44940971.82
2024-09-03,1.260319,35749783.0,121,45056144.53
2024-09-04,1.261057,35753232.0,123,45086873.57
2024-09-05,1.261314,35669945.0,123,44990989.56
2024-09-06,1.262591,35670548.0,120,45037328.8
2024-09-09,1.265267,35659358.0,119,45118608.95
2024-09-10,1.266625,35659480.0,120,45167200.75
2024-09-11,1.270071,35706936.0,119,45350340.35
2024-09-12,1.272357,35721399.0,118,45450389.08
2024-09-13,1.273131,35721252.0,116,45477844.38
2024-09-16,1.277223,35698856.0,116,45595405.37
2024-09-17,1.277133,35658396.0,116,45540497.52
2024-09-18,1.282226,35658470.0,114,45722214.32
2024-09-19,1.28564,35543706.0,111,45696396.35
2024-09-20,1.287475,35469932.0,114,45666642.37
2024-09-23,1.287435,35467808.0,113,45662512.96
2024-09-24,1.291211,35420621.0,113,45735496.0
2024-09-25,1.294515,35381790.0,113,45802272.34
2024-09-26,1.292706,35379298.0,113,45735019.8
2024-09-27,1.289719,35370918.0,112,45618557.13
2024-09-30,1.289878,35369825.0,112,45622773.58
2024-10-01,1.288948,35369835.0,114,45589870.3
2024-10-02,1.28329,35355062.0,115,45370786.52
2024-10-03,1.284867,35357464.0,114,45429649.92
2024-10-04,1.286239,35333535.0,113,45447386.35
2024-10-07,1.291213,35296980.0,112,45575918.41
2024-10-08,1.292881,35295427.0,112,45632791.87
2024-10-09,1.294553,35295438.0,111,45691829.73
2024-10-10,1.296227,35292320.0,109,45746851.92
2024-10-11,1.297861,35283674.0,110,45793304.09
2024-10-14,1.302821,35283536.0,109,45968142.88
2024-10-15,1.30447,35281209.0,109,46023278.56
2024-10-16,1.306111,35281139.0,109,46081097.35
2024-10-17,1.307767,35283383.0,107,46142454.43
2024-10-18,1.309438,35276357.0,108,46192216.41
2024-10-21,1.314474,36310389.0,109,47729059.84
2024-10-22,1.316164,36332422.0,110,47819427.54
2024-10-23,1.317855,36367590.0,108,47927228.41
2024-10-24,1.319528,36380968.0,107,48005712.44
2024-10-25,1.321171,36356110.0,106,48032645.11
2024-10-28,1.326162,36356109.0,106,48214089.9
2024-10-30,1.328994,36356136.0,105,48317075.33
2024-10-31,1.330667,36292000.0,105,48292551.36
2024-11-01,1.33234,36293532.0,102,48355341.91
2024-11-04,1.337477,35360882.0,102,47294382.25
2024-11-05,1.339195,35357822.0,102,47351023.55
2024-11-06,1.340916,35357889.0,102,47411959.84
2024-11-07,1.342646,35357201.0,102,47472195.89
2024-11-08,1.344214,35357463.0,102,47527985.7
2024-11-11,1.349341,35357502.0,102,47709311.68
2024-11-12,1.351794,35357504.0,101,47796057.03
2024-11-13,1.354538,35355341.0,101,47890158.12
2024-11-14,1.360349,35355326.0,100,48095578.87
2024-11-15,1.364781,35354378.0,101,48250993.09
2024-11-18,1.367909,35761523.0,105,48918511.15
2024-11-19,1.370799,35922042.0,105,49241894.54
2024-11-20,1.368571,36060512.0,107,49351371.74
2024-11-21,1.369595,36791448.0,108,50389393.56
2024-11-22,1.378013,36668506.0,107,50529661.52
2024-11-25,1.385456,36179225.0,107,50124726.42
2024-11-26,1.386038,36179911.0,109,50146721.55
2024-11-27,1.387245,35998614.0,109,49938912.37
2024-11-28,1.389013,36143042.0,108,50203145.69
2024-11-29,1.390904,36132533.0,105,50256879.68
2024-12-02,1.395013,36134143.0,106,50407600.77
2024-12-03,1.396651,36134351.0,107,50467078.73
2024-12-04,1.401647,36199094.0,108,50738362.58
2024-12-05,1.403697,36306976.0,112,50963975.39
2024-12-06,1.406475,36424628.0,115,51230310.57
2024-12-09,1.413257,36570715.0,116,51683805.25
2024-12-10,1.420228,36578995.0,117,51950526.17
2024-12-11,1.417227,36936040.0,118,52346742.07
2024-12-12,1.417086,36909361.0,117,52303752.18
2024-12-13,1.416665,36908281.0,118,52286656.8
2024-12-16,1.422131,36911813.0,116,52493444.2
2024-12-17,1.418589,36895345.0,115,52339319.71
2024-12-18,1.419947,36895828.0,113,52390117.91
2024-12-19,1.418728,36788112.0,109,52192327.05
2024-12-20,1.41859,35852463.0,106,50859951.48
2024-12-23,1.422921,35671779.0,106,50758136.82
2024-12-24,1.424721,35668734.0,105,50817977.93
2024-12-25,1.426533,35668585.0,105,50882409.62
