date,fiyat,pay,hesap,buyukluk
2024-09-02,1.017336,15160555.0,247,15423372.71
2024-09-03,1.041397,15159156.0,247,15786701.87
2024-09-04,1.030763,15160535.0,249,15626925.44
2024-09-05,1.026953,15151934.0,251,15560318.06
2024-09-06,1.026216,15162071.0,250,15559557.13
2024-09-09,1.007933,15152615.0,248,15272818.48
2024-09-10,0.999377,15152460.0,247,15143025.74
2024-09-11,0.990135,15150767.0,246,15001297.85
2024-09-12,0.967613,15130954.0,245,14640904.8
2024-09-13,0.980893,15131780.0,244,14842649.58
2024-09-16,0.999319,15131552.0,243,15121245.46
2024-09-17,0.991255,15136267.0,240,15003903.53
2024-09-18,1.00671,15135149.0,241,15236709.63
2024-09-19,1.008713,15126194.0,241,15257989.22
2024-09-20,1.031865,15125845.0,243,15607837.16
2024-09-23,1.029696,15126371.0,243,15575567.24
2024-09-24,1.031203,15126379.0,242,15598367.11
2024-09-25,1.047642,15126240.0,242,15846881.13
2024-09-26,1.033744,15126388.0,239,15636808.04
2024-09-27,1.026685,15091415.0,240,15494129.34
2024-09-30,1.022376,15092189.0,239,15429899.33
2024-10-01,1.009653,15092096.0,240,15237780.25
2024-10-02,0.972023,15105577.0,240,14682970.13
2024-10-03,0.94222,15106202.0,239,14233371.81
2024-10-04,0.921988,15107356.0,237,13928808.38
2024-10-07,0.9443,15109305.0,238,14267714.38
2024-10-08,0.929134,15113176.0,239,14042172.33
2024-10-09,0.930963,15114094.0,237,14070660.09
2024-10-10,0.945211,15113216.0,238,14285172.91
2024-10-11,0.927642,15113606.0,236,14020015.28
2024-10-14,0.920195,15110032.0,235,13904176.21
2024-10-15,0.905376,15102234.0,236,13673196.1
2024-10-16,0.920836,15103496.0,234,13907846.5
2024-10-17,0.933486,15094918.0,235,14090899.99
2024-10-18,0.939511,15099726.0,235,14186353.33
2024-10-21,0.915342,18131804.0,236,16596801.86
2024-10-22,0.899028,18131958.0,235,16301136.49
2024-10-23,0.917881,18098294.0,233,16612088.0
2024-10-24,0.905566,18101873.0,232,16392446.74
2024-10-25,0.920995,18101667.0,233,16671550.9
2024-10-28,0.923962,18102183.0,231,16725725.42
2024-10-30,0.926659,18100261.0,231,16772767.94
2024-10-31,0.932875,18101305.0,234,16886252.19
2024-11-01,0.916596,18129797.0,234,16617693.92
2024-11-04,0.91692,18129838.0,234,16623603.23
2024-11-05,0.890659,18129880.0,234,16147548.35
2024-11-06,0.883273,18130560.0,235,16014228.54
2024-11-07,0.907431,18272833.0,235,16581335.96
2024-11-08,0.914901,18272906.0,235,16717896.38
2024-11-11,0.936915,18273278.0,234,17120511.72
2024-11-12,0.949222,18273328.0,235,17345443.88
2024-11-13,0.943865,18326840.0,234,17298060.46
2024-11-14,0.950481,18326688.0,233,17419176.3
2024-11-15,0.962816,18326109.0,235,17644670.84
2024-11-18,0.960182,18359512.0,236,17628463.94
2024-11-19,0.958714,18370559.0,237,17612105.98
2024-11-20,0.945549,18372025.0,236,17371648.39
2024-11-21,0.931587,18371739.0,235,17114866.25
2024-11-22,0.9768,18374325.0,234,17948046.64
2024-11-25,0.994028,18378266.0,236,18268510.1
