date,fiyat,pay,hesap,buyukluk
2025-05-06,1.001317,50377382.0,9,50443710.78
2025-05-07,1.002635,51472302.0,18,51607934.96
2025-05-08,1.003954,555646301.0,28,557843423.86
2025-05-09,1.005277,427453573.0,35,429709109.25
2025-05-12,1.009247,688721524.0,44,695090014.32
2025-05-13,1.010581,308557148.0,54,311821880.79
2025-05-14,1.011909,684889363.0,58,693045847.55
2025-05-15,1.013238,1954287684.0,62,1980159072.95
2025-05-16,1.014606,293427676.0,63,297713548.17
2025-05-20,1.019948,327827249.0,71,334366834.75
2025-05-21,1.021296,175480546.0,70,179217600.84
2025-05-22,1.022624,576326549.0,82,589365254.93
2025-05-23,1.023904,183886790.0,80,188282345.51
2025-05-26,1.027945,182936857.0,80,188048947.27
2025-05-27,1.029305,133301448.0,84,137207813.65
2025-05-28,1.030658,139837229.0,82,144124358.38
2025-05-29,1.032014,134665958.0,76,138977160.03
2025-05-30,1.033373,124369005.0,76,128519570.91
2025-06-02,1.037441,644746309.0,89,668886287.83
2025-06-03,1.038807,673553513.0,89,699692125.19
2025-06-04,1.040162,4389982299.0,104,4566293134.3
2025-06-05,1.041534,4197366545.0,105,4371699153.73
2025-06-10,1.048397,4197421790.0,108,4400564137.29
2025-06-11,1.049777,4369069248.0,115,4586547048.33
2025-06-12,1.05116,4425819700.0,118,4652245864.59
2025-06-13,1.052533,4447389218.0,133,4681023590.35
2025-06-16,1.056539,4429866006.0,140,4680327597.4
2025-06-17,1.057855,4389164496.0,142,4643100034.81
2025-06-18,1.05917,4247075825.0,145,4498376000.76
2025-06-19,1.060818,321155289.0,135,340687257.43
2025-06-20,1.062154,515246112.0,158,547270752.03
2025-06-23,1.066109,3018862531.0,173,3218435596.88
2025-06-24,1.067544,683726195.0,171,729907859.53
2025-06-25,1.068877,909717861.0,185,972376202.39
2025-06-26,1.070271,737392202.0,185,789209553.92
2025-06-27,1.071614,894312022.0,198,958357189.82
2025-06-30,1.075626,4821690221.0,219,5186332981.09
2025-07-01,1.076985,4795954008.0,229,5165171585.91
2025-07-02,1.078319,945188900.0,235,1019215302.95
2025-07-03,1.079656,848708491.0,237,916312877.22
2025-07-04,1.081006,794968472.0,240,859366030.48
2025-07-07,1.085089,2806083115.0,250,3044850517.28
2025-07-08,1.086447,4734802444.0,261,5144111698.43
2025-07-09,1.087811,942534443.0,254,1025299718.01
2025-07-10,1.089158,890823760.0,266,970247503.36
2025-07-11,1.090505,890645079.0,270,971253156.05
2025-07-14,1.094533,882607496.0,269,966043228.64
2025-07-16,1.097228,878349593.0,265,963749497.4
2025-07-17,1.098578,886438849.0,265,973822240.31
2025-07-18,1.099933,864651179.0,266,951058743.47
2025-07-21,1.103997,842901488.0,272,930560580.24
2025-07-22,1.105358,816551791.0,275,902581898.23
2025-07-23,1.106712,799932603.0,281,885294788.38
2025-07-24,1.108068,817062297.0,276,905360692.68
2025-07-25,1.109428,815711895.0,273,904973479.35
2025-07-28,1.11326,3149572925.0,288,3506295091.18
2025-07-29,1.114539,3145951834.0,286,3506287549.55
2025-07-30,1.115859,1043390695.0,277,1164276931.2
2025-07-31,1.117149,912968397.0,275,1019921885.71
2025-08-01,1.118438,909074182.0,278,1016743063.61
2025-08-04,1.122306,916527801.0,290,1028624243.08
2025-08-05,1.123601,854094936.0,285,959662313.87
2025-08-06,1.124911,594207250.0,282,668429977.45
2025-08-07,1.12621,656244256.0,287,739068903.43
2025-08-08,1.127514,646054013.0,282,728434770.78
2025-08-11,1.131429,632163149.0,280,715248002.94
2025-08-12,1.132736,639391753.0,275,724262329.94
2025-08-13,1.13404,740490647.0,284,839746120.65
2025-08-14,1.135341,864335838.0,283,981315521.69
2025-08-15,1.136648,890099755.0,282,1011730150.77
2025-08-18,1.140543,908583407.0,290,1036278217.04
2025-08-19,1.141852,821615872.0,295,938163970.5
2025-08-20,1.143162,790075759.0,294,903184621.12
2025-08-21,1.144475,793771096.0,292,908450935.99
2025-08-22,1.145798,616600760.0,291,706499730.56
2025-08-25,1.149729,604893704.0,292,695463782.11
2025-08-26,1.151043,629784885.0,291,724909565.15
2025-08-27,1.152358,630059555.0,291,726054277.99
2025-08-28,1.153678,585901805.0,293,675942239.6
2025-08-29,1.155015,371697945.0,287,429316587.1
2025-09-01,1.158958,7419528744.0,314,8598920519.84
2025-09-02,1.160826,493082543.0,297,572383225.42
2025-09-03,1.162157,424243821.0,299,493037992.79
2025-09-04,1.163458,9990055253.0,328,11623006473.59
2025-09-05,1.164796,10524951572.0,339,12259420923.58
2025-09-08,1.168813,10799976614.0,354,12623151646.97
2025-09-09,1.170153,10819150999.0,352,12660063037.1
2025-09-10,1.171495,10624016183.0,346,12445980105.85
2025-09-11,1.173067,1804601612.0,331,2116917912.63
2025-09-12,1.174414,1936595338.0,338,2274364710.31
2025-09-15,1.178226,1633291845.0,334,1924386492.66
2025-09-16,1.179493,1640038042.0,334,1934413508.29
2025-09-17,1.180768,1500211823.0,330,1771402302.22
2025-09-18,1.18204,1504495426.0,324,1778373971.16
2025-09-19,1.183315,1534271176.0,319,1815525767.27
2025-09-22,1.187096,5915233131.0,342,7021948781.76
2025-09-23,1.188511,1692225769.0,320,2011228135.83
2025-09-24,1.189769,3149455455.0,327,3747125600.04
2025-09-25,1.19106,3099113674.0,320,3691230119.57
2025-09-26,1.192399,1599771680.0,309,1907565960.03
2025-09-29,1.196262,1676918281.0,313,2006033211.17
2025-09-30,1.197558,1624456160.0,308,1945379961.45
2025-10-01,1.198841,2033645130.0,312,2438016510.02
2025-10-02,1.200133,1969278657.0,310,2363396946.57
2025-10-03,1.201429,1970622477.0,306,2367563573.93
2025-10-06,1.205325,1951895239.0,303,2352668700.67
2025-10-07,1.206628,1901997851.0,298,2295004656.58
2025-10-08,1.207934,1901090295.0,292,2296391958.76
2025-10-09,1.209242,1899437900.0,291,2296880797.38
2025-10-10,1.21055,1869688884.0,290,2263350993.41
2025-10-13,1.214471,1861328008.0,285,2260529051.45
2025-10-14,1.215776,1860483554.0,281,2261931361.19
2025-10-15,1.217084,1880677018.0,281,2288942541.62
2025-10-16,1.218396,1814292144.0,276,2210526516.16
2025-10-17,1.219709,1816062496.0,277,2215068439.18
2025-10-20,1.223645,2110759426.0,281,2582821243.41
2025-10-21,1.224968,1798014251.0,277,2202510214.86
2025-10-22,1.226292,1826664734.0,277,2240023896.09
2025-10-23,1.227615,2145628634.0,278,2634005450.54
2025-10-24,1.22894,2126260172.0,278,2613046540.3
2025-10-27,1.232823,1821614487.0,277,2245727945.7
2025-10-28,1.234121,1765473529.0,276,2178808029.92
2025-10-30,1.236722,1765482434.0,274,2183411699.35
2025-10-31,1.238021,2112249696.0,276,2615009303.39
2025-11-03,1.241928,2234728481.0,275,2775371833.26
2025-11-04,1.243238,1896386819.0,272,2357660211.44
2025-11-05,1.244546,1852795299.0,270,2305889668.88
2025-11-06,1.245857,1852933285.0,271,2308489806.74
2025-11-07,1.247168,1849742202.0,267,2306939204.74
2025-11-10,1.251079,1856291534.0,264,2322366471.95
2025-11-11,1.252382,1834363948.0,260,2297324826.51
2025-11-12,1.253701,1846718935.0,257,2315234234.03
2025-11-13,1.255017,2205265279.0,257,2767645864.02
2025-11-14,1.256338,2297790514.0,256,2886802103.18
2025-11-17,1.260294,2321472067.0,255,2925737617.96
2025-11-18,1.261612,2274846428.0,253,2869973951.84
2025-11-19,1.262933,2220823945.0,253,2804751045.13
2025-11-20,1.264252,2220557311.0,253,2807343831.13
2025-11-21,1.265574,2180405880.0,255,2759464353.95
2025-11-24,1.269525,3205129297.0,258,4068991408.04
2025-11-25,1.270876,1944113685.0,257,2470726860.59
2025-11-26,1.272205,1943352570.0,257,2472342281.08
2025-11-27,1.273533,2155697939.0,258,2745352065.92
2025-11-28,1.274866,2148380336.0,256,2738897110.08
2025-12-01,1.278875,2018883502.0,257,2581899275.4
2025-12-02,1.280214,2053650463.0,265,2629111346.06
2025-12-03,1.281537,3401588051.0,272,4359261687.2
2025-12-04,1.282876,3641011350.0,274,4670965375.73
2025-12-05,1.284217,3640338220.0,272,4674985444.58
2025-12-08,1.288231,6154545910.0,272,7928474914.27
2025-12-09,1.289571,6088289923.0,270,7851282242.63
2025-12-10,1.290905,8104531402.0,267,10462176377.94
2025-12-11,1.292237,13140407791.0,268,16980518785.09
2025-12-12,1.293589,13140238278.0,265,16998071694.39
2025-12-15,1.297485,13813938507.0,274,17923376820.49
2025-12-16,1.298775,16842597577.0,271,21874744844.6
2025-12-17,1.300075,16868137260.0,273,21929850065.3
2025-12-18,1.301387,16828237144.0,273,21900041415.85
2025-12-19,1.302698,16747500705.0,272,21816937425.23
2025-12-22,1.306644,16455955296.0,269,21502081788.31
2025-12-23,1.307963,16467753231.0,267,21539208966.0
2025-12-24,1.309283,16753785033.0,270,21935442418.07
2025-12-25,1.310604,16832538259.0,266,22060797327.7
2025-12-26,1.31193,16538594146.0,265,21697481795.76
2025-12-29,1.315913,16550743073.0,269,21779329696.62
2025-12-30,1.317244,16555324666.0,264,21807394954.79
2025-12-31,1.318577,16500015602.0,262,21756542976.61
2026-01-02,1.321255,16536573067.0,263,21849027983.84
2026-01-05,1.325253,16553487360.0,260,21937557806.9
2026-01-06,1.326592,16551951607.0,262,21957683689.07
2026-01-07,1.327933,16553345771.0,261,21981734373.37
2026-01-08,1.329276,17557381081.0,263,23338603274.14
2026-01-09,1.330622,16544507009.0,262,22014482091.45
2026-01-12,1.334665,16392387534.0,259,21878341788.85
2026-01-13,1.336013,17395595723.0,258,23240743124.13
2026-01-14,1.337355,17393854997.0,254,23261754049.86
2026-01-15,1.338702,15432646320.0,257,20659709369.57
2026-01-16,1.340046,18271085990.0,259,24484092433.24
2026-01-19,1.344095,12557545858.0,258,16878530313.28
2026-01-20,1.345442,16212585794.0,257,21813097089.38
2026-01-21,1.346803,10784769740.0,257,14524965274.04
2026-01-22,1.348155,16244140867.0,253,21899612943.19
2026-01-23,1.349516,11784161138.0,256,15902916943.84
2026-01-26,1.353481,16229679482.0,257,21966564313.03
2026-01-27,1.354806,16210219234.0,259,21961709817.04
2026-01-28,1.356142,11373709274.0,256,15424367670.33
2026-01-29,1.357465,16477016487.0,255,22366970441.35
2026-01-30,1.358805,13544390581.0,255,18404181049.34
2026-02-02,1.36281,17643965693.0,256,24045376388.84
2026-02-03,1.364152,17659284454.0,259,24089940996.34
2026-02-04,1.3655,16649969873.0,259,22735537058.9
2026-02-05,1.366839,25934736128.0,262,35448610284.24
2026-02-06,1.368188,25886667039.0,265,35417834216.12
2026-02-09,1.372239,26216512985.0,263,35975313716.22
2026-02-10,1.373595,24419549838.0,261,33542568434.17
2026-02-11,1.374949,24451841862.0,269,33620041962.36
2026-02-12,1.376303,24445013674.0,267,33643747951.31
