date,fiyat,pay,hesap,buyukluk
2025-10-14,1.001047,11497383.0,54,11509415.58
2025-10-15,1.002496,11531955.0,63,11560733.84
2025-10-16,1.003425,49824789.0,74,49995415.77
2025-10-17,1.00492,34018765.0,70,34186148.83
2025-10-20,1.008771,60950005.0,101,61484569.85
2025-10-21,1.009993,83390869.0,155,84224225.14
2025-10-22,1.011237,103699091.0,173,104864313.64
2025-10-23,1.012373,112403966.0,183,113794689.88
2025-10-24,1.013538,113643425.0,176,115181898.87
2025-10-27,1.017426,133672241.0,180,136001646.63
2025-10-28,1.018624,134008396.0,178,136504112.7
2025-10-30,1.021269,142016720.0,180,145037247.43
2025-10-31,1.022299,142976391.0,196,146164639.41
2025-11-03,1.026062,142879011.0,193,146602752.58
2025-11-04,1.027364,130416341.0,190,133985045.87
2025-11-05,1.028396,157703591.0,194,162181669.51
2025-11-06,1.029749,154354881.0,187,158946819.79
2025-11-07,1.031094,155005442.0,188,159825188.52
2025-11-10,1.035016,163417606.0,208,169139766.59
2025-11-11,1.036398,162670547.0,217,168591492.93
2025-11-12,1.037541,175788718.0,219,182388070.63
2025-11-13,1.038667,171707742.0,214,178347213.88
2025-11-14,1.039797,221659649.0,206,230481140.69
2025-11-17,1.043386,238978359.0,203,249346702.77
2025-11-18,1.044668,223676606.0,196,233667740.39
2025-11-19,1.045843,222388271.0,197,232583136.6
2025-11-20,1.047075,223279044.0,188,233789795.51
2025-11-21,1.048335,218953165.0,189,229536366.44
2025-11-24,1.05229,230426435.0,190,242475344.85
2025-11-25,1.053669,239803997.0,185,252673919.44
2025-11-26,1.054997,241726796.0,191,255020961.8
2025-11-27,1.056298,238794109.0,197,252237853.84
2025-11-28,1.057583,235575082.0,198,249140111.65
2025-12-01,1.061359,233147695.0,199,247453291.62
2025-12-02,1.062692,217980903.0,189,231646606.76
2025-12-03,1.064074,220221569.0,188,234332009.09
2025-12-04,1.065295,221111891.0,190,235549284.69
2025-12-05,1.066803,231824102.0,191,247310533.48
2025-12-08,1.071081,243978789.0,196,261320962.61
2025-12-09,1.072483,268970329.0,196,288466227.74
2025-12-10,1.074022,274494810.0,201,294813359.43
2025-12-11,1.075489,326734360.0,206,351399202.36
2025-12-12,1.076784,334922618.0,215,360639423.91
2025-12-15,1.081404,333759427.0,216,360928818.18
2025-12-16,1.082795,297926429.0,240,322593139.95
2025-12-17,1.084315,302097160.0,256,327568425.52
2025-12-18,1.085851,341216719.0,287,370510394.43
2025-12-19,1.08732,497149313.0,321,540560582.94
2025-12-22,1.091616,626052027.0,372,683408485.99
2025-12-23,1.093031,621302729.0,384,679103026.11
2025-12-24,1.094411,638095863.0,391,698338960.76
2025-12-25,1.095819,673996482.0,405,738578148.8
2025-12-26,1.09713,737359898.0,419,808979722.56
2025-12-29,1.101431,762797426.0,417,840168839.01
2025-12-30,1.102815,784105869.0,418,864723708.03
2025-12-31,1.104086,591393697.0,431,652949344.26
2026-01-02,1.106858,599695057.0,440,663777104.35
2026-01-05,1.11093,907041835.0,444,1007659686.14
2026-01-06,1.112341,881507493.0,432,980537086.74
2026-01-07,1.113796,899243482.0,430,1001574159.43
