date,fiyat,pay,hesap,buyukluk
2025-01-23,0.0,0.0,49,0.0
2025-01-24,1.000778,2500000.0,53,2501945.65
2025-01-27,1.003767,5029244.0,55,5048189.91
2025-01-28,1.00516,7979277.0,57,8020448.69
2025-01-29,1.006637,8357921.0,58,8413390.78
2025-01-30,1.008197,8367854.0,58,8436447.0
2025-01-31,1.009718,8367624.0,59,8448940.55
2025-02-03,1.01439,7914064.0,58,8027943.5
2025-02-04,1.015936,8139267.0,61,8268974.29
2025-02-05,1.017095,8643848.0,65,8791614.55
2025-02-06,1.018286,12551738.0,64,12781255.18
2025-02-07,1.019715,111132550.0,68,113323520.22
2025-02-10,1.023748,338250466.0,91,346283311.63
2025-02-11,1.024999,387881230.0,116,397577928.38
2025-02-12,1.026348,403532529.0,131,414164779.92
2025-02-13,1.027689,472901368.0,147,485995470.02
2025-02-14,1.028985,545405142.0,192,561213880.63
2025-02-17,1.033004,548852900.0,201,566967185.14
2025-02-18,1.034352,650363049.0,227,672704614.99
2025-02-19,1.035698,776013032.0,271,803715346.41
2025-02-20,1.037032,843301832.0,320,874530722.24
2025-02-21,1.038365,894890650.0,345,929222966.2
2025-02-24,1.042312,1029387108.0,396,1072943025.74
2025-02-25,1.043632,1073329196.0,439,1120160783.65
2025-02-26,1.044963,1061152598.0,456,1108865184.42
2025-02-27,1.046294,1109455198.0,473,1160816135.49
2025-02-28,1.04762,1226745585.0,508,1285163465.14
2025-03-03,1.051626,1186309982.0,548,1247553931.88
2025-03-04,1.052957,1198068311.0,575,1261514557.94
2025-03-05,1.054294,1237583989.0,604,1304777524.45
2025-03-06,1.055632,1214291495.0,630,1281844641.15
2025-03-07,1.05697,1256296297.0,645,1327867275.9
2025-03-10,1.060925,1329081282.0,661,1410055709.31
2025-03-11,1.062273,1419996687.0,666,1508423503.25
2025-03-12,1.063626,1457235101.0,700,1549952847.75
2025-03-13,1.065063,1570441005.0,725,1672618024.39
2025-03-14,1.06647,1705591771.0,771,1818962625.27
2025-03-17,1.070412,1939206762.0,841,2075750717.86
2025-03-18,1.07174,2097092018.0,905,2247538056.9
2025-03-19,1.073054,2243277815.0,964,2407158221.09
2025-03-20,1.074367,2275906156.0,964,2445158147.13
2025-03-21,1.075704,2455896629.0,1003,2641818595.15
2025-03-24,1.079793,2615993242.0,1072,2824732093.76
2025-03-25,1.081154,2826642370.0,1137,3056035878.31
2025-03-26,1.082535,2787900468.0,1204,3017999246.19
2025-03-27,1.083876,3563997802.0,1496,3862932476.56
2025-03-28,1.085196,4351198965.0,1705,4721905683.38
2025-04-02,1.091994,4511952243.0,1838,4927024486.48
2025-04-03,1.093467,4057648393.0,1841,4436906576.26
2025-04-04,1.094945,3923070061.0,1839,4295547838.03
2025-04-07,1.099201,3833049208.0,1837,4213291301.89
2025-04-08,1.100549,3923970194.0,1857,4318520920.15
2025-04-09,1.101958,4068085134.0,1874,4482860187.27
2025-04-10,1.103375,4144292640.0,1912,4572709664.3
2025-04-11,1.104793,3886165594.0,1947,4293409726.7
2025-04-14,1.10905,3938077662.0,1990,4367525782.77
2025-04-15,1.110463,3544726855.0,1967,3936286455.15
2025-04-16,1.111871,3449310651.0,1963,3835187944.59
2025-04-17,1.113269,3358629906.0,1933,3739057945.93
2025-04-18,1.114723,3285184550.0,1903,3662071113.76
2025-04-21,1.119221,3131629747.0,1877,3504985698.07
2025-04-22,1.120754,2915605133.0,1814,3267676332.5
2025-04-24,1.123815,2708848890.0,1758,3044245212.93
2025-04-25,1.125349,3058313224.0,1750,3441670840.01
2025-04-28,1.130049,3060116504.0,1746,3458080198.29
2025-04-29,1.131624,2981151806.0,1749,3373541685.54
2025-04-30,1.13321,2944127204.0,1798,3336315544.12
2025-05-02,1.13639,3124164143.0,1905,3550267950.46
2025-05-05,1.141092,3992428847.0,1978,4555730396.24
2025-05-06,1.142673,3460091641.0,1988,3953753755.48
2025-05-07,1.144255,3870002590.0,1993,4428268747.61
2025-05-08,1.145826,4242553733.0,1993,4861229063.2
2025-05-09,1.147444,4610916017.0,1989,5290769944.21
2025-05-12,1.15231,4697149441.0,2032,5412570110.17
2025-05-13,1.153949,4480214771.0,2067,5169940812.16
2025-05-14,1.155567,5216893301.0,2142,6028470413.34
2025-05-15,1.157176,5657650112.0,2228,6546896370.67
2025-05-16,1.158779,5860014407.0,2282,6790461518.32
2025-05-20,1.16522,6078005284.0,2316,7082216075.63
2025-05-21,1.166838,6232218879.0,2357,7271989492.53
2025-05-22,1.168447,6351313589.0,2391,7421171581.11
2025-05-23,1.170058,6551863203.0,2412,7666060578.2
2025-05-26,1.17506,5978181823.0,2409,7024719755.57
2025-05-27,1.176737,6135718392.0,2458,7220126673.75
2025-05-28,1.178426,6301685598.0,2462,7426070116.09
2025-05-29,1.180139,5987546975.0,2508,7066138067.13
2025-05-30,1.181841,6265894090.0,2550,7405288697.05
2025-06-02,1.186774,7354986506.0,2760,8728709264.94
