date,fiyat,pay,hesap,buyukluk
2025-04-29,0.010013,239639628049.0,745,2399565192.38
2025-04-30,0.010026,542389539685.0,1819,5438181860.69
2025-05-02,0.010053,877567942003.0,2492,8821950412.61
2025-05-05,0.010093,1089842221195.0,3012,10999406319.76
2025-05-06,0.010106,1176750541243.0,3302,11892278214.54
2025-05-07,0.010119,1215922575016.0,3453,12304401355.44
2025-05-08,0.010133,1194500782994.0,3544,12103619681.61
2025-05-09,0.010146,1283328502518.0,3676,13020907514.84
2025-05-12,1.018643,14450465014.25,3844,14719863972.51
2025-05-13,1.01999,15087297801.25,4074,15388894205.3
2025-05-14,1.021339,15807907005.25,4272,16145232586.77
2025-05-15,1.02269,16935396854.88,4461,17319656150.08
2025-05-16,1.024042,18653046828.88,4674,19101508497.91
2025-05-20,1.029458,20151028862.34,4721,20744641404.26
2025-05-21,1.03082,20209862654.85,4807,20832726399.03
2025-05-22,1.032173,20937388154.85,4948,21610999276.49
2025-05-23,1.033453,21464265451.85,5061,22182299702.43
2025-05-26,1.037514,21086502332.85,5118,21877545393.8
2025-05-27,1.038883,20476149783.85,5133,21272327492.34
2025-05-28,1.040255,20429462955.6,5172,21251840892.85
2025-05-29,1.041628,20660961959.92,5198,21521030856.43
2025-05-30,1.043003,20037303833.84,5251,20898960788.08
2025-06-02,1.047134,20800195728.84,5390,21780588308.24
2025-06-03,1.048516,21151124685.84,5475,22177298943.09
2025-06-04,1.049901,22116643076.84,5595,23220280065.85
2025-06-05,1.051255,22984737644.84,5702,24162810689.42
2025-06-10,1.058222,23204826555.84,5760,24555852598.4
2025-06-11,1.059619,25549138132.84,5812,27072358740.7
2025-06-12,1.061019,26038958117.84,5898,27627817620.43
2025-06-13,1.062415,26934497957.84,5982,28615619478.86
2025-06-16,1.066493,27371425697.84,6072,29191429251.42
2025-06-17,1.067833,27846343090.84,6162,29735255651.25
2025-06-18,1.069172,28345532309.84,6233,30306239745.95
2025-06-19,1.070518,27452001593.84,6272,29387855508.49
2025-06-20,1.071885,28203068779.84,6304,30230457800.83
2025-06-23,1.075957,28042254278.84,6380,30172245823.36
2025-06-24,1.077315,27666904901.84,6456,29805980060.45
2025-06-25,1.078675,28204929612.84,6521,30423953676.44
2025-06-26,1.080076,26909650659.84,6539,29064455442.85
2025-06-27,1.081443,27811850291.84,6592,30076921187.69
2025-06-30,1.085536,26480988304.84,6647,28746065066.82
2025-07-01,1.086902,25567519268.84,6677,27789389542.87
2025-07-02,1.088259,26480488666.84,6765,28817625693.84
2025-07-03,1.08962,26536499202.84,6819,28914691736.12
2025-07-04,1.090986,26345654557.84,6790,28742746243.08
2025-07-07,1.095136,26159500038.84,6810,28648201898.05
2025-07-08,1.096519,26613205811.84,6846,29181880470.79
2025-07-09,1.097889,28057622978.84,6887,30804161561.65
2025-07-10,1.09926,29044607925.84,6911,31927570357.27
2025-07-11,1.10063,29127552496.84,6943,32058655180.49
2025-07-14,1.10473,28997069578.84,6987,32033926028.32
2025-07-16,1.107469,29167755792.84,7024,32302383835.24
2025-07-17,1.108843,30027771573.84,7066,33296092727.1
2025-07-18,1.110222,30099676196.84,7088,33417308670.32
2025-07-21,1.114355,29756097144.84,7091,33158863374.3
2025-07-22,1.115727,30023420239.84,7097,33497939278.66
2025-07-23,1.117025,28637555091.84,7052,31988856537.85
2025-07-24,1.118478,28285314329.84,7008,31636505713.77
2025-07-25,1.119842,27939946866.84,6980,31288315500.2
2025-07-28,1.123767,28406175733.84,6976,31921931050.53
2025-07-29,1.125079,28616993273.84,6965,32196364478.88
2025-07-30,1.12639,28614958141.84,6963,32231596241.17
2025-07-31,1.127704,27630282730.84,6976,31158790297.49
2025-08-01,1.129022,25982014761.84,7001,29334272549.34
2025-08-04,1.132986,25284176747.84,7080,28646621862.23
2025-08-05,1.134312,25464176912.84,7088,28884314331.55
2025-08-06,1.135641,25428142488.84,7087,28877231030.13
2025-08-07,1.136972,25662685368.84,7074,29177744195.37
2025-08-08,1.138303,27928404092.84,7060,31790988993.79
2025-08-11,1.142303,27959405809.84,7055,31938115365.38
2025-08-12,1.143638,28286783653.84,7056,32349848441.32
2025-08-13,1.144975,28497352171.84,7064,32628755899.69
2025-08-14,1.146312,28589300643.84,7055,32772260430.5
2025-08-15,1.147651,28649514952.84,7069,32879642980.35
2025-08-18,1.151675,28528464941.84,7084,32855508252.66
2025-08-19,1.153005,28851134006.84,7088,33265487429.53
2025-08-20,1.154337,28402845330.84,7121,32786442819.36
2025-08-21,1.155672,28687531918.84,7134,33153377128.08
2025-08-22,1.157009,28512828338.84,7127,32989599864.9
2025-08-25,1.160953,28910449288.84,7140,33563669691.36
2025-08-26,1.162274,29956734005.84,7144,34817947900.69
2025-08-27,1.163596,30951881388.84,7134,36015489871.39
2025-08-28,1.16492,31054807546.84,7133,36176354315.02
2025-08-29,1.166244,30485088970.84,7120,35553053590.29
2025-09-01,1.170224,30212924220.84,7136,35355883350.52
2025-09-02,1.171555,30334965371.84,7123,35539072261.63
2025-09-03,1.172888,31738108092.84,7115,37225243644.06
2025-09-04,1.174227,29730577652.84,7082,34910434312.9
2025-09-05,1.175567,29898653052.84,7064,35147883698.43
2025-09-08,1.179591,32900661974.84,7052,38809312232.99
2025-09-09,1.180932,33905042995.84,7000,40039547513.86
2025-09-10,1.182274,34365183360.84,6982,40629068994.32
2025-09-11,1.183625,33881921116.84,6957,40103486358.26
2025-09-12,1.184975,34200563218.84,6927,40526802090.87
2025-09-15,1.188835,36108072510.84,6866,42926527685.95
2025-09-16,1.190123,34922345462.84,6822,41561875306.87
2025-09-17,1.191411,35613896121.84,6773,42430804322.2
2025-09-18,1.192701,37928762855.84,6728,45237680748.51
2025-09-19,1.193994,38750024638.84,6704,46267285298.92
2025-09-22,1.197877,37579245681.84,6692,45015324674.83
2025-09-23,1.199175,35484333685.84,6662,42551920784.41
2025-09-24,1.200477,33067966623.84,6632,39697324075.76
2025-09-25,1.201781,36207341894.84,6602,43513303466.2
2025-09-26,1.203084,35543602113.84,6602,42761937947.29
2025-09-29,1.206963,33396434748.84,6599,40308260913.7
2025-09-30,1.208261,33317602992.84,6574,40256359314.22
2025-10-01,1.209552,33343815641.84,6544,40331082124.72
2025-10-02,1.210852,33975588041.84,6543,41139400213.32
2025-10-03,1.212154,34583028135.84,6521,41919949967.5
2025-10-06,1.216069,33532944780.84,6513,40778374751.32
2025-10-07,1.217377,34568803302.84,6477,42083281188.75
2025-10-08,1.218688,35282784919.84,6432,42998701375.85
2025-10-09,1.22,35825820184.84,6396,43707507994.76
2025-10-10,1.221312,35898489237.84,6371,43843244171.89
2025-10-13,1.225251,34315596995.84,6352,42045207601.61
2025-10-14,1.226565,35983572371.84,6330,44136207452.92
2025-10-15,1.227881,36055031804.84,6302,44271282594.75
2025-10-16,1.229199,34387133406.84,6290,42268630981.12
2025-10-17,1.230519,37029846727.84,6257,45565913606.5
2025-10-20,1.234479,37779301000.84,6251,46637761874.06
2025-10-21,1.235806,35222096126.84,6213,43527666865.67
2025-10-22,1.237135,36252374375.84,6193,44849079132.28
2025-10-23,1.238466,36561859816.84,6183,45280604233.03
2025-10-24,1.239797,34471642443.84,6170,42737839755.5
2025-10-27,1.243725,32650338136.84,6140,40608045280.2
2025-10-28,1.24503,33229068257.84,6111,41371193110.55
2025-10-30,1.247666,33171812973.84,6110,41387345082.93
2025-10-31,1.248975,30782224407.84,6096,38446213521.22
2025-11-03,1.252904,29900143128.84,6076,37462012882.3
2025-11-04,1.254218,29664619004.84,6053,37205898570.32
2025-11-05,1.255533,29530907376.84,6046,37077033784.23
2025-11-06,1.256851,29511527652.84,6039,37091589696.32
2025-11-07,1.258168,31089117254.84,6028,39115337578.75
2025-11-10,1.262126,31845655791.84,6006,40193245228.68
2025-11-11,1.263469,33204916454.84,5989,41953368624.23
2025-11-12,1.264773,33664922046.84,5963,42578489472.19
2025-11-13,1.266099,33634105264.84,5961,42584111796.83
2025-11-14,1.267428,32508057030.84,5957,41201610063.01
2025-11-17,1.27142,31701178314.84,5939,40305509815.18
2025-11-18,1.272755,31378221671.84,5926,39936795384.85
2025-11-19,1.274092,32301978379.84,5913,41155692472.78
2025-11-20,1.275429,33139018063.84,5914,42266471023.69
2025-11-21,1.276768,31447336275.84,5925,40150940457.45
2025-11-24,1.280792,32065114872.84,5937,41068748813.55
2025-11-25,1.282137,33214729276.84,5931,42585825531.34
2025-11-26,1.283484,31762863516.84,5914,40767138440.73
2025-11-27,1.284834,31428806350.84,5895,40380793925.61
