date,fiyat,pay,hesap,buyukluk
2024-09-02,5.222888,22344691.0,177,116703822.3
2024-09-03,5.28023,22344691.0,176,117985098.92
2024-09-04,5.273985,22294976.0,177,117583372.86
2024-09-05,5.275113,22295146.0,176,117609423.39
2024-09-06,5.267989,22298334.0,177,117467377.33
2024-09-09,5.252145,22299662.0,177,117121059.9
2024-09-10,5.245378,22299663.0,177,116970172.15
2024-09-11,5.251665,22218847.0,177,116685936.17
2024-09-12,5.247607,22218942.0,172,116596273.84
2024-09-13,5.261685,22142126.0,172,116504893.05
2024-09-16,5.276836,22142127.0,171,116840381.21
2024-09-17,5.28577,22141860.0,172,117036788.31
2024-09-18,5.304569,21781647.0,173,115542244.99
2024-09-19,5.309726,21304278.0,175,113119879.33
2024-09-20,5.327896,21703572.0,173,115634376.85
2024-09-23,5.334086,21304507.0,172,113640062.62
2024-09-24,5.340701,21304887.0,172,113783040.99
2024-09-25,5.364041,21304536.0,172,114278407.1
2024-09-26,5.358047,32900553.0,171,176282716.78
2024-09-27,5.351563,32900649.0,171,176069910.96
2024-09-30,5.361257,32901156.0,172,176391559.17
2024-10-01,5.359485,32901193.0,172,176333438.82
2024-10-02,5.353193,32901311.0,172,176127062.4
2024-10-03,5.345683,32901400.0,172,175880442.08
2024-10-04,5.336979,32901666.0,172,175595503.28
2024-10-07,5.36972,32893002.0,172,176626210.36
2024-10-08,5.370179,32891966.0,171,176635732.23
2024-10-09,5.377533,32887214.0,171,176852077.82
2024-10-10,5.391531,32887402.0,170,177313453.39
2024-10-11,5.369384,17121507.0,171,91931944.76
2024-10-14,5.375283,17132939.0,170,92094400.15
2024-10-15,5.345951,17125490.0,171,91552030.25
2024-10-16,5.362605,17125921.0,171,91839548.12
2024-10-17,5.372402,17126239.0,172,92009042.97
2024-10-18,5.368897,17126241.0,172,91949031.64
2024-10-21,5.36729,12283535.0,172,65929292.5
2024-10-22,5.37012,11445006.0,172,61461054.47
2024-10-23,5.385772,11417878.0,171,61494084.47
2024-10-24,5.435928,11416902.0,171,62061460.16
2024-10-25,5.424819,11448913.0,169,62108277.92
2024-10-28,5.487985,11450967.0,169,62842731.63
2024-10-30,5.676053,11450967.0,169,64996298.2
2024-10-31,5.910652,11452488.0,177,67691670.93
2024-11-01,5.80448,11465629.0,212,66552012.51
2024-11-04,5.825227,11755753.0,222,68479924.62
2024-11-05,5.887425,11794911.0,224,69441651.03
