date,fiyat,pay,hesap,buyukluk
2024-09-02,62.262134,17076216.0,393,1063201647.28
2024-09-03,62.216579,16794694.0,398,1044908397.71
2024-09-04,62.15354,16833581.0,410,1046266656.21
2024-09-05,62.287881,17140703.0,416,1067658072.16
2024-09-06,62.310734,17168760.0,418,1069798030.19
2024-09-09,62.335979,17146722.0,422,1068857704.96
2024-09-10,62.480002,17154163.0,424,1071792134.36
2024-09-11,62.540622,17195373.0,428,1075409321.37
2024-09-12,62.505174,17357065.0,429,1084906361.51
2024-09-13,62.508048,17695268.0,431,1106096663.34
2024-09-16,62.452678,17654410.0,431,1102565179.26
2024-09-17,62.666983,17686281.0,436,1108345875.71
2024-09-18,63.023974,17689624.0,438,1114870400.5
2024-09-19,63.147265,17171522.0,441,1084334644.19
2024-09-20,63.195029,17209011.0,447,1087523953.87
2024-09-23,63.207028,17302036.0,454,1093610277.2
2024-09-24,63.419479,18296792.0,458,1160373019.23
2024-09-25,63.494832,18146958.0,464,1152238044.27
2024-09-26,63.564495,18380062.0,469,1168319352.8
2024-09-27,63.597997,18592609.0,471,1182452700.43
2024-09-30,63.700617,18631215.0,469,1186819883.41
2024-10-01,63.771349,18572342.0,475,1184383297.85
2024-10-02,63.876438,18849664.0,477,1204049387.87
2024-10-03,63.900046,19022553.0,479,1215542014.06
2024-10-04,63.757785,19446221.0,489,1239847970.64
2024-10-07,63.740789,19770872.0,493,1260210972.97
2024-10-08,63.820642,19771497.0,496,1261829632.51
2024-10-09,63.820642,19771497.0,501,1261829632.51
2024-10-10,63.763298,20311711.0,502,1295141675.12
2024-10-11,63.609118,20422994.0,504,1299088635.57
2024-10-14,63.595326,20597658.0,504,1309914771.66
2024-10-15,63.719579,20595651.0,505,1312346218.0
2024-10-16,63.800752,20611692.0,508,1315041443.63
2024-10-17,63.756163,20105347.0,514,1281839774.9
2024-10-18,63.69404,20615837.0,513,1313105939.7
2024-10-21,63.788758,20773064.0,512,1325087954.75
2024-10-22,63.721917,20738105.0,513,1321471812.95
2024-10-23,63.670659,20733543.0,514,1320118340.23
2024-10-24,63.685911,20843843.0,513,1327459125.01
2024-10-25,63.690414,20717382.0,514,1319498645.38
2024-10-28,63.744037,20721853.0,514,1320894558.09
2024-10-30,63.761979,20441308.0,514,1303378245.77
2024-10-31,63.888085,20433489.0,515,1305456482.49
2024-11-01,63.788162,20639943.0,513,1316584037.44
2024-11-04,63.871137,20623090.0,513,1317220198.75
2024-11-05,64.008569,20547530.0,513,1315217997.52
2024-11-06,64.00185,20557605.0,514,1315724750.27
2024-11-07,63.79082,20700106.0,516,1320476729.41
2024-11-08,63.878078,20705321.0,515,1322616117.75
2024-11-11,64.206665,20705327.0,513,1329419994.12
2024-11-12,64.304905,20695717.0,514,1330836106.25
2024-11-13,64.302217,20691316.0,517,1330497488.53
2024-11-14,64.271207,20422442.0,519,1312574998.97
2024-11-15,64.243183,20425193.0,516,1312179416.61
2024-11-18,64.292333,20482750.0,522,1316883792.42
2024-11-19,64.509225,20295988.0,524,1309278460.56
2024-11-20,64.699498,20275672.0,524,1311825791.87
2024-11-21,64.555076,20187044.0,519,1303176163.03
2024-11-22,64.576486,20188818.0,519,1303722914.23
2024-11-25,64.651436,20158404.0,519,1303269761.18
2024-11-26,64.823375,20159683.0,521,1306818686.9
2024-11-27,64.937878,20178141.0,524,1310325649.14
2024-11-28,64.957106,20229984.0,524,1314081219.92
2024-11-29,64.970343,20229984.0,527,1314349005.37
2024-12-02,65.041454,20253514.0,529,1317317991.54
2024-12-03,65.279561,20222474.0,529,1320114219.34
2024-12-04,65.345703,20323111.0,527,1328027974.68
2024-12-05,65.3561,20271920.0,528,1324893627.66
2024-12-06,65.404207,20535884.0,530,1343133207.57
2024-12-09,65.513887,20608301.0,532,1350129910.06
2024-12-10,65.724012,20703748.0,541,1360733384.63
2024-12-11,65.75385,20710727.0,542,1361810043.64
2024-12-12,65.796597,20705683.0,546,1362363484.79
2024-12-13,65.811189,20672661.0,547,1360492389.96
2024-12-16,65.907176,20684926.0,550,1363285052.47
2024-12-17,65.997787,20741593.0,555,1368899230.73
2024-12-18,65.997486,20689360.0,559,1365445753.02
2024-12-19,66.059781,20717574.0,562,1368598400.25
2024-12-20,65.963366,20818849.0,563,1373281347.47
2024-12-23,66.016227,20835764.0,563,1375498532.05
2024-12-24,66.133299,20844314.0,564,1378503246.13
2024-12-25,66.252703,20828695.0,564,1379957354.03
2024-12-26,66.310019,20762138.0,566,1376737758.64
2024-12-27,66.365358,20723946.0,567,1375352105.09
2024-12-30,66.26696,20637348.0,569,1367574307.39
2024-12-31,66.445956,20366486.0,567,1353270632.45
2025-01-02,66.535528,20527326.0,570,1365796468.18
2025-01-03,66.518918,20617879.0,569,1371479010.62
2025-01-06,66.595313,20619283.0,574,1373147604.22
2025-01-07,66.700887,20619378.0,579,1375330803.87
2025-01-08,66.678241,20670333.0,582,1378261446.14
2025-01-09,66.674879,20691919.0,583,1379631185.51
2025-01-10,66.642707,20776392.0,582,1384595000.53
2025-01-13,66.629778,19224360.0,581,1280914847.83
2025-01-14,66.613742,19209282.0,562,1279602154.7
2025-01-15,66.583067,17128350.0,562,1140458079.27
2025-01-16,66.590896,17172542.0,547,1143534966.56
2025-01-17,66.763137,16875190.0,547,1126640619.91
2025-01-20,66.824272,16997593.0,544,1135851780.1
2025-01-21,67.064633,16881763.0,544,1132169239.92
2025-01-22,67.163021,16858134.0,546,1132243209.67
2025-01-23,67.393976,17041933.0,543,1148523628.2
2025-01-24,67.465636,17023673.0,540,1148512922.13
2025-01-27,67.66075,16993924.0,540,1149821639.58
2025-01-28,67.911246,16642422.0,541,1130207613.53
2025-01-29,68.038087,17424739.0,542,1185545912.6
2025-01-30,68.157152,17334933.0,542,1181499657.19
2025-01-31,68.283642,17380049.0,546,1186773052.54
2025-02-03,68.472973,17542129.0,552,1201161718.14
2025-02-04,68.56629,17611889.0,553,1207581883.35
2025-02-05,68.727232,17984529.0,555,1236026893.98
2025-02-06,68.776388,18125326.0,559,1246594462.28
2025-02-07,68.852598,19337918.0,575,1331465886.55
2025-02-10,69.009917,19371053.0,578,1336794756.65
2025-02-11,69.092433,19434993.0,582,1342810960.56
2025-02-12,69.106568,19474449.0,590,1345812327.34
2025-02-13,69.22734,19572687.0,595,1354965057.41
2025-02-14,69.240909,19709649.0,595,1364714010.07
2025-02-17,69.453092,19722470.0,597,1369786516.67
2025-02-18,69.641233,19722470.0,597,1373497135.75
2025-02-19,69.721044,19718863.0,599,1374819720.09
2025-02-20,69.702269,19717743.0,608,1374371429.97
2025-02-21,69.794515,19726748.0,607,1376818802.1
2025-02-24,69.977058,19408229.0,610,1358130757.9
2025-02-25,70.148572,19432238.0,614,1363143742.01
2025-02-26,70.238445,19445413.0,616,1365815578.31
2025-02-27,70.259624,19574517.0,625,1375298197.94
2025-02-28,70.309454,19703668.0,630,1385354130.21
2025-03-03,70.392745,19999442.0,636,1407815619.54
2025-03-04,70.606001,20012261.0,639,1412985730.0
2025-03-05,70.652559,20199518.0,643,1427147644.7
2025-03-06,70.632428,20213431.0,649,1427723714.65
2025-03-07,70.569341,20336829.0,656,1435156615.47
2025-03-10,70.548829,20414268.0,660,1440202707.83
2025-03-11,70.861918,20491585.0,665,1452073019.25
2025-03-12,70.954675,20563111.0,673,1459048848.88
2025-03-13,71.003414,20583445.0,676,1461494867.82
2025-03-14,70.93835,20866415.0,678,1480229057.05
2025-03-17,70.951506,20862365.0,681,1480216207.3
2025-03-18,71.180113,20934329.0,687,1490107913.6
2025-03-19,71.236831,20913706.0,689,1489826144.74
2025-03-20,72.670205,20781322.0,698,1510182929.23
2025-03-21,72.610395,20758105.0,696,1507254196.75
2025-03-24,71.62552,20712621.0,693,1483552253.54
2025-03-25,71.577526,20986238.0,694,1502143002.6
2025-03-26,71.745256,21464686.0,690,1539989389.06
2025-03-27,71.874651,20808843.0,685,1495628319.03
2025-03-28,71.795931,20827951.0,681,1495362131.08
2025-04-02,71.632026,20692155.0,664,1482220987.02
2025-04-03,71.798186,20682237.0,658,1484947097.29
2025-04-04,71.92048,20290476.0,659,1459300768.52
2025-04-07,71.701698,20650441.0,668,1480671682.75
2025-04-08,71.069494,20663311.0,670,1468531057.83
2025-04-09,71.129135,20628907.0,670,1467316312.44
2025-04-10,70.463854,20516175.0,672,1445648762.49
2025-04-11,70.639127,20629703.0,666,1457264216.96
2025-04-14,70.448981,20439165.0,665,1439918344.72
2025-04-15,70.867771,20452155.0,663,1449398643.03
2025-04-16,71.051375,21963002.0,666,1560501494.19
2025-04-17,71.198941,22434231.0,666,1597293494.73
2025-04-18,71.331069,22686235.0,664,1618233387.95
2025-04-21,71.342901,22705555.0,661,1619880154.8
2025-04-22,71.59863,22794208.0,658,1632034055.67
2025-04-24,71.540537,22733942.0,657,1626398413.8
2025-04-25,71.889698,22704532.0,659,1632221958.43
2025-04-28,72.019099,22755567.0,653,1638835440.94
2025-04-29,72.172816,22756228.0,649,1642381049.63
2025-04-30,72.211897,22748822.0,655,1642735590.4
2025-05-02,72.20349,22508362.0,655,1625182283.87
2025-05-05,72.367404,22502661.0,653,1628459163.51
2025-05-06,72.725773,22501625.0,649,1636448082.44
2025-05-07,72.761325,22522804.0,647,1638789068.95
2025-05-08,72.840818,22552348.0,648,1642731468.8
2025-05-09,73.018415,22634838.0,650,1652759993.1
2025-05-12,73.081583,22293564.0,648,1629248951.31
2025-05-13,73.521544,22295604.0,645,1639207241.06
2025-05-14,73.666613,22173276.0,644,1633430132.22
2025-05-15,73.709958,22502927.0,642,1658689806.88
2025-05-16,73.68851,22528946.0,645,1660124458.96
2025-05-20,73.814849,22368995.0,645,1651163994.24
2025-05-21,74.195234,22387914.0,646,1661076511.34
2025-05-22,74.231214,22406082.0,646,1663230662.89
2025-05-23,74.223818,22419944.0,645,1664093852.43
2025-05-26,74.332352,22465833.0,645,1669938203.09
2025-05-27,74.504972,22465050.0,645,1673757926.22
2025-05-28,74.629319,22451245.0,643,1675521128.03
2025-05-29,74.620513,22506528.0,646,1679448666.57
2025-05-30,74.750486,22760286.0,649,1701342441.19
2025-06-02,74.800022,22675144.0,645,1696101276.94
2025-06-03,74.973385,22750741.0,645,1705700071.26
2025-06-04,75.04182,22686927.0,643,1702468297.06
2025-06-05,75.093144,22507465.0,647,1690156311.25
2025-06-10,75.291494,22503859.0,647,1694349162.35
2025-06-11,75.602455,22522431.0,643,1702751077.46
2025-06-12,75.71019,22479261.0,646,1701909131.26
2025-06-13,75.863414,22026899.0,651,1671035750.08
2025-06-16,75.855443,22151977.0,652,1680348021.18
2025-06-17,76.042696,19939667.0,653,1516266044.69
2025-06-18,76.149054,19662198.0,652,1497257770.87
2025-06-19,76.336923,19541753.0,644,1491757287.92
2025-06-20,76.443235,19198014.0,645,1467558301.38
2025-06-23,76.594381,19295476.0,643,1477925031.26
2025-06-24,76.795405,19296548.0,645,1481886224.59
2025-06-25,76.96022,19380651.0,650,1491539160.78
2025-06-26,77.075492,19570654.0,647,1508417791.4
2025-06-27,77.154968,19941303.0,649,1538570593.6
2025-06-30,77.297958,20340177.0,652,1572254148.25
2025-07-01,77.829114,19662387.0,654,1530306159.72
2025-07-02,78.22411,19397831.0,659,1517378074.62
2025-07-03,78.366303,19514080.0,653,1529246296.86
2025-07-04,78.480494,19851385.0,659,1557946494.75
2025-07-07,78.580707,19924329.0,660,1565667850.34
2025-07-08,78.753123,20123015.0,662,1584750266.67
2025-07-09,78.805072,19989183.0,673,1575249010.81
2025-07-10,78.998843,22610108.0,684,1786172366.39
2025-07-11,79.124044,22327840.0,678,1766668996.5
2025-07-14,79.211899,22824373.0,681,1807961932.88
2025-07-16,79.359213,22839997.0,684,1812564183.32
2025-07-17,79.431253,23071413.0,696,1832591235.14
2025-07-18,79.526874,23260221.0,698,1849812674.71
2025-07-21,79.695561,24057859.0,708,1917304565.85
2025-07-22,80.026469,23941117.0,715,1915923046.5
2025-07-23,80.301137,24005650.0,723,1927680979.4
2025-07-24,80.550383,24081144.0,734,1939745380.86
2025-07-25,80.741076,24027958.0,745,1940043191.95
2025-07-28,80.830711,24226173.0,752,1958218788.52
2025-07-29,81.187174,24478216.0,762,1987317184.97
2025-07-30,81.353727,24742872.0,776,2012924843.86
2025-07-31,81.451639,24802246.0,787,2020183582.16
2025-08-01,81.550644,24742091.0,810,2017733457.51
2025-08-04,81.666982,25040559.0,833,2044986870.24
2025-08-05,82.017772,25248565.0,847,2070831052.73
2025-08-06,82.161363,25075528.0,869,2060239562.12
2025-08-07,82.175848,25314564.0,883,2080245766.81
2025-08-08,82.322214,25306648.0,902,2083299285.97
2025-08-11,82.391765,25420548.0,916,2094443817.47
2025-08-12,82.662122,24723929.0,947,2043732424.39
2025-08-13,82.798133,24406530.0,956,2020815124.38
2025-08-14,83.149549,24705228.0,971,2054228574.13
2025-08-15,83.45588,25106737.0,981,2095304818.51
2025-08-18,83.540708,25584732.0,998,2137366622.79
2025-08-19,83.799829,25933810.0,1017,2173248847.33
2025-08-20,83.936701,25983673.0,1029,2180983793.81
2025-08-21,83.877354,26192177.0,1047,2196930511.58
2025-08-22,83.870819,27996954.0,1063,2348127473.06
2025-08-25,83.925481,28171653.0,1076,2364319532.14
2025-08-26,84.254627,27991766.0,1086,2358435809.12
2025-08-27,84.249307,28157862.0,1092,2372280356.93
2025-08-28,84.291102,28184999.0,1099,2375744626.75
2025-08-29,84.40318,27849559.0,1104,2350591330.87
2025-09-01,84.445637,27985189.0,1115,2363227124.96
2025-09-02,84.640686,28134827.0,1116,2381351065.46
2025-09-03,84.44741,27492468.0,1117,2321667727.91
2025-09-04,84.429135,27716954.0,1145,2340118461.66
2025-09-05,84.532981,27250050.0,1149,2303527967.94
2025-09-08,84.839357,27590723.0,1145,2340779187.44
2025-09-09,84.967563,27374683.0,1136,2325960090.35
2025-09-10,84.969082,27402737.0,1145,2328385401.36
2025-09-11,85.023342,27759742.0,1151,2360226048.44
2025-09-12,85.142799,28507338.0,1150,2427194547.77
2025-09-15,85.165303,28468497.0,1153,2424528180.16
2025-09-16,85.409307,28544357.0,1154,2437953753.22
2025-09-17,85.474758,28502161.0,1160,2436215320.66
2025-09-18,85.559317,29395818.0,1175,2515086102.42
2025-09-19,85.599781,29594442.0,1186,2533277747.0
2025-09-22,85.589811,30115282.0,1193,2577561290.97
2025-09-23,85.762092,30933497.0,1195,2652921410.6
2025-09-24,85.846576,31956924.0,1204,2743392504.47
2025-09-25,85.923216,32106659.0,1202,2758707390.97
2025-09-26,85.95232,32226991.0,1198,2769984630.31
2025-09-29,86.019704,32459823.0,1198,2792184362.79
2025-09-30,86.195347,32394514.0,1197,2792256376.24
2025-10-01,86.187922,32418939.0,1196,2794120985.38
2025-10-02,86.214292,32400545.0,1191,2793390054.5
2025-10-03,86.151272,32156911.0,1192,2770358789.13
2025-10-06,85.820254,32046489.0,1195,2750237811.32
2025-10-07,85.875964,32031825.0,1199,2750763842.44
2025-10-08,85.929476,32132243.0,1199,2761106819.73
2025-10-09,85.964567,31831516.0,1188,2736382494.81
2025-10-10,86.010653,31701547.0,1170,2726670743.29
2025-10-13,86.023661,31882219.0,1156,2742625191.29
2025-10-14,86.184793,31823100.0,1153,2742667281.28
2025-10-15,85.874421,30741616.0,1147,2639918477.21
2025-10-16,85.986891,30353520.0,1145,2610004807.11
2025-10-17,86.045624,30428113.0,1132,2618205983.48
2025-10-20,86.115149,29538743.0,1100,2543733259.7
2025-10-21,86.323737,29984359.0,1096,2588361913.6
2025-10-22,86.627827,30144865.0,1095,2611384164.25
2025-10-23,86.72577,30044556.0,1092,2605637263.21
2025-10-24,86.778959,30048049.0,1084,2607538422.09
2025-10-27,87.181164,30443470.0,1089,2654097147.11
