date,fiyat,pay,hesap,buyukluk
2024-09-02,0.265999,1696029924.0,760,451141492.06
2024-09-03,0.266967,1696650470.0,753,452949052.74
2024-09-04,0.267469,1697093118.0,754,453920148.67
2024-09-05,0.267414,1696251033.0,750,453601904.17
2024-09-06,0.267596,1695923365.0,750,453821767.96
2024-09-09,0.268076,1695215587.0,749,454446304.56
2024-09-10,0.268278,1694467248.0,745,454588476.44
2024-09-11,0.268437,1668369484.0,739,447852235.7
2024-09-12,0.268158,1644828972.0,735,441074301.56
2024-09-13,0.268124,1638462340.0,739,439310439.86
2024-09-16,0.26907,1638386098.0,735,440839871.19
2024-09-17,0.269385,1494187488.0,736,402512033.66
2024-09-18,0.269836,1494604769.0,735,403298687.52
2024-09-19,0.270508,1493127523.0,735,403902257.31
2024-09-20,0.271173,1492872549.0,735,404826050.02
2024-09-23,0.2721,1492779549.0,734,406185373.38
2024-09-24,0.272397,1492323639.0,734,406505128.37
2024-09-25,0.272725,1482175003.0,733,404225945.22
2024-09-26,0.272903,1471061577.0,731,401457053.85
2024-09-27,0.272658,1470741424.0,729,401010047.7
2024-09-30,0.273208,1470223380.0,729,401676686.11
2024-10-01,0.273487,1470185558.0,727,402077034.98
2024-10-02,0.273339,1469352503.0,727,401630749.88
2024-10-03,0.272498,1468325716.0,722,400115153.88
2024-10-04,0.272132,1463830037.0,720,398355224.0
2024-10-07,0.27265,1459734468.0,716,397997106.97
2024-10-08,0.273113,1442270167.0,713,393902428.98
2024-10-09,0.273196,1440768924.0,712,393612537.21
2024-10-10,0.273727,1440066844.0,711,394185717.37
2024-10-11,0.274318,1438973101.0,706,394735594.21
2024-10-14,0.274727,1422693494.0,707,390852745.91
2024-10-15,0.274543,1422718973.0,704,390598158.56
2024-10-16,0.274469,1413141763.0,703,387863873.93
2024-10-17,0.275063,1412581329.0,703,388549287.81
2024-10-18,0.275624,1412399063.0,701,389291696.4
2024-10-21,0.276426,1412262305.0,698,390386035.8
2024-10-22,0.276187,1410193990.0,694,389477623.77
2024-10-23,0.276275,1387380755.0,689,383298000.71
2024-10-24,0.276874,1378202006.0,691,381587790.57
2024-10-25,0.277047,1377895065.0,692,381741164.0
2024-10-28,0.277995,1377872111.0,692,383041685.51
2024-10-30,0.278535,1377872111.0,693,383785982.36
2024-10-31,0.278859,1376978688.0,689,383983323.08
2024-11-01,0.278955,1353732857.0,687,377630256.99
2024-11-04,0.279481,1330146488.0,686,371750112.57
2024-11-05,0.279472,1329544403.0,686,371570445.86
2024-11-06,0.279111,1307901528.0,683,365050311.2
2024-11-07,0.27957,1305233698.0,679,364903782.76
2024-11-08,0.280568,1305114922.0,679,366173856.89
2024-11-11,0.2819,1304992232.0,680,367877789.46
2024-11-12,0.282654,1304958900.0,685,368852189.02
2024-11-13,0.282972,1305516543.0,681,369424758.35
2024-11-14,0.28337,1305319497.0,681,369888689.35
2024-11-15,0.284039,1305274910.0,676,370749334.6
2024-11-18,0.285076,1305889502.0,675,372277953.77
2024-11-19,0.285195,1306813640.0,673,372696979.67
2024-11-20,0.285271,1305457638.0,673,372408972.69
2024-11-21,0.28481,1305118245.0,678,371711037.16
2024-11-22,0.285205,1303012445.0,678,371625288.44
2024-11-25,0.286982,1302942937.0,677,373921215.2
2024-11-26,0.288051,1299037826.0,677,374188842.64
2024-11-27,0.288514,1295659323.0,674,373816289.32
2024-11-28,0.288749,1294543810.0,674,373797749.48
2024-11-29,0.289267,1290862127.0,672,373404141.19
2024-12-02,0.289952,1263394608.0,671,366323718.83
2024-12-03,0.29028,1261990180.0,669,366330231.91
2024-12-04,0.29081,1258525036.0,670,365991843.27
2024-12-05,0.29157,1258401742.0,669,366912299.78
2024-12-06,0.291842,1402408048.0,671,409281598.06
2024-12-09,0.293034,1402414373.0,671,410955349.92
2024-12-10,0.293892,1401419895.0,670,411865812.84
2024-12-11,0.294339,1401566893.0,670,412535363.05
2024-12-12,0.294214,1398365490.0,672,411418351.54
2024-12-13,0.29428,1398537155.0,676,411561534.2
2024-12-16,0.295242,1399025070.0,677,413050274.28
2024-12-17,0.295593,1399107896.0,676,413567166.37
2024-12-18,0.295716,1398681442.0,676,413613004.27
2024-12-19,0.296164,1398665292.0,675,414233933.5
2024-12-20,0.296252,1374460500.0,672,407186604.98
2024-12-23,0.296683,1374024689.0,668,407649789.56
2024-12-24,0.296889,1373928285.0,666,407904841.36
2024-12-25,0.297001,1373954127.0,668,408066114.89
2024-12-26,0.298167,1373035111.0,671,409393953.39
2024-12-27,0.298987,1372914562.0,670,410483986.86
2024-12-30,0.300071,1370827180.0,670,411344839.53
2024-12-31,0.300609,1372499873.0,672,412586390.95
2025-01-02,0.300896,1372733206.0,671,413049446.08
2025-01-03,0.30136,1373458029.0,672,413905699.21
2025-01-06,0.302679,1374440500.0,674,416014867.83
2025-01-07,0.303281,1374340400.0,677,416811921.89
2025-01-08,0.303382,1377463283.0,681,417896882.0
2025-01-09,0.303575,1376090860.0,686,417746910.79
2025-01-10,0.303909,1378091182.0,688,418814454.09
2025-01-13,0.304664,1395798165.0,688,425249137.47
2025-01-14,0.304913,1496579535.0,688,456326945.15
2025-01-15,0.304873,1496725044.0,689,456311358.78
2025-01-16,0.305104,1500721442.0,693,457875992.59
2025-01-17,0.306006,1714770759.0,694,524729411.95
2025-01-20,0.307055,1715751194.0,692,526830790.26
2025-01-21,0.307628,1715786593.0,697,527823997.34
2025-01-22,0.307776,1722394488.0,699,530112200.57
2025-01-23,0.30814,1722347899.0,701,530724669.26
2025-01-24,0.309014,1722617095.0,700,532313535.4
2025-01-27,0.309774,1754712932.0,702,543564170.25
2025-01-28,0.309334,1753045289.0,697,542277291.13
2025-01-29,0.310253,1744227377.0,698,541151157.44
2025-01-30,0.310933,1746424684.0,698,543021679.24
2025-01-31,0.312157,1746412805.0,697,545155028.25
2025-02-03,0.312575,1745344283.0,695,545551814.3
2025-02-04,0.312088,1746806169.0,693,545157562.42
2025-02-05,0.313355,1748807607.0,695,547997455.93
2025-02-06,0.313645,1736135311.0,697,544529346.84
2025-02-07,0.314027,1818546342.0,701,571072624.4
2025-02-10,0.315844,1812393802.0,704,572433294.95
2025-02-11,0.3156,1808923739.0,705,570896045.88
2025-02-12,0.31581,1815610699.0,706,573388803.94
2025-02-13,0.315959,1816494026.0,706,573937358.28
2025-02-14,0.317121,1814851577.0,705,575527113.81
2025-02-17,0.318498,1795169625.0,703,571757988.92
2025-02-18,0.318597,1800335142.0,705,573581319.73
2025-02-19,0.319417,1805868065.0,707,576825717.73
2025-02-20,0.319026,1789142508.0,711,570783528.63
2025-02-21,0.319491,1789206277.0,710,571635832.7
2025-02-24,0.319719,1783331350.0,711,570164481.01
2025-02-25,0.319722,1783321878.0,710,570166534.4
2025-02-26,0.31953,1783332693.0,708,569828089.57
2025-02-27,0.320378,1788834671.0,710,573103325.31
2025-02-28,0.321106,1795126327.0,704,576425122.13
2025-03-03,0.321452,1765244740.0,701,567441816.31
2025-03-04,0.323015,1765094820.0,700,570152495.16
2025-03-05,0.322927,1765067608.0,703,569987116.93
2025-03-06,0.323866,1767332114.0,707,572377961.19
2025-03-07,0.324414,1767416471.0,707,573375118.36
2025-03-10,0.325402,1667020929.0,707,542451833.0
2025-03-11,0.325914,1762953150.0,708,574570320.16
2025-03-12,0.326441,1765628390.0,714,576372970.43
2025-03-13,0.326767,1808839603.0,717,591069264.88
2025-03-14,0.3278,1817996179.0,722,595939966.69
2025-03-17,0.329437,1823396913.0,722,600695222.1
2025-03-18,0.329877,1831130156.0,720,604048108.38
2025-03-19,0.329955,2027073245.0,735,668842062.04
2025-03-20,0.326908,2075777051.0,742,678588634.18
2025-03-21,0.327076,2075666840.0,743,678901729.02
2025-03-24,0.32382,2068201192.0,738,669725566.85
2025-03-25,0.324314,2063866834.0,734,669340135.44
2025-03-26,0.326057,2038524686.0,727,664675268.61
2025-03-27,0.325947,2036367736.0,719,663748368.93
2025-03-28,0.326548,2032007067.0,719,663548715.86
2025-04-02,0.328108,2026734400.0,719,664987509.94
2025-04-03,0.328668,2026745066.0,719,666125935.01
2025-04-04,0.3284,2085629012.0,721,684921137.51
2025-04-07,0.327951,2002499773.0,717,656722194.59
2025-04-08,0.328155,2003565317.0,714,657480847.77
2025-04-09,0.328997,1989082562.0,710,654402893.53
2025-04-10,0.328938,1977575270.0,708,650499328.22
2025-04-11,0.330425,1977468276.0,709,653404351.23
2025-04-14,0.33219,1911087930.0,699,634844633.95
2025-04-15,0.331865,1910907154.0,698,634163399.77
2025-04-16,0.332041,1893525569.0,695,628728235.93
2025-04-17,0.332658,1893613740.0,694,629924985.18
2025-04-18,0.333159,1891782490.0,693,630264731.48
2025-04-21,0.334038,1891641151.0,692,631879587.37
2025-04-22,0.3347,1887827353.0,687,631856472.01
2025-04-24,0.335127,1877412434.0,686,629170682.91
2025-04-25,0.335986,1876114700.0,686,630348728.29
2025-04-28,0.337155,1894150567.0,689,638622200.99
2025-04-29,0.337719,1894144378.0,688,639688798.37
2025-04-30,0.338126,1893729757.0,686,640319211.86
2025-05-02,0.338869,1893730442.0,686,641726493.11
2025-05-05,0.33956,1893710395.0,684,643028301.59
2025-05-06,0.340847,1893708893.0,684,645465468.58
2025-05-07,0.341815,1890559003.0,681,646220973.8
2025-05-08,0.341914,1922678860.0,681,657390065.54
2025-05-09,0.341973,1919642927.0,680,656466331.11
2025-05-12,0.342894,1940559266.0,684,665405449.15
2025-05-13,0.342438,1940119366.0,681,664370350.62
2025-05-14,0.343202,1926379876.0,682,661136503.12
2025-05-15,0.343558,1926358189.0,681,661816185.34
2025-05-16,0.344016,1926466608.0,681,662734932.89
2025-05-20,0.344851,1952574809.0,681,673347295.0
2025-05-21,0.346546,1942632641.0,679,673211179.93
2025-05-22,0.347951,1939662324.0,677,674906994.46
2025-05-23,0.34824,2092408650.0,676,728660016.48
2025-05-26,0.3501,2092496740.0,677,732582467.25
2025-05-27,0.350496,2083237941.0,678,730165821.07
2025-05-28,0.350748,2082819458.0,677,730545050.14
2025-05-29,0.351155,2082565060.0,678,731302466.08
2025-05-30,0.351787,2082433389.0,680,732572266.75
2025-06-02,0.352183,2069333985.0,677,728783657.23
2025-06-03,0.354014,2069400677.0,676,732597146.77
2025-06-04,0.354685,2015826439.0,673,714983907.15
2025-06-05,0.355869,2015841610.0,674,717376228.12
2025-06-10,0.359152,2015841610.0,674,723992608.24
2025-06-11,0.360107,2015496897.0,674,725794463.58
2025-06-12,0.360536,2014647909.0,674,726353063.45
2025-06-13,0.361182,2015231231.0,677,727864402.81
2025-06-16,0.362669,2015415958.0,679,730928377.57
2025-06-17,0.363624,2015306268.0,682,732813665.62
2025-06-18,0.364124,2016486922.0,702,734250339.19
2025-06-19,0.364424,2052880344.0,720,748119108.16
2025-06-20,0.364604,2072648483.0,731,755696206.51
2025-06-23,0.365569,2068791546.0,733,756285160.45
2025-06-24,0.36638,2117388341.0,739,775768591.75
2025-06-25,0.365585,2109541165.0,740,771216612.14
2025-06-26,0.365847,2109829432.0,738,771874623.75
2025-06-27,0.366463,2108110205.0,733,772543937.85
2025-06-30,0.367942,2092505160.0,728,769920508.41
2025-07-01,0.368668,2086664309.0,726,769286228.44
2025-07-02,0.369521,2072812712.0,732,765948501.98
2025-07-03,0.370565,2073790748.0,736,768473315.72
2025-07-04,0.371346,2189028191.0,736,812887509.3
2025-07-07,0.372534,2221224402.0,738,827481376.26
2025-07-08,0.37278,2221518989.0,741,828138639.84
2025-07-09,0.372999,2221783696.0,742,828722029.99
2025-07-10,0.373444,2222477770.0,742,829970572.24
2025-07-11,0.374501,2220633683.0,737,831629563.67
2025-07-14,0.377676,2224682835.0,737,840209527.72
2025-07-16,0.378118,2214010173.0,737,837156102.0
2025-07-17,0.378331,2215625391.0,740,838239989.96
2025-07-18,0.378872,2223982522.0,744,842604071.01
2025-07-21,0.381842,2228144688.0,751,850799744.01
2025-07-22,0.383625,2302793701.0,764,883408327.71
2025-07-23,0.385064,2320421849.0,772,893511447.78
2025-07-24,0.385676,2326045268.0,776,897099241.22
2025-07-25,0.385755,2334922338.0,781,900706854.29
2025-07-28,0.386234,2369273437.0,785,915092881.93
2025-07-29,0.386119,3121233853.0,788,1205166908.28
2025-07-30,0.38638,3130724658.0,787,1209648897.38
2025-07-31,0.386232,3123596833.0,781,1206433130.43
2025-08-01,0.384588,3136887812.0,781,1206410113.22
2025-08-04,0.385782,3142072750.0,783,1212156445.12
2025-08-05,0.387553,3203025356.0,786,1241343339.89
2025-08-06,0.388574,3277496665.0,798,1273550428.61
2025-08-07,0.38862,3280515172.0,800,1274873030.87
2025-08-08,0.389133,3284338289.0,800,1278043438.98
2025-08-11,0.390537,3262606137.0,802,1274169641.76
2025-08-12,0.391199,3267327731.0,801,1278176841.49
2025-08-13,0.391414,3271522513.0,800,1280520478.75
2025-08-14,0.39182,3295987517.0,800,1291432971.3
2025-08-15,0.391821,3261943585.0,799,1278097359.23
2025-08-18,0.392909,3262020591.0,801,1281676775.06
2025-08-19,0.393377,3142507418.0,799,1236189683.71
2025-08-20,0.393638,3138566338.0,798,1235459463.19
2025-08-21,0.394284,3147270496.0,801,1240919862.99
2025-08-22,0.395426,3149945668.0,800,1245571429.47
2025-08-25,0.397105,3149940154.0,800,1250856363.8
2025-08-26,0.397398,3151260550.0,800,1252303768.04
2025-08-27,0.397862,3163375510.0,798,1258587770.34
2025-08-28,0.397472,3163314225.0,795,1257330157.4
2025-08-29,0.39821,3165860362.0,796,1260677886.0
2025-09-01,0.399729,3167209896.0,796,1266027031.31
2025-09-02,0.400849,3166525401.0,798,1269297376.05
