date,fiyat,pay,hesap,buyukluk
2024-09-02,3.054445,39741167.0,491,121387220.15
2024-09-03,3.099253,39743852.0,491,123176266.44
2024-09-04,3.097254,39653712.0,488,122817622.37
2024-09-05,3.091918,39489771.0,487,122099132.89
2024-09-06,3.07497,39499322.0,488,121459219.56
2024-09-09,3.067106,39410989.0,489,120877686.18
2024-09-10,3.051409,39401971.0,486,120231545.88
2024-09-11,3.040999,39205790.0,481,119224754.5
2024-09-12,3.017758,38834714.0,477,117193777.16
2024-09-13,3.018936,38788166.0,473,117098972.35
2024-09-16,3.043901,38785079.0,474,118057958.29
2024-09-17,3.045336,38539343.0,474,117365266.57
2024-09-18,3.069866,38229203.0,470,117358520.14
2024-09-19,3.080632,38173827.0,466,117599504.68
2024-09-20,3.098582,38107339.0,463,118078726.31
2024-09-23,3.109637,37889594.0,465,117822881.16
2024-09-24,3.115658,37890809.0,465,118054794.31
2024-09-25,3.13844,37851472.0,464,118794580.29
2024-09-26,3.128522,37838495.0,465,118378573.56
2024-09-27,3.105351,37843943.0,463,117518735.37
2024-09-30,3.106198,37610164.0,460,116824598.62
2024-10-01,3.099882,37259406.0,460,115499750.35
2024-10-02,3.061062,36951572.0,453,113111065.08
2024-10-03,3.005792,36742289.0,453,110439673.1
2024-10-04,2.968468,36669610.0,449,108852572.25
2024-10-07,3.003584,36635888.0,448,110038955.84
2024-10-08,2.999574,36634348.0,448,109887452.89
2024-10-09,3.006378,36564548.0,448,109926843.26
2024-10-10,3.019531,36564753.0,447,110408388.41
2024-10-11,3.002337,36401871.0,445,109290671.92
2024-10-14,2.990636,36364939.0,447,108754279.33
2024-10-15,2.966615,36196575.0,448,107381305.3
2024-10-16,2.976532,36198126.0,451,107744874.62
2024-10-17,3.004694,36151547.0,452,108624325.24
2024-10-18,3.011709,36149350.0,450,108871306.54
2024-10-21,2.993946,36149944.0,451,108230986.99
2024-10-22,2.968506,36151176.0,454,107314973.87
2024-10-23,2.984608,36053503.0,452,107605569.41
2024-10-24,2.978745,36049156.0,447,107381249.55
2024-10-25,2.984478,36047654.0,447,107583438.86
2024-10-28,3.007034,36053753.0,452,108414856.2
2024-10-30,3.02053,36054363.0,454,108903279.52
2024-10-31,3.034574,36054239.0,456,109409268.18
