date,fiyat,pay,hesap,buyukluk
2024-09-02,0.292117,3436332306.0,11468,1003812742.63
2024-09-03,0.29712,3435581049.0,11506,1020779753.63
2024-09-04,0.295661,3427940295.0,11463,1013508032.54
2024-09-05,0.295547,3424032269.0,11450,1011962702.03
2024-09-06,0.295931,3419619725.0,11439,1011970776.15
2024-09-09,0.293338,3418739391.0,11437,1002846702.73
2024-09-10,0.292039,3413133718.0,11434,996767751.86
2024-09-11,0.291392,3404845987.0,11401,992146472.71
2024-09-12,0.289044,3395568064.0,11358,981469523.61
2024-09-13,0.291791,3390339871.0,11318,989270642.42
2024-09-16,0.293738,3379299565.0,11288,992629175.5
2024-09-17,0.293094,3369076854.0,11284,987455064.57
2024-09-18,0.296024,3358380443.0,11265,994161284.75
2024-09-19,0.296658,3337047375.0,11255,989960873.77
2024-09-20,0.301175,3323159227.0,11254,1000853299.84
2024-09-23,0.300844,3326870651.0,11262,1000869714.24
2024-09-24,0.300365,3332360372.0,11275,1000923054.1
2024-09-25,0.302895,3331092900.0,11249,1008972533.5
2024-09-26,0.301825,3328555538.0,11221,1004641294.34
2024-09-27,0.301738,3326157425.0,11193,1003629168.18
2024-09-30,0.300601,3322470453.0,11192,998736543.4
2024-10-01,0.29867,3321522032.0,11195,992038650.57
2024-10-02,0.294408,3303473176.0,11156,972567863.4
2024-10-03,0.287785,3297316752.0,11136,948918806.68
2024-10-04,0.286349,3273883325.0,11094,937474227.67
2024-10-07,0.290835,3266026956.0,11054,949874329.56
2024-10-08,0.291616,3265495182.0,11060,952270775.4
2024-10-09,0.292609,3259831100.0,11033,953854289.82
2024-10-10,0.295213,3251988767.0,11004,960030289.02
2024-10-11,0.292473,3248789554.0,10980,950183754.54
2024-10-14,0.291653,3241542821.0,10972,945405270.82
2024-10-15,0.288565,3227828816.0,10944,931437606.09
2024-10-16,0.291223,3220297271.0,10888,937824202.88
2024-10-17,0.292083,3215276822.0,10856,939126956.8
2024-10-18,0.293166,3210591877.0,10826,941236897.82
2024-10-21,0.289198,3208345399.0,10806,927847499.96
2024-10-22,0.286825,3206629203.0,10795,919741970.44
2024-10-23,0.290468,3200620139.0,10737,929678846.12
2024-10-24,0.287917,3190519179.0,10696,918604748.07
2024-10-25,0.290738,3185037099.0,10670,926011954.59
2024-10-28,0.291763,3182276579.0,10646,928471824.75
2024-10-30,0.291871,3180291439.0,10638,928235026.92
2024-10-31,0.291944,3177505276.0,10626,927654044.87
2024-11-01,0.289568,3171952525.0,10597,918495482.43
2024-11-04,0.289243,3167155494.0,10580,916078593.6
2024-11-05,0.285908,3153295768.0,10562,901553304.6
2024-11-06,0.284996,3146133287.0,10519,896635484.3
2024-11-07,0.290934,3129600343.0,10488,910506703.01
2024-11-08,0.29408,3129377211.0,10488,920286948.42
2024-11-11,0.2988,3130574723.0,10462,935416485.27
2024-11-12,0.300414,3126701028.0,10461,939304701.37
2024-11-13,0.301075,3126137866.0,10415,941202296.37
2024-11-14,0.302815,3123926372.0,10392,945970389.14
2024-11-15,0.305157,3122724315.0,10371,952920435.24
2024-11-18,0.304554,3120297986.0,10362,950298513.61
2024-11-19,0.306122,3120520171.0,10380,955260798.16
2024-11-20,0.303218,3115158475.0,10356,944570791.23
2024-11-21,0.300501,3112377018.0,10329,935272174.19
2024-11-22,0.307684,3114235388.0,10311,958198976.03
2024-11-25,0.310435,3113336908.0,10307,966489245.7
2024-11-26,0.311458,3084780533.0,10316,960780950.21
2024-11-27,0.311369,3090290674.0,10300,962220392.37
2024-11-28,0.311247,3085064999.0,10288,960216201.98
2024-11-29,0.312013,3086528858.0,10297,963037772.27
2024-12-02,0.312633,3087351324.0,10293,965208883.43
2024-12-03,0.313372,3084773959.0,10321,966681221.11
2024-12-04,0.317106,3079075414.0,10292,976393200.04
2024-12-05,0.317479,3080027212.0,10283,977842797.91
2024-12-06,0.319522,3083068684.0,10311,985108630.24
2024-12-09,0.32339,3084930625.0,10341,997635987.17
2024-12-10,0.325826,3080562698.0,10371,1003728503.6
2024-12-11,0.323606,3096209419.0,10387,1001951988.79
2024-12-12,0.323603,3121054060.0,10397,1009983713.42
2024-12-13,0.323742,3123236859.0,10407,1011122781.14
2024-12-16,0.325306,3126097962.0,10418,1016938925.98
2024-12-17,0.32401,3125536313.0,10464,1012706451.21
2024-12-18,0.325542,3125832169.0,10468,1017588457.94
2024-12-19,0.323838,3124341782.0,10484,1011780905.47
2024-12-20,0.322023,3102615582.0,10488,999113603.85
2024-12-23,0.320797,3107466665.0,10492,996866826.56
2024-12-24,0.319954,3141645123.0,10482,1005182888.94
2024-12-25,0.321187,3141471133.0,10441,1009000308.42
2024-12-26,0.326306,3138380678.0,10429,1024072961.38
2024-12-27,0.327338,3187611438.0,10442,1043425308.31
2024-12-30,0.329219,3163239114.0,10457,1041399200.23
2024-12-31,0.326929,3169535166.0,10483,1036212459.45
2025-01-02,0.325497,3174050749.0,10493,1033144166.4
2025-01-03,0.330987,3150553123.0,10496,1042792301.21
2025-01-06,0.332962,3160165344.0,10502,1052213697.78
2025-01-07,0.333254,3167543594.0,10599,1055597338.24
2025-01-08,0.330421,3178923259.0,10611,1050383744.95
2025-01-09,0.328845,3193894902.0,10617,1050296495.72
2025-01-10,0.331542,3193019077.0,10610,1058618469.15
2025-01-13,0.330262,3223699634.0,10609,1064666457.2
2025-01-14,0.326638,3229525170.0,10613,1054884774.94
2025-01-15,0.326149,3221982680.0,10539,1050847477.14
2025-01-16,0.327167,3208403309.0,10523,1049685162.97
2025-01-17,0.330834,3166797837.0,10488,1047682980.51
2025-01-20,0.334936,3165267088.0,10479,1060163349.67
2025-01-21,0.336448,3166127814.0,10487,1065238744.89
2025-01-22,0.336894,3163329824.0,10476,1065706024.77
2025-01-23,0.340789,3168142598.0,10462,1079669309.35
2025-01-24,0.33973,3166379254.0,10453,1075713135.31
2025-01-27,0.338879,3167950585.0,10457,1073552607.47
2025-01-28,0.337452,3167226194.0,10484,1068786735.68
2025-01-29,0.339738,3172529784.0,10450,1077829028.78
2025-01-30,0.338978,3169341069.0,10450,1074338097.31
2025-01-31,0.339348,3168099536.0,10419,1075088613.15
2025-02-03,0.337226,3169196995.0,10409,1068736245.67
2025-02-04,0.332225,3168802893.0,10404,1052754911.11
2025-02-05,0.333215,3173141716.0,10426,1057338763.03
2025-02-06,0.330484,3173236215.0,10400,1048703208.23
2025-02-07,0.333577,3163240376.0,10383,1055185690.99
2025-02-10,0.335973,3164764342.0,10369,1063275092.38
2025-02-11,0.335181,3165080166.0,10376,1060876220.85
2025-02-12,0.33615,3162565154.0,10367,1063096797.54
2025-02-13,0.334404,3158388957.0,10337,1056178182.16
2025-02-14,0.337119,3156928788.0,10316,1064261402.12
2025-02-17,0.336703,3152737381.0,10303,1061535233.5
2025-02-18,0.336529,3147643227.0,10282,1059273885.43
2025-02-19,0.337899,3142315749.0,10291,1061785869.02
2025-02-20,0.335933,3155269601.0,10260,1059958606.81
2025-02-21,0.337595,3135571525.0,10235,1058554737.63
2025-02-24,0.335258,3110972688.0,10219,1042978558.83
2025-02-25,0.334872,3110326181.0,10184,1041560053.41
2025-02-26,0.333432,3108541865.0,10175,1036488721.78
2025-02-27,0.334276,3079197985.0,10127,1029300848.44
2025-02-28,0.336066,3049808676.0,10110,1024938176.28
2025-03-03,0.334687,3040746131.0,10079,1017699601.65
2025-03-04,0.339299,3040478791.0,10073,1031632220.48
2025-03-05,0.340352,3039308988.0,10065,1034433710.65
2025-03-06,0.343769,3030571701.0,10040,1041816310.05
2025-03-07,0.347422,3020129374.0,10033,1049260173.69
2025-03-10,0.348357,3017566440.0,10028,1051190015.39
2025-03-11,0.346764,3020979452.0,10028,1047565835.24
2025-03-12,0.346365,3014717994.0,10035,1044193029.17
2025-03-13,0.350256,3015378411.0,10013,1056154802.09
2025-03-14,0.354249,3015823777.0,9992,1068352191.26
2025-03-17,0.356697,3021061178.0,9987,1077603520.52
2025-03-18,0.355848,3021860414.0,9990,1075322300.68
2025-03-19,0.354277,3016557134.0,10008,1068697921.38
2025-03-20,0.339367,3004892179.0,9990,1019760571.98
2025-03-21,0.337109,2995693447.0,9970,1009875213.0
2025-03-24,0.322924,3011320894.0,9944,972426589.5
2025-03-25,0.32869,2989664867.0,9924,982673875.76
2025-03-26,0.337977,2960912298.0,9888,1000721302.06
2025-03-27,0.335264,2959588861.0,9841,992243841.73
2025-03-28,0.336409,2958148230.0,9812,995147871.23
2025-04-02,0.339001,2951059897.0,9790,1000412539.25
2025-04-03,0.336624,2946558698.0,9772,991883544.5
2025-04-04,0.33621,2933998801.0,9749,986440206.0
2025-04-07,0.336245,2932849233.0,9720,986157050.0
2025-04-08,0.336895,2930153713.0,9704,987153969.21
2025-04-09,0.337548,2912331177.0,9695,983051189.55
2025-04-10,0.333355,2907833437.0,9642,969341138.82
2025-04-11,0.334398,2898885803.0,9626,969380508.35
2025-04-14,0.335176,2891388298.0,9601,969123932.2
2025-04-15,0.33585,2882146707.0,9585,967970087.68
2025-04-16,0.335012,2866101318.0,9567,960179018.11
2025-04-17,0.331916,2859924879.0,9536,949255731.87
2025-04-18,0.335786,2794370934.0,9500,938309492.05
2025-04-21,0.334008,2789621266.0,9463,931757055.62
2025-04-22,0.334504,2777362186.0,9450,929038720.75
2025-04-24,0.333499,2726797856.0,9436,909384196.38
2025-04-25,0.336639,2716515941.0,9374,914485907.45
2025-04-28,0.335753,2706988979.0,9324,908881022.35
2025-04-29,0.334669,2703719327.0,9303,904851940.93
2025-04-30,0.334029,2694629900.0,9290,900083769.74
2025-05-02,0.333306,2670988340.0,9247,890255250.83
2025-05-05,0.336572,2637250687.0,9211,887623436.42
2025-05-06,0.335875,2631344148.0,9192,883802126.46
2025-05-07,0.336503,2602824646.0,9170,875857979.7
2025-05-08,0.336957,2597226579.0,9136,875154081.05
2025-05-09,0.338717,2574633766.0,9106,872071871.68
2025-05-12,0.33979,2573465658.0,9074,874438574.29
2025-05-13,0.341085,2571471102.0,9055,877090747.67
2025-05-14,0.342435,2569864789.0,9035,880010577.3
2025-05-15,0.343742,2565521348.0,9006,881877327.82
2025-05-16,0.344355,2547285111.0,8983,877171046.85
2025-05-20,0.346285,2548455648.0,8972,882492674.51
2025-05-21,0.344529,2546080583.0,8962,877198004.7
2025-05-22,0.341514,2544936201.0,8942,869131747.43
2025-05-23,0.343195,2534184628.0,8914,869720198.29
2025-05-26,0.340885,2526684891.0,8906,861307854.23
2025-05-27,0.340634,2520994016.0,8877,858737318.49
2025-05-28,0.340075,2517009279.0,8864,855971651.82
