date,fiyat,pay,hesap,buyukluk
2024-09-23,0.0,0.0,1,0.0
2024-09-24,0.988366,5000000.0,1,4941828.32
2024-09-25,0.989752,8541200.0,3,8453669.32
2024-09-26,0.988749,12799270.0,6,12655265.6
2024-09-27,0.987021,16339803.0,6,16127726.67
2024-09-30,0.988438,16339803.0,7,16150876.1
2024-10-01,0.987291,21398895.0,9,21126933.69
2024-10-02,0.987672,21399396.0,9,21135579.4
2024-10-03,0.987502,26909752.0,9,26573422.87
2024-10-04,0.986203,26909752.0,9,26538480.79
2024-10-07,0.987158,32407605.0,9,31991413.39
2024-10-08,0.98789,32407605.0,9,32015158.79
2024-10-09,0.988043,38517317.0,9,38056746.91
2024-10-10,0.987409,38517317.0,9,38032352.23
2024-10-11,0.986646,38517317.0,9,38002953.65
2024-10-14,0.98749,44021935.0,9,43471211.14
2024-10-15,0.987997,44021935.0,10,43493543.12
2024-10-16,0.988524,44021945.0,11,43516755.7
2024-10-17,0.987886,55029719.0,12,54363076.67
2024-10-18,0.988585,55029818.0,12,54401672.17
2024-10-21,0.990267,55029898.0,11,54494314.85
2024-10-22,0.98904,55030911.0,11,54427745.47
2024-10-23,0.988057,60530060.0,12,59807154.66
2024-10-24,0.98761,60530165.0,12,59780169.07
2024-10-25,0.986942,60530165.0,12,59739759.67
2024-10-28,0.988114,60530169.0,12,59810721.97
2024-10-30,0.988061,60530169.0,12,59807494.18
2024-10-31,0.983486,60530068.0,14,59530452.88
2024-11-01,0.978344,60531392.0,13,59220516.32
2024-11-04,0.97959,78621821.0,13,77017161.8
2024-11-05,0.981176,78621824.0,15,77141848.62
2024-11-06,0.981355,78621798.0,15,77155877.88
2024-11-07,0.979248,78621796.0,15,76990236.21
2024-11-08,0.979618,78621796.0,15,77019351.18
2024-11-11,0.983746,78621796.0,15,77343909.32
2024-11-12,0.984863,78621796.0,15,77431677.53
2024-11-13,0.985199,78621799.0,15,77458128.93
2024-11-14,0.986026,80641701.0,15,79514789.32
2024-11-15,0.985875,82000691.0,15,80842449.57
2024-11-18,0.989138,122573798.0,16,121242429.69
2024-11-19,0.991602,129515828.0,16,128428156.08
2024-11-20,0.994702,133549690.0,16,132842087.24
2024-11-21,0.994237,136897428.0,14,136108535.61
2024-11-22,0.996072,136897528.0,14,136359787.58
2024-11-25,0.993878,137730801.0,14,136887644.2
2024-11-26,0.99569,140930388.0,14,140323032.75
2024-11-27,0.9969,141884500.0,15,141444663.43
2024-11-28,0.997306,141884502.0,15,141502247.06
2024-11-29,0.997665,141884502.0,15,141553179.07
2024-12-02,0.997672,141884512.0,17,141554269.61
2024-12-03,0.999641,141884058.0,17,141833124.29
2024-12-04,1.001297,141884069.0,17,142068022.25
2024-12-05,1.00145,141901478.0,18,142107168.11
2024-12-06,1.001911,141901591.0,19,142172702.56
2024-12-09,1.00381,141936210.0,19,142477006.42
2024-12-10,1.005618,133936210.0,20,134688618.2
2024-12-11,1.005672,133938333.0,20,134697972.8
2024-12-12,1.006178,134447350.0,23,135277915.95
2024-12-13,1.007217,134556876.0,24,135527971.13
2024-12-16,1.008429,134978780.0,25,136116572.68
2024-12-17,1.00981,134978881.0,26,136303065.37
2024-12-18,1.009439,134978886.0,28,136253018.27
2024-12-19,1.010296,135579402.0,29,136975393.34
2024-12-20,1.00732,136519760.0,29,137519134.93
2024-12-23,1.006459,136519763.0,29,137401485.08
2024-12-24,1.009899,136519770.0,30,137871220.73
2024-12-25,1.011822,136519773.0,30,138133648.36
2024-12-26,1.01331,136519773.0,29,138336842.09
2024-12-27,1.012783,136519372.0,29,138264452.08
2024-12-30,1.010785,136519375.0,29,137991708.51
2024-12-31,1.010992,136502063.0,28,138002490.22
2025-01-02,1.01293,139212272.0,29,141012251.6
2025-01-03,1.011652,139212396.0,29,140834564.39
2025-01-06,1.013562,139212396.0,29,141100364.14
2025-01-07,1.017085,139212399.0,29,141590790.2
2025-01-08,1.018282,139191811.0,29,141736526.88
2025-01-09,1.016586,139260562.0,27,141570369.78
2025-01-10,1.015307,139280121.0,26,141412016.82
2025-01-13,1.016713,139280123.0,25,141607965.47
2025-01-14,1.014324,139280123.0,26,141275110.62
2025-01-15,1.016212,139281590.0,26,141539615.52
2025-01-16,1.01628,139281590.0,26,141549154.67
2025-01-17,1.017031,139281569.0,26,141653673.58
2025-01-20,1.018578,139281098.0,26,141868681.87
2025-01-21,1.021597,139281098.0,27,142289172.82
2025-01-22,1.022671,153230111.0,29,156703958.54
2025-01-23,1.024652,134652267.0,29,137971740.78
2025-01-24,1.025764,134652267.0,29,138121406.68
2025-01-27,1.0275,147086918.0,30,151131812.14
2025-01-28,1.028431,148206179.0,30,152419816.89
2025-01-29,1.029518,147815453.0,31,152178647.02
2025-01-30,1.030687,147815475.0,31,152351474.18
2025-01-31,1.030576,147815338.0,31,152334907.08
2025-02-03,1.032156,147815338.0,31,152568527.08
2025-02-04,1.034245,147826592.0,31,152888848.35
2025-02-05,1.035537,147826592.0,31,153079912.32
2025-02-06,1.035588,147826594.0,30,153087390.84
2025-02-07,1.035566,147825183.0,31,153082742.65
2025-02-10,1.038713,147936240.0,31,153663276.26
2025-02-11,1.040415,147936240.0,30,153915092.26
2025-02-12,1.040312,147901638.0,30,153863881.47
2025-02-13,1.041931,147920962.0,31,154123476.91
2025-02-14,1.04301,147921509.0,31,154283676.01
2025-02-17,1.045753,147921509.0,30,154689332.52
2025-02-18,1.047437,147990565.0,31,155010844.96
2025-02-19,1.04875,147991320.0,34,155205838.32
2025-02-20,1.049448,147994822.0,35,155312830.42
2025-02-21,1.050324,147925825.0,36,155369994.8
2025-02-24,1.053256,147925899.0,37,155803789.78
2025-02-25,1.055159,148654651.0,38,156854313.69
2025-02-26,1.056655,148931408.0,39,157369084.89
2025-02-27,1.05705,149186839.0,40,157697882.47
2025-02-28,1.058279,149326747.0,41,158029391.3
2025-03-03,1.060119,148165847.0,41,157073416.67
2025-03-04,1.061697,149053837.0,42,158249977.99
2025-03-05,1.062458,149173915.0,46,158491009.2
2025-03-06,1.06242,149257763.0,46,158574455.14
2025-03-07,1.061179,149279790.0,47,158412545.27
2025-03-10,1.064217,148397611.0,47,157927258.42
2025-03-11,1.06861,148369039.0,48,158548588.7
2025-03-12,1.072001,148644205.0,48,159346757.41
2025-03-13,1.074989,148644205.0,46,159790933.46
2025-03-14,1.080033,148759500.0,48,160665192.07
2025-03-17,1.084154,149852089.0,54,162462809.69
2025-03-18,1.090961,151289903.0,62,165051316.47
2025-03-19,1.091765,153415949.0,76,167494164.18
2025-03-20,1.123157,154699595.0,89,173751879.53
2025-03-21,1.118964,155281124.0,95,173754030.68
2025-03-24,1.107657,155767959.0,102,172537540.45
2025-03-25,1.111274,155698833.0,105,173024049.2
2025-03-26,1.119167,135012416.0,103,151101394.93
2025-03-27,1.124034,134577773.0,102,151269973.03
2025-03-28,1.123386,136140494.0,105,152938262.32
2025-04-02,1.121062,181330234.0,116,203282432.38
2025-04-03,1.127046,181457036.0,123,204510435.27
2025-04-04,1.129644,206102669.0,124,232822736.31
2025-04-07,1.129676,206765915.0,127,233578424.04
2025-04-08,1.12862,207251363.0,130,233908087.66
2025-04-09,1.131338,206915109.0,135,234090956.38
2025-04-10,1.13029,207993950.0,141,235093420.27
2025-04-11,1.132619,209567049.0,146,237359544.55
2025-04-14,1.133064,211142267.0,155,239237674.69
2025-04-15,1.134615,214939445.0,164,243873474.4
2025-04-16,1.138404,216542121.0,176,246512469.17
2025-04-17,1.138543,216237928.0,186,246196248.78
2025-04-18,1.141945,218744854.0,200,249794661.48
2025-04-21,1.140913,219442946.0,200,250365267.99
2025-04-22,1.14043,219998183.0,203,250892632.96
2025-04-24,1.138899,218770200.0,208,249157195.18
2025-04-25,1.14273,221654500.0,213,253291163.4
2025-04-28,1.141738,194315905.0,211,221857805.7
2025-04-29,1.140361,195364821.0,208,222786489.45
2025-04-30,1.142815,193980068.0,208,221683308.68
2025-05-02,1.142749,193639561.0,205,221281428.16
2025-05-05,1.142318,194102772.0,197,221727145.57
2025-05-06,1.147094,193440505.0,194,221894440.26
2025-05-07,1.145968,190644145.0,193,218472008.02
2025-05-08,1.143162,190544980.0,191,217823839.92
2025-05-09,1.14157,190544275.0,180,217519541.75
2025-05-12,1.143578,189517734.0,177,216728315.58
2025-05-13,1.14733,192672173.0,178,221058503.42
2025-05-14,1.148587,189799464.0,173,218001199.23
2025-05-15,1.148455,189527774.0,170,217664113.2
2025-05-16,1.146833,189403780.0,162,217214579.19
2025-05-20,1.143057,189339194.0,156,216425428.86
2025-05-21,1.148366,189339865.0,156,217431460.44
2025-05-22,1.148473,189136681.0,154,217218425.55
2025-05-23,1.150275,188953869.0,154,217348822.61
2025-05-26,1.151828,189035882.0,148,217736783.41
2025-05-27,1.153298,189035882.0,148,218014713.03
2025-05-28,1.153564,189382717.0,146,218465178.48
2025-05-29,1.15612,189220289.0,148,218761345.14
2025-05-30,1.157505,190088550.0,153,220028435.7
2025-06-02,1.160863,189908820.0,151,220458206.46
2025-06-03,1.162529,189418219.0,147,220204101.57
2025-06-04,1.161674,189485651.0,148,220120618.48
2025-06-05,1.161273,189499766.0,147,220060880.05
2025-06-10,1.162224,189156812.0,147,219842652.57
2025-06-11,1.164884,189156912.0,147,220345826.52
2025-06-12,1.164844,188908113.0,145,220048477.38
2025-06-13,1.167595,187457662.0,145,218874649.34
2025-06-16,1.168568,187412103.0,141,219003804.18
2025-06-17,1.170673,187393768.0,140,219376912.91
2025-06-18,1.170892,187434253.0,140,219465246.21
2025-06-19,1.17447,188860161.0,139,221810687.12
2025-06-20,1.175901,187981452.0,139,221047498.84
2025-06-23,1.177801,188155780.0,140,221610053.38
2025-06-24,1.181305,187887572.0,138,221952435.91
2025-06-25,1.178801,187576943.0,134,221115876.02
2025-06-26,1.181517,187107206.0,133,221070437.52
2025-06-27,1.183392,186410010.0,132,220596176.9
2025-06-30,1.185206,186411136.0,129,220935682.91
2025-07-01,1.185435,186411136.0,127,220978366.46
2025-07-02,1.186527,186086864.0,127,220797162.09
2025-07-03,1.18525,153384797.0,127,181799270.31
2025-07-04,1.183707,153469504.0,123,181662920.78
2025-07-07,1.184359,185612820.0,123,219832297.04
2025-07-08,1.190773,185305342.0,122,220656628.51
2025-07-09,1.191867,185080598.0,123,220591502.82
2025-07-10,1.192781,180970118.0,122,215857714.42
2025-07-11,1.193406,180970284.0,120,215970951.77
2025-07-14,1.194946,180970284.0,114,216249689.04
2025-07-16,1.19764,180953513.0,114,216717240.75
2025-07-17,1.200001,180955016.0,115,217146209.05
2025-07-18,1.201262,180955248.0,114,217374663.22
2025-07-21,1.202642,180946372.0,115,217613626.76
2025-07-22,1.205181,180949381.0,117,218076838.06
2025-07-23,1.20611,180960284.0,118,218258055.76
2025-07-24,1.207244,180154738.0,119,217490672.01
2025-07-25,1.208159,179817591.0,118,217248219.66
2025-07-28,1.209019,179928924.0,117,217537576.83
2025-07-29,1.211515,167206294.0,116,202573014.78
2025-07-30,1.212436,167171450.0,116,202684678.63
2025-07-31,1.213025,167172687.0,115,202784701.59
2025-08-01,1.213591,167180930.0,113,202889346.66
2025-08-04,1.214396,167261248.0,114,203121346.19
2025-08-05,1.216729,167134632.0,116,203357591.73
2025-08-06,1.217212,167072957.0,116,203363145.86
2025-08-07,1.217192,167038957.0,114,203318528.23
2025-08-08,1.217101,167041282.0,114,203306140.78
2025-08-11,1.217005,167078979.0,115,203335898.08
2025-08-12,1.219454,167078979.0,115,203745110.43
2025-08-13,1.219833,167130786.0,116,203871623.08
2025-08-14,1.220488,167071660.0,119,203909029.06
2025-08-15,1.222237,168601357.0,123,206070799.77
2025-08-18,1.223374,168604954.0,121,206266947.94
2025-08-19,1.225759,168333058.0,118,206335679.94
2025-08-20,1.226065,168193983.0,119,206216817.85
