date,fiyat,pay,hesap,buyukluk
2024-09-02,0.296462,34661224003.0,193787,10275730284.53
2024-09-03,0.296169,34815110745.0,194446,10311167470.71
2024-09-04,0.289743,34466869219.0,194490,9986536952.57
2024-09-05,0.291901,34524703577.0,194868,10077778576.71
2024-09-06,0.295416,34557359068.0,195060,10208796362.84
2024-09-09,0.292352,34563106361.0,195109,10104578637.53
2024-09-10,0.291212,34587888963.0,195706,10072419416.51
2024-09-11,0.294029,34610469586.0,195452,10176489201.13
2024-09-12,0.296094,34537580415.0,195306,10226362038.3
2024-09-13,0.301281,34466274332.0,195108,10384016690.63
2024-09-16,0.303433,34472035411.0,195112,10459945301.42
2024-09-17,0.301535,34567852783.0,196916,10423430031.75
2024-09-18,0.304414,34782051458.0,197123,10588141134.95
2024-09-19,0.305007,34775359446.0,197153,10606731912.27
2024-09-20,0.310814,34826538281.0,197324,10824575554.22
2024-09-23,0.313424,34903862562.0,198354,10939723452.94
2024-09-24,0.315603,35088538240.0,198955,11074062828.76
2024-09-25,0.316446,35287305983.0,199353,11166542778.89
2024-09-26,0.318456,35576675877.0,200131,11329595398.21
2024-09-27,0.319515,35778185092.0,200589,11431664500.81
2024-09-30,0.323998,36150921636.0,201071,11712835114.89
2024-10-01,0.321626,36206817628.0,201315,11645052635.91
2024-10-02,0.320398,36321695782.0,201643,11637405793.01
2024-10-03,0.31917,36614747090.0,201789,11686313555.09
2024-10-04,0.318383,36817261510.0,202140,11721991251.61
2024-10-07,0.320599,36915568822.0,202240,11835089593.32
2024-10-08,0.318645,37017093176.0,203350,11795313527.36
2024-10-09,0.315572,37130973057.0,204007,11717489527.35
2024-10-10,0.313637,37345278429.0,203557,11712849898.98
2024-10-11,0.315323,37263288044.0,203176,11749967300.59
2024-10-14,0.317209,37344058605.0,203012,11845881141.97
2024-10-15,0.316923,37429121171.0,203245,11862140740.23
2024-10-16,0.326011,37503446769.0,203794,12226550105.17
2024-10-17,0.324186,37606214684.0,203851,12191406487.92
2024-10-18,0.326349,37772129761.0,203972,12326883396.98
2024-10-21,0.326101,37829563292.0,204199,12336265053.11
2024-10-22,0.330869,37916199360.0,204941,12545289458.35
2024-10-23,0.330294,37926054364.0,204833,12526759166.37
2024-10-24,0.330396,37870183278.0,204827,12512151402.66
2024-10-25,0.331971,37839814084.0,204709,12561712550.13
2024-10-28,0.337391,37837556547.0,205110,12766069113.37
2024-10-30,0.335285,37801962192.0,205267,12674420646.5
2024-10-31,0.337739,37893582753.0,205016,12798130030.19
2024-11-01,0.336301,37994374417.0,204788,12777557920.23
2024-11-04,0.334927,38216417028.0,204734,12799716287.29
2024-11-05,0.3332,38286141326.0,205596,12756960627.68
2024-11-06,0.332064,38230459621.0,205654,12694940319.5
2024-11-07,0.328745,38183291918.0,205245,12552564676.72
2024-11-08,0.331062,38097793851.0,205365,12612730453.4
2024-11-11,0.329304,37931543363.0,205026,12491015685.09
2024-11-12,0.32484,37944424156.0,204200,12325877020.46
2024-11-13,0.326014,37852852312.0,203348,12340553473.36
2024-11-14,0.323388,37691324384.0,202962,12188908289.42
2024-11-15,0.321868,37681427568.0,203027,12128440028.52
2024-11-18,0.335161,37550911750.0,203457,12585592026.33
2024-11-19,0.33049,37653687240.0,203625,12444167092.71
2024-11-20,0.328179,37727786028.0,203572,12381480557.2
2024-11-21,0.329204,38190045230.0,203991,12572311285.65
2024-11-22,0.33133,38199666581.0,203832,12656704420.29
2024-11-25,0.335836,38192067970.0,203653,12826272155.02
2024-11-26,0.332044,38128447561.0,203730,12660305557.71
2024-11-27,0.33295,37932981504.0,203213,12629776954.37
2024-11-28,0.332886,38566705339.0,203006,12838331242.76
2024-11-29,0.331114,38489829081.0,202617,12744502753.78
2024-12-02,0.330454,38470535066.0,202242,12712725435.62
2024-12-03,0.329606,38401602315.0,201428,12657393039.21
2024-12-04,0.331927,38260442273.0,201280,12699675773.22
2024-12-05,0.329111,38190883123.0,200977,12569043455.04
2024-12-06,0.330909,38109015672.0,201149,12610605848.47
2024-12-09,0.332397,38138251102.0,201171,12677040937.54
2024-12-10,0.33311,38114917441.0,201355,12696444608.49
2024-12-11,0.336484,37971720257.0,200892,12776881102.7
2024-12-12,0.334366,37923383068.0,200415,12680283821.82
2024-12-13,0.336384,37932801683.0,200116,12759975206.53
2024-12-16,0.336066,37836994471.0,199966,12715734051.57
2024-12-17,0.334478,37802544741.0,201044,12644106843.81
2024-12-18,0.33152,37685225478.0,200827,12493399976.86
2024-12-19,0.325998,37623042210.0,200448,12265023039.65
2024-12-20,0.32362,37562032492.0,200054,12155819373.68
2024-12-23,0.32418,37565112195.0,200504,12177854617.19
