date,fiyat,pay,hesap,buyukluk
2024-12-10,0.0,0.0,332,0.0
2024-12-11,1.001115,3467008.0,467,3470872.44
2024-12-12,1.014494,5388025.0,527,5466120.09
2024-12-13,1.007377,9529209.0,579,9599506.28
2024-12-16,0.991257,11114511.0,1208,11017333.25
2024-12-17,0.959377,14172260.0,2048,13596546.73
2024-12-18,0.953685,19671780.0,2438,18760678.78
2024-12-19,0.956957,25815169.0,2576,24704011.37
2024-12-20,0.941901,26394972.0,2655,24861461.57
2024-12-23,0.938544,27605674.0,2684,25909129.25
2024-12-24,0.937911,23566760.0,2768,22103529.48
2024-12-25,0.936572,25072637.0,2808,23482336.57
2024-12-26,0.945788,26040562.0,2821,24628848.83
2024-12-27,0.945551,26506345.0,2829,25063103.39
2024-12-30,0.940862,26672666.0,2843,25095305.19
2024-12-31,0.937795,26948400.0,2855,25272086.67
2025-01-02,0.940331,27136970.0,2871,25517745.4
2025-01-03,0.969678,27606836.0,2880,26769728.4
2025-01-06,0.989524,28012860.0,2907,27719393.5
2025-01-07,1.019638,28621320.0,2970,29183388.42
2025-01-08,1.010945,30665624.0,3033,31001261.9
2025-01-09,0.969683,32793003.0,3067,31798823.68
2025-01-10,0.969081,35233569.0,3084,34144179.07
2025-01-13,0.963747,34550300.0,3093,33297740.35
2025-01-14,0.957235,34752678.0,3095,33266478.6
2025-01-15,0.958917,34599333.0,3095,33177899.81
2025-01-16,0.958027,34846568.0,3081,33383958.93
2025-01-17,0.957034,34733836.0,3075,33241455.04
2025-01-20,0.958207,34093167.0,3059,32668323.7
2025-01-21,0.972109,34349127.0,3061,33391093.77
2025-01-22,0.984991,34611129.0,3075,34091653.89
2025-01-23,1.002085,34544165.0,3078,34616178.38
2025-01-24,1.031615,37347544.0,3101,38528286.28
2025-01-27,1.050188,38584042.0,3162,40520511.51
2025-01-28,0.974736,39806990.0,3399,38801301.29
2025-01-29,0.953792,54590685.0,3541,52068134.51
2025-01-30,0.973016,60120340.0,3541,58498066.5
2025-01-31,0.992915,61406029.0,3571,60970990.42
2025-02-03,0.993973,62349282.0,3582,61973517.08
2025-02-04,0.963976,62797079.0,3598,60534887.77
2025-02-05,0.977039,59121491.0,3597,57764013.92
2025-02-06,0.982307,57922913.0,3588,56898081.83
2025-02-07,0.99275,57935187.0,3567,57515183.65
2025-02-10,0.991636,57773792.0,3557,57290574.83
2025-02-11,1.00878,57841589.0,3542,58349425.05
2025-02-12,1.001359,57877292.0,3546,57955951.51
2025-02-13,0.987174,57821115.0,3543,57079474.19
2025-02-14,0.992743,56955279.0,3513,56541943.07
2025-02-17,0.987208,56308775.0,3497,55588459.9
2025-02-18,0.969446,55049122.0,3476,53367173.97
2025-02-19,0.968313,54739525.0,3471,53004997.85
2025-02-20,0.95512,53300170.0,3456,50908077.22
2025-02-21,0.941407,53226781.0,3440,50108086.25
2025-02-24,0.936773,53066729.0,3415,49711460.28
2025-02-25,0.909916,53112283.0,3390,48327739.09
2025-02-26,0.892863,51526261.0,3371,46005867.42
2025-02-27,0.892405,51144068.0,3352,45641199.16
2025-02-28,0.898063,51407559.0,3307,46167231.76
2025-03-03,0.863661,51242554.0,3281,44256179.9
2025-03-04,0.869161,51580006.0,3276,44831331.81
2025-03-05,0.828618,51685244.0,3262,42827298.52
2025-03-06,0.849812,52032523.0,3258,44217846.52
2025-03-07,0.852684,51363578.0,3242,43796881.79
2025-03-10,0.850706,51657268.0,3235,43945154.46
2025-03-11,0.827065,51281791.0,3225,42413350.21
2025-03-12,0.824923,51569077.0,3228,42540526.09
2025-03-13,0.836929,51812337.0,3218,43363256.76
2025-03-14,0.833276,51785644.0,3195,43151742.07
2025-03-17,0.849108,52552900.0,3182,44623105.96
2025-03-18,0.864816,51944087.0,3166,44922087.46
2025-03-19,0.867201,52125234.0,3169,45203040.5
2025-03-20,0.88226,51316342.0,3160,45274351.49
2025-03-21,0.905977,51023885.0,3142,46226472.57
2025-03-24,0.877201,51709788.0,3122,45359894.69
2025-03-25,0.890323,51492092.0,3104,45844612.43
2025-03-26,0.885723,51575896.0,3088,45681974.61
2025-03-27,0.878903,51041453.0,3070,44860481.37
2025-03-28,0.866789,51437339.0,3055,44585337.66
2025-04-02,0.851735,50736273.0,3038,43213836.92
2025-04-03,0.836067,50567862.0,3028,42278106.45
2025-04-04,0.820766,50670495.0,3023,41588596.61
2025-04-07,0.761206,50750431.0,3012,38631527.8
2025-04-08,0.778903,50423229.0,2985,39274825.19
2025-04-09,0.787593,50251307.0,2982,39577594.09
2025-04-10,0.768223,50630363.0,2964,38895389.33
2025-04-11,0.806508,50654337.0,2939,40853143.98
2025-04-14,0.817594,50786796.0,2933,41522972.31
2025-04-15,0.839834,50802834.0,2926,42665970.97
2025-04-16,0.835313,50755431.0,2920,42396689.42
2025-04-17,0.840683,49791139.0,2927,41858587.55
2025-04-18,0.831483,49699377.0,2925,41324167.81
2025-04-21,0.840613,49692709.0,2910,41772317.11
2025-04-22,0.821784,49717395.0,2907,40856962.58
2025-04-24,0.816873,49990810.0,2902,40836143.47
2025-04-25,0.859433,50017109.0,2896,42986367.56
2025-04-28,0.864451,44027833.0,2837,38059911.38
2025-04-29,0.874449,43930299.0,2824,38414824.91
2025-04-30,0.883123,39936869.0,2807,35269158.18
2025-05-02,0.865339,39846814.0,2801,34481011.89
2025-05-05,0.896712,39782316.0,2791,35673261.84
2025-05-06,0.886497,39482330.0,2778,35000974.49
2025-05-07,0.884093,38923321.0,2780,34411842.14
2025-05-08,0.907251,38908472.0,2786,35299759.02
2025-05-09,0.914902,38910938.0,2769,35599714.24
2025-05-12,0.925238,38835246.0,2765,35931826.16
2025-05-13,0.941456,38769291.0,2760,36499573.52
2025-05-14,0.949179,38936628.0,2760,36957819.42
