date,fiyat,pay,hesap,buyukluk
2024-09-02,0.098166,2017489574.933,7928,198048807.81
2024-09-03,0.09993,2010812611.736,7916,200940189.91
2024-09-04,0.099837,2000680968.961,7888,199742291.73
2024-09-05,0.099753,2003692732.247,7888,199874291.67
2024-09-06,0.09983,1999727599.657,7877,199632690.16
2024-09-09,0.099245,1994885908.363,7881,197982246.73
2024-09-10,0.099695,1994386888.908,7873,198830858.92
2024-09-11,0.099836,1980625783.964,7838,197737041.26
2024-09-12,0.099088,1980313097.097,7838,196225238.36
2024-09-13,0.099667,1976608905.262,7831,197002998.7
2024-09-16,0.100696,1963727147.309,7822,197739228.85
2024-09-17,0.099824,1961208148.299,7811,195775374.89
2024-09-18,0.10094,1955407657.333,7794,197379813.91
2024-09-19,0.100973,1961265912.275,7808,198034826.4
2024-09-20,0.102115,1970943088.7,7815,201262439.39
2024-09-23,0.101982,1971359881.681,7814,201043938.34
2024-09-24,0.101863,1969857307.243,7808,200655659.66
2024-09-25,0.1024,1961893298.333,7778,200897874.09
2024-09-26,0.1014,1952922676.727,7771,198026603.41
2024-09-27,0.101062,1947584284.466,7753,196827553.68
2024-09-30,0.101035,1948149112.109,7743,196832040.13
2024-10-01,0.10011,1946671481.467,7733,194881074.56
2024-10-02,0.097972,1939491316.294,7720,190014944.53
2024-10-03,0.095677,1941215852.228,7719,185729643.56
2024-10-04,0.094947,1938402187.069,7698,184045610.51
2024-10-07,0.096507,1937424536.65,7673,186975478.66
2024-10-08,0.095852,1935345111.657,7665,185505978.72
2024-10-09,0.095933,1925442633.196,7643,184714106.25
2024-10-10,0.096587,1925756173.524,7635,186002091.27
2024-10-11,0.096021,1913163617.312,7596,183704728.99
2024-10-14,0.095505,1910266000.332,7581,182440111.04
2024-10-15,0.094267,1903609978.244,7559,179448288.22
2024-10-16,0.095541,1896603084.908,7530,181204168.53
2024-10-17,0.096113,1893090661.785,7518,181950877.58
2024-10-18,0.096626,1900069024.859,7497,183595248.88
2024-10-21,0.095663,1899465337.929,7473,181708717.61
2024-10-22,0.094813,1897393418.804,7459,179897848.32
2024-10-23,0.095846,1889286005.993,7425,181080276.75
2024-10-24,0.095182,1892142229.99,7423,180098079.58
2024-10-25,0.095904,1884179844.267,7401,180700138.82
2024-10-28,0.096251,1882418004.13,7383,181184306.65
2024-10-30,0.096588,1880486031.477,7374,181631473.32
2024-10-31,0.097012,1873398920.505,7349,181742143.74
2024-11-01,0.0964,1868880189.17,7332,180159772.85
2024-11-04,0.096941,1866029170.419,7328,180895403.81
2024-11-05,0.095789,1867388338.342,7323,178875845.51
2024-11-06,0.09523,1864193743.609,7289,177527013.67
2024-11-07,0.096696,1858017224.454,7271,179662434.96
2024-11-08,0.097173,1856666123.839,7278,180418370.41
2024-11-11,0.098421,1855696899.28,7273,182638868.68
2024-11-12,0.098958,1846626167.509,7256,182739320.94
2024-11-13,0.099104,1845774388.109,7246,182923751.68
2024-11-14,0.099718,1843829314.115,7232,183863805.04
2024-11-15,0.100752,1842834081.443,7220,185669166.05
2024-11-18,0.100695,1839907392.542,7213,185268652.5
2024-11-19,0.100572,1838578387.449,7203,184910080.32
2024-11-20,0.099872,1837060515.605,7192,183470919.18
2024-11-21,0.099005,1840343670.371,7187,182204016.49
2024-11-22,0.100719,1838340891.092,7181,185155327.77
2024-11-25,0.101677,1836541312.218,7181,186733529.01
2024-11-26,0.102276,1830461090.019,7161,187212817.4
