date,fiyat,pay,hesap,buyukluk
2024-09-02,0.063994,2740588466.007,12034,175381892.75
2024-09-03,0.06501,2735511362.858,12013,177835000.63
2024-09-04,0.064525,2722528814.658,11960,175672452.85
2024-09-05,0.064147,2724152555.897,11952,174746651.24
2024-09-06,0.063946,2722117072.012,11943,174068620.99
2024-09-09,0.063546,2720667984.064,11972,172888075.57
2024-09-10,0.063552,2725244040.84,11976,173194844.57
2024-09-11,0.063182,2718635121.114,11939,171768302.35
2024-09-12,0.062056,2714299567.414,11923,168439809.93
2024-09-13,0.062233,2710042017.131,11902,168652824.35
2024-09-16,0.063479,2701205151.336,11872,171469033.64
2024-09-17,0.0631,2693420232.355,11850,169953561.61
2024-09-18,0.063776,2675629568.266,11777,170642169.02
2024-09-19,0.063739,2693437735.062,11772,171677129.52
2024-09-20,0.064673,2712337729.803,11765,175414174.77
2024-09-23,0.06441,2711380807.258,11761,174639392.01
2024-09-24,0.064385,2701626716.29,11723,173945408.68
2024-09-25,0.064704,2685043287.01,11660,173733631.45
2024-09-26,0.064101,2680436293.1,11631,171818143.6
2024-09-27,0.063774,2672272190.324,11605,170422545.95
2024-09-30,0.063752,2665854260.772,11576,169954446.55
2024-10-01,0.06349,2657371749.959,11552,168717815.61
2024-10-02,0.062025,2650481794.374,11518,164396052.04
2024-10-03,0.060706,2650743398.948,11503,160914881.36
2024-10-04,0.060726,2652139288.503,11487,161052544.75
2024-10-07,0.061668,2645498734.42,11442,163142169.4
2024-10-08,0.061492,2638982976.097,11409,162275789.13
2024-10-09,0.061144,2638310731.509,11418,161317877.8
2024-10-10,0.06132,2655056395.767,11426,162808690.99
2024-10-11,0.060759,2646567049.297,11383,160804018.89
2024-10-14,0.060948,2640678671.424,11361,160943976.48
2024-10-15,0.060239,2635187020.79,11332,158741209.31
2024-10-16,0.060788,2622606827.084,11288,159422177.93
2024-10-17,0.061167,2627919316.677,11280,160740802.3
2024-10-18,0.061572,2645689448.084,11282,162900600.62
2024-10-21,0.061253,2659272049.588,11277,162888244.59
2024-10-22,0.060498,2654415254.64,11245,160586185.3
2024-10-23,0.061203,2650841533.192,11247,162238277.62
2024-10-24,0.060659,2653294787.482,11242,160947410.68
2024-10-25,0.061214,2651904885.032,11233,162333614.9
2024-10-28,0.061768,2654360783.98,11215,163954299.39
2024-10-30,0.062065,2653120925.596,11213,164665259.65
2024-10-31,0.062389,2649139878.545,11210,165278410.69
2024-11-01,0.06184,2659435569.658,11201,164460646.67
2024-11-04,0.062272,2661955445.606,11200,165766366.8
2024-11-05,0.061703,2664542418.716,11196,164410139.11
2024-11-06,0.061772,2670171153.799,11200,164941801.23
2024-11-07,0.062599,2666890954.446,11186,166945027.75
2024-11-08,0.063308,2664093677.38,11203,168658351.3
2024-11-11,0.064698,2669999215.338,11205,172743847.81
2024-11-12,0.064529,2664587572.506,11176,171944374.22
2024-11-13,0.064599,2659705162.516,11155,171815366.02
2024-11-14,0.065157,2672972606.61,11168,174163204.43
2024-11-15,0.065755,2668771468.007,11155,175483765.59
2024-11-18,0.06592,2667322274.757,11146,175830010.52
2024-11-19,0.06606,2667486580.997,11144,176212888.65
2024-11-20,0.065869,2695220837.796,11171,177530919.58
2024-11-21,0.064784,2718865854.569,11195,176139600.57
2024-11-22,0.065705,2730361590.903,11205,179397451.3
2024-11-25,0.066458,2724820802.795,11205,181085083.42
2024-11-26,0.067108,2776270663.627,11193,186311186.58
2024-11-27,0.066854,2772307250.414,11198,185338752.06
2024-11-28,0.066732,2772639432.458,11204,185024580.16
2024-11-29,0.066959,2724320832.416,11211,182416919.37
2024-12-02,0.067235,2717265898.272,11206,182695176.79
2024-12-03,0.067748,2714285288.503,11201,183886732.14
2024-12-04,0.067939,2711305926.764,11206,184203358.07
2024-12-05,0.068278,2718311433.706,11211,185600641.09
2024-12-06,0.068627,2717393768.081,11207,186487669.23
2024-12-09,0.069039,2721547721.186,11243,187892766.68
2024-12-10,0.069869,2723020530.769,11248,190254663.93
2024-12-11,0.069337,2724297988.092,11271,188894521.89
2024-12-12,0.069381,2731335751.368,11294,189503333.72
2024-12-13,0.069679,2735393372.441,11310,190598839.45
2024-12-16,0.06982,2737676657.757,11332,191143797.43
2024-12-17,0.06884,2756559881.605,11401,189760438.61
2024-12-18,0.069023,2812789718.217,11630,194147313.74
2024-12-19,0.068783,2845361161.321,11683,195713855.86
2024-12-20,0.068258,2847984313.284,11708,194398826.07
2024-12-23,0.068419,2861568109.128,11708,195785210.66
2024-12-24,0.068783,2852172113.076,11706,196182302.11
2024-12-25,0.069013,2848859457.407,11697,196609086.75
2024-12-26,0.069981,2845271224.199,11701,199113919.3
2024-12-27,0.070347,2842861691.078,11698,199985887.33
2024-12-30,0.070896,2846274187.565,11705,201790184.68
2024-12-31,0.071616,2845854064.659,11741,203808036.29
2025-01-02,0.071783,2861355389.099,11816,205396435.19
2025-01-03,0.072306,2887343807.555,11890,208773142.8
2025-01-06,0.072668,2951064778.497,12134,214447030.38
2025-01-07,0.072595,3049671318.251,12347,221390582.34
2025-01-08,0.072325,3206707529.588,12810,231925711.71
2025-01-09,0.072188,3356174261.987,13184,242274906.7
2025-01-10,0.072449,3424945227.106,13315,248135263.99
2025-01-13,0.072439,3518615731.647,13579,254884549.51
2025-01-14,0.072149,3629780596.318,13823,261883823.64
2025-01-15,0.072095,3772078670.874,14225,271946668.15
2025-01-16,0.072184,3880574314.622,14463,280114291.99
2025-01-17,0.072657,3962347019.713,14750,287891857.47
2025-01-20,0.072969,4074925704.027,15042,297342445.35
2025-01-21,0.073097,4174147077.668,15224,305115970.13
2025-01-22,0.07278,4291652164.781,15521,312346821.02
2025-01-23,0.073222,4387084761.626,15736,321230772.11
2025-01-24,0.073321,4460943710.216,15940,327079567.12
2025-01-27,0.073635,4529928656.578,16109,333562127.87
2025-01-28,0.073206,4611018112.631,16284,337555358.96
2025-01-29,0.073504,4691962276.815,16550,344876870.29
2025-01-30,0.073302,4763669573.634,16677,349184568.18
2025-01-31,0.073434,4791736123.872,16761,351875578.49
2025-02-03,0.07341,4854564449.932,16898,356375396.03
2025-02-04,0.072958,4892868103.176,17015,356974974.48
2025-02-05,0.073143,4955897846.613,17238,362489894.89
