date,fiyat,pay,hesap,buyukluk
2024-09-02,0.053647,333049408783.36,1810190,17867101299.07
2024-09-03,0.053917,332877748140.312,1809959,17947606600.76
2024-09-04,0.053931,332708643337.323,1809411,17943326014.74
2024-09-05,0.053861,332773495291.642,1809713,17923483555.97
2024-09-06,0.053798,332603069149.856,1808710,17893366587.18
2024-09-09,0.053818,332830061442.569,1809551,17912394709.88
2024-09-10,0.053827,333055762109.089,1812961,17927392723.75
2024-09-11,0.0537,332817328514.855,1813402,17872400401.29
2024-09-12,0.053413,333037679737.956,1816319,17788628219.51
2024-09-13,0.053382,332889146606.219,1815318,17770213138.39
2024-09-16,0.053523,332864316714.704,1815537,17815830693.3
2024-09-17,0.053166,332785945376.429,1815779,17692896553.17
2024-09-18,0.053376,332621645422.67,1815284,17753970958.85
2024-09-19,0.053471,334476202214.258,1818284,17884694594.81
2024-09-20,0.053646,337381431739.188,1818526,18099151507.2
2024-09-23,0.053665,338576314253.596,1823673,18169577619.75
2024-09-24,0.053698,340287039551.453,1833731,18272687291.31
2024-09-25,0.053808,340719980617.342,1837620,18333587274.05
2024-09-26,0.053733,341006408000.926,1840970,18323387555.9
2024-09-27,0.05363,340737845108.256,1839755,18273773078.17
2024-09-30,0.053726,340607744048.814,1840018,18299495810.55
2024-10-01,0.053814,340406235294.047,1839765,18318757254.12
2024-10-02,0.053541,340087296022.278,1838987,18208751065.59
2024-10-03,0.053056,340183454470.627,1840183,18048903604.99
2024-10-04,0.05303,340155035334.056,1839267,18038464809.27
2024-10-07,0.053446,339908503805.544,1838959,18166716176.96
2024-10-08,0.053398,339852635049.213,1840223,18147552902.66
2024-10-09,0.053423,339918270387.208,1840245,18159542486.72
2024-10-10,0.053441,340393017543.103,1843276,18190881728.87
2024-10-11,0.053433,339955332726.488,1840935,18164726215.46
2024-10-14,0.053528,339952105819.653,1842048,18196983070.51
2024-10-15,0.05342,339846976035.004,1842740,18154530112.53
2024-10-16,0.053584,339712329419.184,1842214,18203233180.43
2024-10-17,0.053725,339866855932.581,1843298,18259331112.1
2024-10-18,0.053882,342112513586.038,1842234,18433822926.4
2024-10-21,0.053888,343804900022.403,1841784,18527104085.23
2024-10-22,0.053704,344277900744.582,1842990,18489003542.79
2024-10-23,0.053839,344450175357.299,1844122,18544741895.99
2024-10-24,0.053734,345368163366.684,1851150,18557975101.54
2024-10-25,0.053869,344967320352.764,1849571,18583015351.22
2024-10-28,0.054023,344747640219.777,1849289,18624307357.77
2024-10-30,0.054146,344529463369.338,1849192,18654869314.67
2024-10-31,0.054287,344303144196.832,1848495,18691267240.4
2024-11-01,0.054214,343758929972.901,1848698,18636579586.0
2024-11-04,0.054566,343746724505.729,1848981,18756731367.73
2024-11-05,0.054229,343681683380.391,1848781,18637438893.35
2024-11-06,0.054169,343573245309.238,1848116,18611166101.25
2024-11-07,0.054393,343440389208.21,1848457,18680746000.73
2024-11-08,0.054509,343433472922.249,1847334,18720114214.5
2024-11-11,0.054875,343650989542.205,1847792,18857969475.91
2024-11-12,0.054922,343508033694.024,1849133,18866305258.44
2024-11-13,0.054912,343495812749.162,1849337,18862129078.87
2024-11-14,0.054932,343518019753.705,1850189,18869982901.38
2024-11-15,0.055058,343285313619.412,1849040,18900617191.82
2024-11-18,0.055127,343216086407.122,1849383,18920404802.53
2024-11-19,0.055211,343285626601.455,1849268,18953144521.85
2024-11-20,0.055348,345297540768.462,1848404,19111500695.43
2024-11-21,0.055061,347933782932.618,1854024,19157527790.37
2024-11-22,0.055371,348479447867.169,1852921,19295640221.66
2024-11-25,0.055713,348413295077.713,1852921,19411138222.45
2024-11-26,0.055898,348327735531.099,1852909,19470708193.22
2024-11-27,0.055863,347988112187.204,1852528,19439796977.91
2024-11-28,0.055826,347588174976.597,1853118,19404554608.79
2024-11-29,0.055832,347089813548.206,1851864,19378593613.55
2024-12-02,0.055967,346766025075.982,1851320,19407517429.34
2024-12-03,0.056093,346697893293.904,1850970,19447402683.91
2024-12-04,0.056292,346565972304.829,1850574,19508955281.62
2024-12-05,0.056411,346751913289.78,1851151,19560617136.39
2024-12-06,0.056532,346200719067.058,1849607,19571301790.74
2024-12-09,0.056757,346313154200.757,1849820,19655615646.19
2024-12-10,0.057111,346449771357.902,1850311,19786234482.42
2024-12-11,0.056934,346208472349.392,1857279,19710930342.35
2024-12-12,0.05694,346474321832.197,1859176,19728383470.76
2024-12-13,0.057004,346196902013.404,1858009,19734711680.93
2024-12-16,0.057133,346044094199.419,1858032,19770682803.98
2024-12-17,0.057002,346095389346.788,1858155,19727965246.13
2024-12-18,0.057065,345912227424.247,1857267,19739468771.45
2024-12-19,0.056937,346921894369.557,1857326,19752567247.58
2024-12-20,0.056815,349533732248.424,1856156,19858847422.89
2024-12-23,0.056929,350719379366.761,1856156,19966000693.13
2024-12-24,0.056922,351233533235.774,1862309,19992798394.03
2024-12-25,0.056975,351446565188.268,1863581,20023763123.01
2024-12-26,0.057268,351454609511.515,1866426,20127209572.32
2024-12-27,0.057369,351165169956.226,1865080,20145994614.98
