date,fiyat,pay,hesap,buyukluk
2024-09-02,0.108091,2936535532.428,10593,317411660.62
2024-09-03,0.110114,2936293055.151,10573,323326225.54
2024-09-04,0.10965,2952429445.409,10567,323734941.39
2024-09-05,0.109873,2965175418.33,10576,325792809.26
2024-09-06,0.109413,2969176030.092,10572,324865990.43
2024-09-09,0.108328,2968130315.571,10563,321530684.12
2024-09-10,0.107946,2969560952.499,10551,320552401.47
2024-09-11,0.107678,2966525415.299,10566,319430135.22
2024-09-12,0.1066,2968708685.887,10563,316465223.8
2024-09-13,0.107618,2964957807.668,10563,319082101.24
2024-09-16,0.108523,2957487858.193,10498,320954325.26
2024-09-17,0.107709,2952004613.32,10477,317956135.76
2024-09-18,0.109146,2949251501.926,10477,321900152.02
2024-09-19,0.10964,2952180853.337,10442,323676353.47
2024-09-20,0.110917,2946885739.819,10417,326860018.42
2024-09-23,0.110282,2942290723.256,10395,324482481.25
2024-09-24,0.110812,2940394398.489,10388,325830379.05
2024-09-25,0.112158,2942389699.647,10407,330012623.22
2024-09-26,0.111093,2947212201.783,10392,327414718.16
2024-09-27,0.110808,2940505025.064,10367,325830265.2
2024-09-30,0.110657,2936773351.015,10356,324973116.91
2024-10-01,0.109944,2933758727.944,10329,322550164.99
2024-10-02,0.107852,2939387765.874,10318,317019711.22
2024-10-03,0.105248,2963345176.477,10319,311885738.41
2024-10-04,0.104151,2970592369.23,10309,309390501.89
2024-10-07,0.105914,2968165816.932,10279,314371476.26
2024-10-08,0.105061,2967418005.365,10253,311759396.33
2024-10-09,0.10537,2964316620.124,10253,312350417.08
2024-10-10,0.106352,2955662682.35,10207,314340703.2
2024-10-11,0.105308,2956342164.334,10188,311326012.87
2024-10-14,0.105001,2943057582.157,10165,309023427.41
2024-10-15,0.104155,2935962582.314,10135,305795983.63
2024-10-16,0.10558,2927843452.118,10113,309123028.42
2024-10-17,0.106253,2927151825.04,10091,311018294.03
2024-10-18,0.10649,2920984119.822,10065,311055570.83
2024-10-21,0.105017,2916045203.553,10065,306233105.55
2024-10-22,0.104046,2919123006.972,10048,303723519.55
2024-10-23,0.105474,2913940505.298,10013,307345705.23
2024-10-24,0.104914,2898554928.052,9994,304099367.98
2024-10-25,0.105849,2884583418.409,9973,305329082.47
2024-10-28,0.106173,2880077274.463,9960,305785032.21
2024-10-30,0.106449,2870063933.14,9933,305516470.93
2024-10-31,0.106871,2870107619.189,9919,306732250.07
2024-11-01,0.105829,2870395039.149,9905,303771123.77
2024-11-04,0.106178,2875293108.723,9901,305294259.81
2024-11-05,0.104807,2885170322.348,9885,302386153.5
2024-11-06,0.104436,2890542127.256,9871,301876499.33
2024-11-07,0.106138,2889507822.036,9849,306687741.98
2024-11-08,0.106855,2887103650.772,9836,308501864.41
2024-11-11,0.108877,2883202840.09,9817,313913557.62
2024-11-12,0.109774,2880850472.413,9817,316241635.14
2024-11-13,0.110055,2883660149.742,9823,317362266.88
2024-11-14,0.110767,2872784744.802,9823,318209201.66
2024-11-15,0.11158,2862413632.999,9803,319389065.74
2024-11-18,0.111001,2859363723.419,9779,317391832.9
2024-11-19,0.111344,2859256201.328,9778,318360409.21
2024-11-20,0.110416,2862553180.099,9784,316072705.01
2024-11-21,0.109035,2856906644.081,9770,311501927.99
2024-11-22,0.111883,2852482637.138,9760,319145189.48
2024-11-25,0.112937,2849480303.087,9747,321812520.27
2024-11-26,0.1133,2843391994.422,9735,322157133.43
2024-11-27,0.113018,2845352104.063,9729,321574590.47
2024-11-28,0.11327,2840034176.256,9719,321689743.81
2024-11-29,0.113233,2835330247.938,9718,321051783.99
2024-12-02,0.113494,2834877376.621,9707,321741873.34
2024-12-03,0.113706,2837844351.249,9700,322679276.78
2024-12-04,0.115212,2852886816.709,9709,328686084.46
2024-12-05,0.115065,2857333497.193,9702,328780372.1
2024-12-06,0.115679,2860217951.54,9701,330867209.24
2024-12-09,0.116623,2850873623.711,9700,332477453.22
2024-12-10,0.117772,2858803538.132,9697,336686914.93
2024-12-11,0.116639,2859350988.527,9697,333511164.01
2024-12-12,0.11634,2861998607.392,9704,332964159.65
2024-12-13,0.116402,2858562362.447,9692,332742074.83
2024-12-16,0.117076,2845729730.786,9658,333167886.8
2024-12-17,0.116151,2843305240.055,9649,330253149.74
2024-12-18,0.117329,2848848804.082,9641,334251986.25
2024-12-19,0.116664,2845686445.625,9641,331989153.53
2024-12-20,0.115861,2844813148.287,9628,329601534.14
