date,value
2023-10-01,1094.95742
2023-11-01,1134.14758
2023-12-01,1149.36563
2024-01-01,1313.25995
2024-02-01,1496.98034
2024-03-01,1642.28437
2024-04-01,1730.74998
2024-05-01,1793.43832
2024-06-01,1899.75999
2024-07-01,2029.86547
2024-08-01,2186.54254
2024-09-01,2372.62293
2024-10-01,2452.74306
2024-11-01,2602.89903
2024-12-01,2684.74812
2025-01-01,2915.54325
2025-02-01,2943.80106
2025-03-01,2737.15800
2025-04-01,2862.30719
2025-05-01,3001.54921
2025-06-01,3139.69552
2025-07-01,3319.17216
2025-08-01,3461.88990
2025-09-01,3613.13669
2025-10-01,3736.00950
2025-11-01,3807.61688
2025-12-01,3869.19621
2026-01-01,4158.63449
2026-02-01,4163.62301
2026-03-01,3932.01321
2026-04-01,4219.39936
2026-05-01,4199.54285
2026-06-01,4434.45633
2026-07-01,4605.95419
2026-08-01,4879.03549
2026-09-01,4773.14001
