date,value
2023-10-01,1220.00000
2023-11-01,1248.00000
2023-12-01,1267.00000
2024-01-01,1295.00000
2024-02-01,1314.00000
2024-03-01,1336.00000
2024-04-01,1371.00000
2024-05-01,1392.00000
2024-06-01,1406.00000
2024-07-01,1433.00000
2024-08-01,1463.00000
2024-09-01,1484.00000
2024-10-01,1503.00000
2024-11-01,1509.00000
2024-12-01,1530.00000
2025-01-01,1569.00000
2025-02-01,1608.00000
2025-03-01,1634.00000
2025-04-01,1664.00000
2025-05-01,1701.00000
2025-06-01,1735.00000
2025-07-01,1783.00000
2025-08-01,1819.00000
2025-09-01,1853.00000
2025-10-01,1885.00000
2025-11-01,1923.00000
2025-12-01,1955.00000
2026-01-01,1966.00000
2026-02-01,1979.00000
2026-03-01,1982.00000
2026-04-01,1992.00000
2026-05-01,2000.00000
2026-06-01,2019.00000
2026-07-01,2029.00000
2026-08-01,2038.00000
2026-09-01,2044.00000
