date,fiyat,pay,hesap,buyukluk
2024-09-02,737.096686,12148630.0,60700,8954714910.71
2024-09-03,743.830648,12137877.0,60525,9028524910.17
2024-09-04,736.649865,12163353.0,60644,8960132347.03
2024-09-05,718.531466,12110449.0,60549,8701738672.16
2024-09-06,717.550051,12108870.0,60127,8688720288.8
2024-09-09,715.792402,12100050.0,59974,8661123852.15
2024-09-10,708.695138,12092954.0,59869,8570217706.44
2024-09-11,711.765933,12095618.0,59760,8609248835.01
2024-09-12,713.787771,12068297.0,59522,8614202812.8
2024-09-13,722.639923,12031145.0,59332,8694185698.16
2024-09-16,724.905506,11999895.0,59193,8698789953.77
2024-09-17,725.353954,11993266.0,59115,8699362918.24
2024-09-18,733.847441,11948898.0,59073,8768668214.67
2024-09-19,733.173278,11936970.0,58812,8751867420.13
2024-09-20,744.123028,11915736.0,58660,8866773547.93
2024-09-23,742.729456,11904321.0,58588,8841689855.65
2024-09-24,747.848917,11898736.0,58557,8898456836.57
2024-09-25,755.787199,11870553.0,58456,8971612001.39
2024-09-26,752.215197,11861181.0,58269,8922160603.17
2024-09-27,777.020719,11847930.0,58105,9206087086.51
2024-09-30,777.23413,11717635.0,58017,9107345848.81
2024-10-01,774.563607,11710986.0,57975,9070903559.23
2024-10-02,765.967054,11691339.0,57965,8955180489.01
2024-10-03,771.755586,11674953.0,57811,9010210195.25
2024-10-04,767.430752,11663381.0,57676,8950837247.99
2024-10-07,780.351487,11656748.0,57524,9096360633.47
2024-10-08,780.598422,11646468.0,57436,9091214544.88
2024-10-09,773.784985,11634098.0,57426,9002290341.71
2024-10-10,776.318561,11614064.0,57286,9016213455.6
2024-10-11,778.211439,11608185.0,57183,9033622351.24
2024-10-14,779.864868,11605755.0,57183,9050920596.81
2024-10-15,792.628765,11582093.0,57080,9180300074.25
2024-10-16,791.350179,11589186.0,57251,9171104412.92
2024-10-17,770.062204,11565133.0,57293,8905871807.64
2024-10-18,778.295177,11561746.0,56873,8998451149.05
2024-10-21,776.772162,11558826.0,56815,8978574261.22
2024-10-22,775.200976,11554402.0,56750,8956983704.21
2024-10-23,772.613527,11544192.0,56687,8919198898.14
2024-10-24,770.9595,11511083.0,56499,8874578793.18
2024-10-25,767.538681,11496487.0,56351,8823998471.34
2024-10-28,775.901825,11488842.0,56351,8914213471.44
2024-10-30,773.473666,11474290.0,56105,8875061147.07
2024-10-31,775.498724,11465270.0,56072,8891302254.47
2024-11-01,759.464678,11432816.0,56049,8682819927.58
2024-11-04,755.7677,11425158.0,55873,8634765380.78
2024-11-05,757.513273,11413245.0,55733,8645684579.51
2024-11-06,761.672395,11389225.0,55621,8674858285.05
2024-11-07,776.63447,11368930.0,55463,8829502920.54
2024-11-08,792.133578,11522449.0,55362,9127318757.54
2024-11-11,801.124378,11522836.0,55362,9231224817.94
2024-11-12,802.789557,11503498.0,55296,9234888064.11
2024-11-13,798.474263,11513388.0,55394,9193143993.22
2024-11-14,798.714363,11440088.0,55333,9137362604.08
2024-11-15,796.059713,11431746.0,54929,9100352434.29
2024-11-18,780.16027,11427252.0,54850,8915088001.4
2024-11-19,776.74408,11410194.0,54823,8862800642.31
2024-11-20,777.011867,11395103.0,54723,8854130262.0
2024-11-21,786.734203,11400042.0,54468,8968802962.17
2024-11-22,792.94216,11385645.0,54293,9028157942.82
2024-11-25,789.784253,11378324.0,54184,8986421117.31
2024-11-26,800.265072,11368217.0,54140,9097586997.93
2024-11-27,801.56908,11341485.0,54078,9090983699.73
2024-11-28,793.523432,11304230.0,54078,8970171387.72
2024-11-29,787.544034,11156474.0,53897,8786214538.45
2024-12-02,789.404397,11159951.0,53795,8809714389.76
2024-12-03,801.261561,11148022.0,53722,8932481514.93
2024-12-04,805.35275,11123932.0,53576,8958689229.75
2024-12-05,821.807705,11112417.0,53351,9132269908.17
2024-12-06,829.620466,11092491.0,53263,9202557547.85
2024-12-09,828.070351,11095176.0,53230,9187586283.31
2024-12-10,835.843522,11047195.0,53250,9233726373.7
2024-12-11,828.987483,11032855.0,53244,9146098700.37
2024-12-12,828.468479,11025803.0,53083,9134530238.86
2024-12-13,832.926124,10990403.0,53014,9154193769.66
2024-12-16,840.498301,10985391.0,52931,9233202476.36
2024-12-17,844.571407,10979388.0,52939,9272877172.6
2024-12-18,851.841999,10947709.0,52952,9325718315.1
2024-12-19,849.514267,10944746.0,52694,9297717870.26
