date,fiyat,pay,hesap,buyukluk
2024-09-02,6.143875,90693505.0,6550,557209600.31
2024-09-03,6.313414,90419720.0,6541,570857154.64
2024-09-04,6.257415,90251302.0,6500,564739829.67
2024-09-05,6.241599,90125026.0,6472,562524260.85
2024-09-06,6.205191,90055836.0,6458,558813693.1
2024-09-09,6.098728,89940057.0,6433,548519963.16
2024-09-10,6.040983,89888997.0,6414,543017910.65
2024-09-11,5.995708,89701361.0,6369,537823162.09
2024-09-12,5.862941,89552204.0,6332,525039323.36
2024-09-13,5.927506,89043393.0,6299,527805226.8
2024-09-16,6.026408,88826315.0,6285,535303639.08
2024-09-17,5.963438,88693067.0,6258,528915596.4
2024-09-18,6.086036,88452161.0,6236,538323029.19
2024-09-19,6.108991,88283296.0,6213,539321889.81
2024-09-20,6.236991,88111593.0,6198,549551201.18
2024-09-23,6.191076,88127513.0,6175,545604165.87
2024-09-24,6.194232,88126255.0,6163,545874437.24
2024-09-25,6.284561,88078408.0,6128,553534100.11
2024-09-26,6.202249,87922924.0,6108,545319909.43
2024-09-27,6.163352,87882552.0,6086,541651100.07
2024-09-30,6.163225,87844922.0,6069,541408022.21
2024-10-01,6.113915,87789646.0,6053,536738409.34
2024-10-02,5.945049,87645612.0,6011,521057469.03
2024-10-03,5.723271,87462113.0,5978,500569368.66
2024-10-04,5.638797,87904941.0,5948,495678107.74
2024-10-07,5.768889,87877128.0,5928,506953392.19
2024-10-08,5.714509,87888480.0,5911,502239516.8
2024-10-09,5.725647,87813043.0,5893,502786512.92
2024-10-10,5.788645,87722728.0,5874,507795714.8
2024-10-11,5.681515,87456022.0,5864,496882710.18
2024-10-14,5.62768,87428928.0,5848,492022065.04
2024-10-15,5.525678,87191517.0,5833,481792264.46
2024-10-16,5.620534,86967214.0,5804,488802185.7
2024-10-17,5.686379,86587666.0,5761,492370248.57
2024-10-18,5.715232,86317111.0,5748,493322286.28
2024-10-21,5.578781,86275845.0,5735,481314013.57
2024-10-22,5.469794,86418488.0,5720,472691311.7
2024-10-23,5.580534,86290071.0,5692,481544638.23
2024-10-24,5.497186,86230583.0,5674,474025556.46
2024-10-25,5.599893,85941230.0,5654,481261708.63
2024-10-28,5.611615,85879633.0,5654,481923435.2
2024-10-30,5.636917,85858955.0,5627,483979834.08
2024-10-31,5.663032,85825834.0,5620,486034414.67
2024-11-01,5.562181,85748703.0,5596,476949804.14
2024-11-04,5.563712,85710876.0,5577,476870604.59
2024-11-05,5.420384,85648545.0,5567,464247995.61
2024-11-06,5.402893,85573389.0,5540,462343898.73
2024-11-07,5.549696,85491877.0,5519,474453904.24
2024-11-08,5.59026,85439216.0,5500,477627417.49
2024-11-11,5.754435,85384114.0,5490,491337305.05
2024-11-12,5.80939,85201073.0,5484,494966285.38
2024-11-13,5.781844,85244907.0,5461,492872787.67
2024-11-14,5.837424,85150913.0,5445,497061955.23
2024-11-15,5.910884,85123618.0,5429,503155832.16
2024-11-18,5.88844,85223887.0,5424,501835757.18
2024-11-19,5.89359,85325211.0,5418,502871838.79
2024-11-20,5.777584,85306574.0,5408,492865872.3
2024-11-21,5.637035,85298551.0,5389,480830882.14
2024-11-22,5.866565,85249505.0,5376,500121738.77
2024-11-25,5.989715,85171004.0,5365,510150027.36
2024-11-26,6.057759,87297986.0,5368,528830169.92
2024-11-27,6.036623,87286450.0,5351,526915383.72
2024-11-28,6.040456,87168402.0,5347,526536866.54
2024-11-29,6.039233,87056410.0,5338,525753936.75
2024-12-02,6.032036,87028642.0,5322,524959903.95
2024-12-03,6.058103,87034517.0,5317,527264110.39
2024-12-04,6.15452,87031536.0,5287,535637340.73
2024-12-05,6.194439,86984085.0,5279,538817601.35
2024-12-06,6.22379,87016664.0,5259,541573433.15
2024-12-09,6.316165,86920849.0,5247,549006382.64
2024-12-10,6.404196,89001011.0,5246,569979944.19
2024-12-11,6.319388,89114305.0,5234,563147878.07
2024-12-12,6.30214,88941990.0,5223,560524896.71
2024-12-13,6.297094,88962685.0,5207,560206350.54
2024-12-16,6.326287,88968688.0,5189,562841470.02
2024-12-17,6.246069,88884806.0,5183,555180655.9
2024-12-18,6.254593,88825281.0,5159,555566019.18
2024-12-19,6.201973,88773228.0,5146,550569168.36
2024-12-20,6.113267,88638466.0,5123,541870566.51
2024-12-23,6.096024,88597026.0,5111,540089592.27
2024-12-24,6.045907,88558125.0,5100,535414165.26
2024-12-25,6.075759,88381235.0,5072,536983047.41
2024-12-26,6.233067,88330636.0,5050,550570808.19
2024-12-27,6.257668,88326429.0,5045,552717487.14
2024-12-30,6.294111,88314346.0,5044,555860271.0
2024-12-31,6.211586,88329759.0,5032,548667869.29
2025-01-02,6.189791,88284545.0,5011,546462841.96
2025-01-03,6.270744,88175282.0,5002,552924658.67
2025-01-06,6.332782,88147779.0,4993,558220666.55
2025-01-07,6.334233,88103527.0,4990,558068250.87
2025-01-08,6.264109,88089958.0,4966,551805083.65
2025-01-09,6.224381,88081521.0,4948,548252902.58
2025-01-10,6.281003,87992696.0,4936,552682397.5
2025-01-13,6.220186,87955796.0,4919,547101431.18
2025-01-14,6.11583,87852079.0,4905,537288416.96
2025-01-15,6.100401,87655708.0,4867,534734984.92
2025-01-16,6.114041,87483632.0,4849,534878511.64
2025-01-17,6.192691,87420456.0,4821,541367850.61
2025-01-20,6.274736,87414494.0,4810,548502895.87
2025-01-21,6.311002,87373592.0,4798,551414872.29
