date,fiyat,pay,hesap,buyukluk
2024-09-02,2.562544,51594418.0,6023,132212986.66
2024-09-03,2.587764,51562914.0,6020,133432650.4
2024-09-04,2.552542,51582654.0,6041,131666878.45
2024-09-05,2.491579,51515815.0,6034,128355735.07
2024-09-06,2.497555,51462790.0,5990,128531164.13
2024-09-09,2.477251,51190158.0,5980,126810873.64
2024-09-10,2.444872,51188896.0,5979,125150300.2
2024-09-11,2.435196,51001231.0,5976,124197991.41
2024-09-12,2.428784,50945908.0,5943,123736591.62
2024-09-13,2.464842,50882409.0,5933,125417106.16
2024-09-16,2.492193,50834734.0,5929,126689982.17
2024-09-17,2.493908,50819245.0,5930,126738506.79
2024-09-18,2.527769,50764988.0,5931,128322186.09
2024-09-19,2.539143,50414505.0,5917,128009612.72
2024-09-20,2.589623,50327871.0,5912,130330231.8
2024-09-23,2.58154,52138522.0,5904,134597704.04
2024-09-24,2.587998,52108302.0,5910,134856181.69
2024-09-25,2.621112,52115158.0,5910,136599687.56
2024-09-26,2.608465,52160562.0,5899,136058974.99
2024-09-27,2.653438,52020561.0,5890,138033337.65
2024-09-30,2.662196,51636078.0,5882,137465383.84
2024-10-01,2.64704,51455803.0,5887,136205581.97
2024-10-02,2.618181,51278038.0,5898,134255159.67
2024-10-03,2.593456,51037907.0,5884,132364551.74
2024-10-04,2.573124,50952265.0,5876,131106515.87
2024-10-07,2.609426,50915084.0,5849,132859132.15
2024-10-08,2.618696,50918603.0,5844,133340352.08
2024-10-09,2.60396,50908944.0,5841,132564845.28
2024-10-10,2.619554,50925289.0,5819,133401540.24
2024-10-11,2.609258,50712846.0,5813,132322899.42
2024-10-14,2.605498,50715275.0,5813,132138562.82
2024-10-15,2.615947,50688915.0,5802,132599533.88
2024-10-16,2.616397,50699899.0,5804,132651078.44
2024-10-17,2.600382,50550865.0,5800,131451554.05
2024-10-18,2.61399,50493488.0,5747,131989475.83
2024-10-21,2.612769,50402892.0,5738,131691135.35
2024-10-22,2.593442,50392392.0,5729,130689753.57
2024-10-23,2.593882,50351277.0,5724,130605294.81
2024-10-24,2.596679,50328103.0,5705,130685931.82
2024-10-25,2.602189,50231467.0,5703,130711773.76
2024-10-28,2.621863,50246161.0,5703,131738559.17
2024-10-30,2.624584,50238826.0,5673,131855998.43
2024-10-31,2.627967,50196440.0,5678,131914604.07
2024-11-01,2.582361,50178007.0,5663,129577736.19
2024-11-04,2.56354,50029780.0,5657,128253364.5
2024-11-05,2.561072,49985218.0,5653,128015750.81
2024-11-06,2.561512,49910004.0,5640,127845081.53
2024-11-07,2.626012,49772739.0,5619,130703790.43
2024-11-08,2.657359,49717136.0,5604,132116262.81
2024-11-11,2.674715,49747607.0,5604,133060688.75
2024-11-12,2.719079,49697122.0,5594,135130388.31
2024-11-13,2.710362,49714522.0,5617,134744357.92
2024-11-14,2.71035,49481282.0,5617,134111588.02
2024-11-15,2.704135,49487096.0,5580,133819790.15
2024-11-18,2.673641,49475306.0,5569,132279205.42
2024-11-19,2.692366,49442364.0,5572,133116952.19
2024-11-20,2.681655,49414902.0,5565,132513716.9
2024-11-21,2.690535,49273483.0,5551,132572042.21
2024-11-22,2.710227,38071002.0,5545,103181039.91
2024-11-25,2.728591,37950592.0,5539,103551640.81
2024-11-26,2.782584,48946155.0,5543,136196809.11
2024-11-27,2.774399,48493818.0,5543,134541202.84
2024-11-28,2.762827,48627607.0,5543,134349682.04
2024-11-29,2.753031,48610298.0,5526,133825664.59
2024-12-02,2.758237,48634375.0,5523,134145122.48
2024-12-03,2.776434,48585254.0,5528,134893762.57
2024-12-04,2.78174,48558524.0,5518,135077196.31
2024-12-05,2.790426,48561210.0,5502,135506466.05
2024-12-06,2.793231,48516455.0,5507,135517670.91
2024-12-09,2.800912,48498099.0,5505,135838904.69
2024-12-10,2.827252,48446573.0,5512,136970656.06
2024-12-11,2.805686,48289327.0,5517,135484704.05
2024-12-12,2.80583,48293381.0,5508,135503022.11
2024-12-13,2.810319,48279583.0,5501,135681011.83
2024-12-16,2.803906,48197042.0,5493,135139992.39
2024-12-17,2.794001,48189219.0,5497,134640722.26
2024-12-18,2.80642,48142370.0,5497,135107723.67
2024-12-19,2.797868,48077519.0,5481,134514535.79
2024-12-20,2.737971,48089551.0,5472,131667779.34
2024-12-23,2.690475,48188658.0,5461,129650361.58
2024-12-24,2.729999,48190095.0,5456,131558932.13
2024-12-25,2.761947,48123028.0,5456,132913247.61
2024-12-26,2.797782,48114857.0,5449,134614880.26
2024-12-27,2.790352,48130642.0,5439,134301424.46
2024-12-30,2.790008,48042125.0,5439,134037923.96
2024-12-31,2.741926,48036827.0,5433,131713442.59
2025-01-02,2.748049,48059534.0,5437,132069952.11
2025-01-03,2.743555,48129960.0,5438,132047171.75
2025-01-06,2.745408,48115684.0,5431,132097195.9
2025-01-07,2.819658,48060531.0,5417,135514277.85
2025-01-08,2.812617,47977097.0,5416,134941187.83
2025-01-09,2.768711,48007951.0,5395,132920165.64
2025-01-10,2.766238,48185332.0,5387,133292105.28
2025-01-13,2.737027,48120198.0,5380,131706294.94
2025-01-14,2.697363,48075674.0,5371,129677532.18
2025-01-15,2.757713,46133626.0,5360,127223280.53
2025-01-16,2.783129,45984170.0,5347,127979896.62
2025-01-17,2.798028,46089229.0,5340,128958933.32
2025-01-20,2.822392,46137124.0,5340,130217057.05
2025-01-21,2.830924,46116859.0,5331,130553344.07
2025-01-22,2.851417,46161399.0,5347,131625380.98
2025-01-23,2.870557,45866438.0,5342,131662211.54
2025-01-24,2.8598,45905561.0,5315,131280703.24
2025-01-27,2.881381,45753287.0,5313,131832669.17
2025-01-28,2.810518,45710156.0,5317,128469202.78
2025-01-29,2.801976,45662825.0,5318,127946159.1
2025-01-30,2.812543,45495913.0,5318,127959233.79
2025-01-31,2.820682,45469902.0,5290,128256111.88
2025-02-03,2.821876,45301026.0,5281,127833866.14
2025-02-04,2.737034,45291333.0,5278,123963923.59
2025-02-05,2.785007,45255247.0,5282,126036165.01
2025-02-06,2.782265,45296564.0,5286,126027030.95
2025-02-07,2.805489,45282140.0,5272,127038530.24
2025-02-10,2.810065,44527784.0,5264,125125983.43
2025-02-11,2.788001,44494730.0,5253,124051331.19
2025-02-12,2.771492,44474985.0,5255,123262048.9
2025-02-13,2.747692,44420746.0,5246,122054519.96
2025-02-14,2.798889,44419653.0,5233,124325695.04
2025-02-17,2.830448,44410226.0,5219,125700816.5
2025-02-18,2.825648,44343953.0,5219,125300407.1
2025-02-19,2.841453,44368564.0,5210,126071187.32
2025-02-20,2.854882,44287498.0,5221,126435592.6
2025-02-21,2.882364,44280217.0,5212,127631714.1
2025-02-24,2.881453,44066097.0,5189,126974405.44
2025-02-25,2.816644,44043139.0,5183,124053825.93
2025-02-26,2.785566,44029658.0,5181,122647530.44
2025-02-27,2.778493,44139686.0,5175,122641789.62
2025-02-28,2.779394,44125979.0,5161,122643482.9
2025-03-03,2.708892,44123437.0,5147,119525620.57
2025-03-04,2.77811,44104023.0,5140,122525814.05
2025-03-05,2.678533,44099204.0,5134,118121166.37
2025-03-06,2.717957,44064308.0,5129,119764877.0
2025-03-07,2.734505,43975332.0,5113,120250771.99
2025-03-10,2.71452,43936127.0,5098,119265494.19
2025-03-11,2.686407,43865283.0,5087,117839998.6
2025-03-12,2.678413,43872190.0,5088,117507853.9
2025-03-13,2.714365,43775715.0,5089,118823285.75
2025-03-14,2.70173,44077688.0,5075,119086000.5
2025-03-17,2.714824,44031579.0,5055,119538007.66
2025-03-18,2.746067,44231253.0,5051,121461968.62
2025-03-19,2.734418,44359527.0,5047,121297471.87
2025-03-20,2.763875,44079824.0,5040,121831120.92
2025-03-21,2.758855,43902274.0,5024,121120025.08
2025-03-24,2.693502,44020932.0,5012,118570449.23
2025-03-25,2.765629,43951917.0,5002,121554700.3
2025-03-26,2.802656,43893482.0,4986,123018346.55
2025-03-27,2.78442,43576178.0,4982,121334380.41
2025-03-28,2.725696,43575507.0,4971,118773604.19
2025-04-02,2.700641,43569301.0,4965,117665046.49
2025-04-03,2.664906,43175778.0,4958,115059382.35
2025-04-04,2.6236,43381914.0,4961,113816772.34
2025-04-07,2.489118,43323860.0,4954,107838190.96
2025-04-08,2.428388,43239295.0,4931,105001794.29
2025-04-09,2.511406,43059115.0,4917,108138917.55
2025-04-10,2.423393,43097462.0,4919,104442100.65
2025-04-11,2.545595,43135081.0,4907,109804442.57
2025-04-14,2.524995,43145155.0,4897,108941317.0
2025-04-15,2.585162,43161543.0,4895,111579595.05
2025-04-16,2.579335,43038843.0,4890,111011581.82
2025-04-17,2.533209,42984347.0,4883,108888352.01
2025-04-18,2.537974,42993522.0,4877,109116449.24
2025-04-21,2.540409,42352067.0,4877,107591556.28
2025-04-22,2.525616,42357020.0,4865,106977570.61
2025-04-24,2.538337,42292783.0,4858,107353335.2
2025-04-25,2.66364,42041038.0,4847,111982198.41
2025-04-28,2.699291,41921005.0,4816,113157011.73
2025-04-29,2.728336,41901145.0,4803,114320422.87
2025-04-30,2.716486,41885830.0,4788,113782276.24
2025-05-02,2.667948,41831017.0,4782,111602986.82
2025-05-05,2.775065,41816802.0,4776,116044356.63
2025-05-06,2.781689,41551373.0,4769,115582992.72
2025-05-07,2.759541,41410339.0,4768,114273547.16
2025-05-08,2.765919,41395773.0,4759,114497336.58
2025-05-09,2.803875,41389596.0,4751,116051242.71
2025-05-12,2.828496,41365493.0,4743,117002146.39
2025-05-13,2.940621,41337674.0,4735,121558428.44
2025-05-14,2.981202,41345089.0,4739,123258082.16
2025-05-15,3.019591,41185039.0,4738,124361993.41
2025-05-16,2.997328,41234519.0,4737,123593398.57
2025-05-20,3.016126,41582946.0,4749,125419389.22
2025-05-21,3.02388,41573530.0,4750,125713367.68
2025-05-22,3.020616,41631861.0,4756,125753855.02
2025-05-23,2.992713,41602286.0,4756,124503686.53
2025-05-26,2.957224,41628384.0,4738,123104467.42
2025-05-27,2.965856,41558049.0,4738,123255174.93
2025-05-28,3.00451,41621333.0,4734,125051692.65
2025-05-29,3.023316,41577077.0,4738,125700635.07
2025-05-30,3.022778,41605520.0,4736,125764244.6
2025-06-02,2.995116,41603612.0,4711,124607654.52
2025-06-03,2.978877,41511916.0,4708,123658874.34
2025-06-04,3.016987,41523196.0,4709,125274939.77
2025-06-05,3.05876,41518493.0,4707,126995125.97
2025-06-10,3.056102,41514491.0,4707,126872514.09
2025-06-11,3.099353,41559271.0,4686,128806860.77
2025-06-12,3.121719,41550959.0,4697,129710421.73
2025-06-13,3.099678,41610612.0,4709,128979507.21
2025-06-16,3.073088,41551357.0,4703,127690989.1
2025-06-17,3.107928,41332091.0,4691,128457153.92
2025-06-18,3.099498,41275035.0,4689,127931874.01
2025-06-19,3.08823,41241617.0,4680,127363590.96
2025-06-20,3.082063,41223110.0,4680,127052230.63
2025-06-23,3.100859,41260927.0,4663,127944317.46
2025-06-24,3.091336,41257619.0,4654,127541155.21
2025-06-25,3.158222,41214996.0,4650,130166092.87
2025-06-26,3.175412,40967564.0,4642,130088902.97
2025-06-27,3.192962,40992891.0,4636,130888753.33
2025-06-30,3.22097,40956523.0,4623,131919744.65
2025-07-01,3.259323,40986078.0,4623,133586865.77
2025-07-02,3.263298,41018961.0,4631,133857097.31
2025-07-03,3.287747,41341035.0,4635,135918883.09
2025-07-04,3.334124,41408153.0,4632,138059922.5
2025-07-07,3.335096,41284800.0,4632,137688755.8
2025-07-08,3.321143,41325174.0,4637,137246813.73
2025-07-09,3.3173,41422066.0,4650,137409404.73
2025-07-10,3.347666,41407218.0,4657,138617544.15
2025-07-11,3.355571,41386053.0,4645,138873835.43
2025-07-14,3.35539,41456407.0,4644,139102428.1
2025-07-16,3.351828,41581561.0,4647,139374260.42
2025-07-17,3.356639,41543161.0,4652,139445375.61
2025-07-18,3.389916,41590705.0,4663,140988986.6
2025-07-21,3.412939,41576139.0,4662,141896844.57
2025-07-22,3.43402,41640537.0,4662,142994438.28
2025-07-23,3.389004,41699467.0,4667,141319652.07
2025-07-24,3.424865,41725939.0,4674,142905696.44
2025-07-25,3.42902,41749835.0,4671,143161012.3
2025-07-28,3.409438,41819743.0,4667,142581808.24
2025-07-29,3.435006,41759278.0,4670,143443362.73
2025-07-30,3.437641,41817794.0,4675,143754571.91
2025-07-31,3.441817,41832121.0,4679,143978513.54
2025-08-01,3.418561,41877061.0,4672,143159297.85
2025-08-04,3.329751,41867167.0,4662,139407242.29
2025-08-05,3.382628,41882592.0,4669,141673246.61
2025-08-06,3.395688,41761304.0,4669,141808370.56
2025-08-07,3.377786,41756494.0,4665,141044497.7
2025-08-08,3.423724,41711040.0,4644,142807074.4
2025-08-11,3.439665,41306306.0,4639,142079840.8
2025-08-12,3.465773,41333208.0,4643,143251500.0
2025-08-13,3.473945,41343427.0,4642,143624797.23
2025-08-14,3.517235,41150420.0,4647,144735703.81
2025-08-15,3.486367,40961836.0,4628,142808003.24
2025-08-18,3.492444,40940381.0,4621,142981983.68
2025-08-19,3.49302,40974084.0,4612,143123293.03
2025-08-20,3.500674,41036041.0,4610,143653815.12
2025-08-21,3.449089,41022356.0,4608,141489751.57
2025-08-22,3.469656,41114623.0,4601,142653595.31
2025-08-25,3.501134,41079370.0,4598,143824386.37
2025-08-26,3.543242,41026612.0,4595,145367229.69
2025-08-27,3.552912,40857021.0,4588,145161415.92
2025-08-28,3.550215,40798496.0,4584,144843414.16
2025-08-29,3.562761,40865166.0,4573,145592822.59
2025-09-01,3.529534,40864553.0,4565,144232847.19
2025-09-02,3.531314,40863856.0,4565,144303114.66
2025-09-03,3.447826,40869508.0,4559,140910968.84
2025-09-04,3.457849,40461019.0,4565,139908100.01
2025-09-05,3.443671,40435037.0,4571,139244965.02
2025-09-08,3.480059,40419883.0,4539,140663595.17
