date,fiyat,pay,hesap,buyukluk
2024-09-02,36.972663,126506500.0,1272,4677282207.4
2024-09-03,36.968683,126322285.0,1274,4669968555.19
2024-09-04,36.945136,126816207.0,1285,4685241983.0
2024-09-05,37.040754,127188187.0,1287,4711146334.63
2024-09-06,36.991965,127467242.0,1287,4715263751.95
2024-09-09,37.010119,127624191.0,1285,4723386533.51
2024-09-10,37.09725,127725187.0,1287,4738253166.87
2024-09-11,37.132305,128102167.0,1292,4756728797.2
2024-09-12,37.085828,128652430.0,1295,4771181846.27
2024-09-13,37.057204,128649808.0,1298,4767402147.19
2024-09-16,36.984031,129262720.0,1305,4780656397.02
2024-09-17,37.085286,129044091.0,1309,4785636982.54
2024-09-18,37.200543,129327347.0,1309,4811047504.5
2024-09-19,37.281485,131008904.0,1310,4884206541.39
2024-09-20,37.24645,131103146.0,1311,4883126755.36
2024-09-23,37.240164,131329119.0,1312,4890717926.35
2024-09-24,37.363507,131263095.0,1316,4904449588.87
2024-09-25,37.412117,131010387.0,1314,4901375953.92
2024-09-26,37.436463,131038047.0,1319,4905601025.74
2024-09-27,37.461009,131306181.0,1321,4918862011.62
2024-09-30,37.468564,130904338.0,1327,4904797625.18
2024-10-01,37.516228,131877042.0,1328,4947529212.41
2024-10-02,37.520584,131399641.0,1336,4930191297.56
2024-10-03,37.553946,131503601.0,1329,4938479091.0
2024-10-04,37.509475,132404077.0,1336,4966407395.98
2024-10-07,37.543942,134506142.0,1340,5049890807.22
2024-10-08,37.58653,134522884.0,1343,5056248426.31
2024-10-09,37.612251,134489237.0,1349,5058442894.56
2024-10-10,37.602186,134053033.0,1351,5040687021.18
2024-10-11,37.555707,134008928.0,1348,5032800044.25
2024-10-14,37.580205,134002690.0,1348,5035848555.5
2024-10-15,37.629596,133911794.0,1347,5039046730.62
2024-10-16,37.640593,133930362.0,1355,5041218302.13
2024-10-17,37.604647,133803374.0,1357,5031628713.07
2024-10-18,37.554778,129815063.0,1355,4875175859.1
2024-10-21,37.633824,129968230.0,1352,4891201551.28
2024-10-22,37.632946,129952217.0,1355,4890484733.82
2024-10-23,37.62833,130074722.0,1357,4894494576.94
2024-10-24,37.643471,129709232.0,1360,4882705777.37
2024-10-25,37.637534,129582502.0,1356,4877165872.7
2024-10-28,37.64703,129430841.0,1356,4872686785.25
2024-10-30,37.648851,129095013.0,1352,4860278973.79
2024-10-31,37.675927,129093701.0,1352,4863724849.92
2024-11-01,37.634223,128965166.0,1353,4853503836.07
2024-11-04,37.694544,129006702.0,1348,4862848849.63
2024-11-05,37.755459,128938431.0,1350,4868129708.74
2024-11-06,37.761609,131131575.0,1347,4951739245.06
2024-11-07,37.656847,130366181.0,1343,4909179325.71
2024-11-08,37.660108,130380401.0,1342,4910139970.04
2024-11-11,37.78672,130356049.0,1342,4925727582.48
2024-11-12,37.813861,129475302.0,1341,4895961044.12
2024-11-13,37.839508,129638143.0,1346,4905443581.94
2024-11-14,37.83906,124863683.0,1343,4724724380.1
2024-11-15,37.83234,124695368.0,1333,4717517515.87
2024-11-18,37.876992,124673438.0,1332,4722254843.63
2024-11-19,37.986087,123183586.0,1331,4679262401.27
2024-11-20,38.080313,122092838.0,1333,4649333531.62
2024-11-21,37.991732,122091947.0,1330,4638484522.31
2024-11-22,38.013708,122189321.0,1328,4644869193.82
2024-11-25,38.037835,122107527.0,1327,4644705950.17
2024-11-26,38.104529,122382101.0,1328,4663312324.93
2024-11-27,38.171103,122110981.0,1327,4661110855.33
2024-11-28,38.179316,122416315.0,1327,4673771199.31
2024-11-29,38.184379,122167397.0,1320,4664886158.92
2024-12-02,38.21308,122257950.0,1323,4671852774.67
2024-12-03,38.288158,122377185.0,1319,4685597008.64
2024-12-04,38.330232,122324035.0,1316,4688708633.43
2024-12-05,38.348022,122267146.0,1319,4688703175.22
2024-12-06,38.345073,122304597.0,1318,4689778722.89
2024-12-09,38.39096,120874847.0,1319,4640501418.8
2024-12-10,38.452671,120837332.0,1317,4646518200.54
2024-12-11,38.486412,120354921.0,1317,4632029059.24
2024-12-12,38.509359,120121362.0,1315,4625796597.44
2024-12-13,38.529429,120080948.0,1313,4626650310.04
2024-12-16,38.597562,120012893.0,1313,4632205094.95
2024-12-17,38.640561,120095174.0,1314,4640544907.25
2024-12-18,38.6654,119916347.0,1316,4636613502.09
2024-12-19,38.704533,119834729.0,1312,4638147178.94
2024-12-20,38.750108,119200724.0,1309,4619040942.14
2024-12-23,38.811085,119601611.0,1306,4641868321.45
2024-12-24,38.858499,119715151.0,1311,4651951026.22
2024-12-25,38.941083,119260274.0,1313,4644124178.4
2024-12-26,38.985555,119075866.0,1315,4642238763.91
2024-12-27,38.981007,119116840.0,1315,4643294346.33
2024-12-30,38.917902,118556374.0,1313,4613965345.59
2024-12-31,39.011589,118583454.0,1311,4626128969.55
2025-01-02,39.077891,119018159.0,1313,4650978695.77
2025-01-03,39.052789,118848834.0,1312,4641378384.47
2025-01-06,39.091101,118688513.0,1315,4639664634.36
2025-01-07,39.114024,118507488.0,1313,4635304735.34
2025-01-08,39.10539,118331790.0,1311,4627410848.26
2025-01-09,39.148301,118427257.0,1311,4636225902.35
2025-01-10,39.129259,118269508.0,1310,4627798223.07
2025-01-13,39.192001,118278190.0,1307,4635558906.37
2025-01-14,39.26555,118166965.0,1309,4639890882.67
2025-01-15,39.268046,118087722.0,1308,4637074065.73
2025-01-16,39.270708,118095600.0,1305,4637697778.2
2025-01-17,39.248027,117919595.0,1304,4628111425.15
2025-01-20,39.279049,117931465.0,1304,4632235799.18
2025-01-21,39.401532,117295780.0,1302,4621633433.52
2025-01-22,39.441248,117382700.0,1305,4629720140.73
2025-01-23,39.485046,117342511.0,1302,4633274435.35
2025-01-24,39.502476,117316083.0,1302,4634275798.75
2025-01-27,39.528369,116818563.0,1302,4617647243.6
2025-01-28,39.600567,116767704.0,1303,4624067253.96
2025-01-29,39.654805,116368734.0,1305,4614579458.34
