date,fiyat,pay,hesap,buyukluk
2024-09-02,5.541739,24054806.0,20,133305468.35
2024-09-03,5.561063,24054806.0,20,133770289.76
2024-09-04,5.509306,24054806.0,20,132525284.32
2024-09-05,5.518383,24054806.0,20,132743629.75
2024-09-06,5.530554,24054806.0,20,133036399.53
2024-09-09,5.511105,24054806.0,20,132568567.07
2024-09-10,5.499471,24054806.0,20,132288717.23
2024-09-11,5.515134,24054806.0,20,132665487.39
2024-09-12,5.517101,24054806.0,20,132712800.97
2024-09-13,5.589736,24054806.0,20,134460018.38
2024-09-16,5.614765,24054806.0,20,135062078.81
2024-09-17,5.629452,24054806.0,20,135415385.98
2024-09-18,5.679759,24054806.0,20,136625511.15
2024-09-19,5.688305,24054806.0,20,136831068.54
2024-09-20,5.723697,24054806.0,20,137682413.35
2024-09-23,5.744525,24054806.0,20,138183432.19
2024-09-24,5.761502,24054806.0,20,138591822.58
2024-09-25,5.898097,24054806.0,20,141877567.2
2024-09-26,5.887278,23810218.0,20,140177373.53
2024-09-27,5.891192,23810218.0,19,140270558.6
2024-09-30,5.890919,23810218.0,19,140264059.29
2024-10-01,5.896889,23810218.0,19,140406214.05
2024-10-02,5.875163,23810218.0,19,139888908.05
2024-10-03,5.882369,23810218.0,19,140060485.45
2024-10-04,5.876144,23810218.0,19,139912262.68
2024-10-07,5.882065,23810218.0,19,140053257.56
2024-10-08,5.909337,23810218.0,19,140702610.41
2024-10-09,5.913489,23810218.0,19,140801466.16
2024-10-10,5.911399,23810218.0,19,140751702.82
2024-10-11,5.904592,23810218.0,19,140589620.51
2024-10-14,5.908075,23810218.0,19,140672548.6
2024-10-15,5.915159,23810218.0,19,140841227.24
2024-10-16,5.915426,23810218.0,19,140847587.83
2024-10-17,5.909418,23810218.0,19,140704533.77
2024-10-18,5.901636,23810218.0,19,140519236.06
2024-10-21,5.911156,23810218.0,19,140745915.36
2024-10-22,5.917235,23810218.0,19,140890658.93
2024-10-23,5.910283,23810218.0,19,140725130.01
2024-10-24,5.908178,23810218.0,19,140675016.36
2024-10-25,5.905563,23810218.0,19,140612746.02
2024-10-28,5.910118,23810218.0,19,140721190.24
2024-10-30,5.913865,23810218.0,19,140810406.64
2024-10-31,5.915632,23810218.0,19,140852477.56
2024-11-01,5.919896,23805376.0,19,140925345.53
2024-11-04,5.906781,23805376.0,18,140613144.01
2024-11-05,5.916063,23805376.0,18,140834098.67
2024-11-06,5.918446,23805376.0,19,140890842.97
2024-11-07,5.904818,24417097.0,19,144178505.28
2024-11-08,5.911366,24417097.0,19,144338387.13
2024-11-11,5.93114,24417097.0,19,144821229.17
2024-11-12,5.949508,24417097.0,19,145269710.86
2024-11-13,5.953856,24417097.0,19,145375868.3
2024-11-14,5.948608,24417097.0,19,145247730.54
2024-11-15,5.949006,24417097.0,19,145257451.21
2024-11-18,5.949786,24417097.0,19,145276500.05
2024-11-19,5.963524,24417097.0,19,145611947.78
2024-11-20,5.976795,24417097.0,19,145935976.17
2024-11-21,5.97426,24417097.0,19,145874086.35
2024-11-22,5.974626,24417097.0,19,145883033.46
2024-11-25,5.980264,24417097.0,19,146020686.35
2024-11-26,5.992186,24417097.0,19,146311785.95
2024-11-27,6.006004,24333489.0,19,146147037.89
2024-11-28,6.009135,24333489.0,19,146223219.82
2024-11-29,6.012324,24333489.0,19,146300826.66
2024-12-02,6.015673,24333489.0,19,146382312.25
2024-12-03,6.014687,24333489.0,19,146358315.91
2024-12-04,6.021976,24333489.0,19,146535698.62
2024-12-05,6.026973,24333489.0,19,146657269.64
2024-12-06,6.026271,24333489.0,19,146640187.15
2024-12-09,6.045227,24333489.0,19,147101466.65
2024-12-10,6.057316,24333489.0,19,147395622.91
2024-12-11,6.06683,24333489.0,19,147627129.22
2024-12-12,6.067484,24333489.0,19,147643064.68
2024-12-13,6.0699,24333489.0,19,147701851.03
2024-12-16,6.074012,24333489.0,19,147801902.1
2024-12-17,6.080668,24333489.0,19,147963857.24
2024-12-18,6.08266,24333489.0,19,148012350.05
2024-12-19,6.08522,24333489.0,19,148074644.39
2024-12-20,6.07486,24333489.0,19,147822534.97
2024-12-23,6.071027,24333489.0,19,147729266.31
2024-12-24,6.076358,24333489.0,19,147858993.2
2024-12-25,6.087905,24333489.0,19,148139972.79
2024-12-26,6.093266,24333489.0,19,148270416.71
2024-12-27,6.111655,24333489.0,19,148717884.78
2024-12-30,6.104442,24333489.0,19,148542370.71
2024-12-31,6.114303,24333489.0,19,148782332.56
2025-01-02,6.126178,24333489.0,19,149071273.36
2025-01-03,6.127893,24333489.0,19,149113016.08
2025-01-06,6.133078,24333489.0,19,149239188.21
2025-01-07,6.139178,24333489.0,19,149387615.49
2025-01-08,6.138145,24333489.0,19,149362477.82
2025-01-09,6.141863,24333489.0,19,149452958.5
2025-01-10,6.133118,24333489.0,19,149240167.83
2025-01-13,6.1425,24333489.0,19,149468454.77
2025-01-14,6.150395,24333489.0,19,149660563.76
2025-01-15,6.145798,24333489.0,19,149548715.88
2025-01-16,6.14825,24333489.0,19,149608364.21
2025-01-17,6.146084,24333489.0,19,149555675.88
2025-01-20,6.155305,24333489.0,19,149780037.53
2025-01-21,6.173699,24333489.0,19,150227643.42
2025-01-22,6.181819,24333489.0,19,150425224.15
2025-01-23,6.191577,24333489.0,19,150662676.06
2025-01-24,6.203854,24333489.0,19,150961405.59
2025-01-27,6.207111,24333489.0,19,151040662.05
