date,fiyat,pay,hesap,buyukluk
2024-09-02,3.830528,227703188.0,1009,872223472.21
2024-09-03,3.939063,227481260.0,1006,896062915.0
2024-09-04,3.896262,227231437.0,1003,885353187.67
2024-09-05,3.895496,226072633.0,1000,880665025.52
2024-09-06,3.870602,226075854.0,995,875049717.55
2024-09-09,3.78246,225939386.0,994,854606802.5
2024-09-10,3.743282,225878439.0,992,845526611.47
2024-09-11,3.70796,225766448.0,985,837132896.17
2024-09-12,3.629127,225562671.0,980,818595633.88
2024-09-13,3.681947,224808173.0,973,827731807.27
2024-09-16,3.733015,224800545.0,969,839183742.9
2024-09-17,3.690038,224222334.0,964,827389035.81
2024-09-18,3.766649,224161453.0,963,844337497.9
2024-09-19,3.779171,224075903.0,961,846821265.4
2024-09-20,3.859756,224069121.0,959,864852233.27
2024-09-23,3.847199,223976971.0,957,861684007.24
2024-09-24,3.839788,223953124.0,954,859932568.72
2024-09-25,3.898747,223876537.0,950,872837888.35
2024-09-26,3.859686,223965170.0,949,864435262.26
2024-09-27,3.846159,223894974.0,943,861135567.24
2024-09-30,3.840133,223911353.0,937,859849398.82
2024-10-01,3.79528,223901407.0,935,849768551.8
2024-10-02,3.656313,223566855.0,932,817430510.03
2024-10-03,3.518072,223503365.0,929,786300861.89
2024-10-04,3.447983,225135608.0,930,776263822.62
2024-10-07,3.527169,225233818.0,930,794437724.61
2024-10-08,3.499101,225337330.0,930,788478031.58
2024-10-09,3.495239,225368602.0,930,787717106.44
2024-10-10,3.561599,225366093.0,927,802663677.14
2024-10-11,3.512672,225351495.0,924,791585823.11
2024-10-14,3.474622,224398022.0,922,779698196.83
2024-10-15,3.402535,224385550.0,920,763479654.25
2024-10-16,3.477594,224141355.0,916,779472689.86
2024-10-17,3.512322,224028842.0,914,786861541.76
2024-10-18,3.521134,224010530.0,913,788771096.95
2024-10-21,3.422756,223773977.0,911,765923722.4
2024-10-22,3.360969,223772065.0,911,752091001.15
2024-10-23,3.437505,202674567.0,907,696694821.23
2024-10-24,3.383561,202030165.0,906,683581317.53
2024-10-25,3.443374,201905309.0,903,695235517.97
2024-10-28,3.450924,201875615.0,903,696657330.33
2024-10-30,3.467862,201888961.0,903,700122981.58
2024-10-31,3.475982,201859414.0,904,701659656.02
2024-11-01,3.416607,201854634.0,903,689657912.01
2024-11-04,3.408242,201858379.0,904,687982248.79
2024-11-05,3.304285,201896257.0,905,667122745.03
2024-11-06,3.29326,201896612.0,899,664898042.6
2024-11-07,3.391957,201899100.0,898,684833164.46
2024-11-08,3.435827,201849160.0,899,693518829.97
2024-11-11,3.543059,201968697.0,899,715587068.88
2024-11-12,3.597042,201984632.0,899,726547301.1
2024-11-13,3.610584,201589714.0,894,727856512.61
2024-11-14,3.646882,201253520.0,893,733947867.73
2024-11-15,3.698667,203935450.0,893,754289277.92
2024-11-18,3.681916,203850082.0,890,750558875.22
2024-11-19,3.688144,203850200.0,892,751828852.76
2024-11-20,3.639971,203866356.0,893,742067719.77
2024-11-21,3.570508,201448245.0,890,719272665.6
2024-11-22,3.717683,201287403.0,887,748322795.91
2024-11-25,3.779266,201298863.0,886,760761860.19
2024-11-26,3.815692,201268084.0,886,767977058.6
2024-11-27,3.809183,201061240.0,890,765879088.89
2024-11-28,3.816359,200795912.0,890,766309381.91
2024-11-29,3.807305,202590348.0,888,771323143.83
2024-12-02,3.809719,202590670.0,891,771813531.9
2024-12-03,3.811525,202731759.0,891,772717070.38
2024-12-04,3.902689,202646605.0,886,790866768.87
2024-12-05,3.923203,203095922.0,892,796786531.38
2024-12-06,3.937694,203778682.0,899,802418123.02
2024-12-09,4.00722,206605546.0,896,827913921.46
2024-12-10,4.054132,206617438.0,899,837654332.24
2024-12-11,3.996835,206115043.0,895,823807848.51
2024-12-12,3.987769,205957697.0,893,821311726.83
2024-12-13,3.979941,206073385.0,893,820159871.6
2024-12-16,4.026249,205132527.0,888,825914548.42
2024-12-17,3.982697,205132196.0,893,816979405.38
2024-12-18,3.997468,205155045.0,893,820100819.82
2024-12-19,3.959439,205092679.0,890,812051973.51
