date,fiyat,pay,hesap,buyukluk
2024-09-02,1.015557,11715674.0,309,11897935.27
2024-09-03,1.03117,11855002.0,325,12224527.97
2024-09-04,1.023061,11887532.0,325,12161674.72
2024-09-05,1.020006,11730057.0,324,11964724.58
2024-09-06,1.019288,11751961.0,330,11978629.59
2024-09-09,1.016234,12504668.0,333,12707662.67
2024-09-10,1.017302,12509997.0,347,12726444.22
2024-09-11,1.002977,11749544.0,346,11784527.49
2024-09-12,0.980829,11757800.0,342,11532393.97
2024-09-13,0.989793,11777500.0,353,11657290.38
2024-09-16,1.010916,12704120.0,359,12842802.45
2024-09-17,1.006038,12706298.0,368,12783024.28
2024-09-18,1.015079,12742376.0,362,12934517.75
2024-09-19,1.018728,13382933.0,358,13633573.04
2024-09-20,1.034497,13397067.0,361,13859225.52
2024-09-23,1.03279,13398201.0,362,13837527.69
2024-09-24,1.029308,13393838.0,374,13786378.06
2024-09-25,1.03617,14576593.0,373,15103827.98
2024-09-26,1.02803,14580700.0,380,14989390.63
2024-09-27,1.017501,14605228.0,378,14860835.74
2024-09-30,1.022377,14575260.0,375,14901406.76
2024-10-01,1.015394,13407026.0,389,13613413.27
2024-10-02,0.985681,13250265.0,392,13060530.68
2024-10-03,0.96589,13251824.0,400,12799803.5
2024-10-04,0.962586,13383340.0,405,12882613.64
2024-10-07,0.973468,13387082.0,405,13031890.9
2024-10-08,0.968623,13413543.0,415,12992671.72
2024-10-09,0.970568,13431702.0,417,13036376.51
2024-10-10,0.970313,13431938.0,414,13033185.75
2024-10-11,0.964826,13419642.0,414,12947620.92
2024-10-14,0.967527,13418842.0,416,12983088.19
2024-10-15,0.957012,13420293.0,430,12843387.54
2024-10-16,0.972412,13429436.0,439,13058946.04
2024-10-17,0.978668,13463261.0,439,13176058.05
2024-10-18,0.989587,13459854.0,443,13319696.64
2024-10-21,0.979561,13428082.0,446,13153621.4
2024-10-22,0.970904,13433982.0,460,13043105.41
2024-10-23,0.988111,13433988.0,459,13274272.68
2024-10-24,0.977918,13397242.0,460,13101398.89
2024-10-25,0.983813,13380699.0,461,13164112.05
2024-10-28,0.985128,13641278.0,464,13438405.69
2024-10-30,0.997059,13663488.0,467,13623306.09
2024-10-31,1.00517,13665058.0,463,13735705.94
2024-11-01,0.99916,13706282.0,464,13694765.15
2024-11-04,1.007288,13792828.0,468,13893344.54
2024-11-05,0.991929,13749423.0,478,13638457.33
2024-11-06,0.99638,13786167.0,475,13736263.36
2024-11-07,1.012494,13810725.0,481,13983271.34
2024-11-08,1.027133,13810615.0,486,14185343.26
2024-11-11,1.051797,13779180.0,494,14492904.12
2024-11-12,1.059951,15279031.0,525,16195021.07
2024-11-13,1.058069,16007870.0,547,16937429.65
2024-11-14,1.063382,19349013.0,561,20575386.01
2024-11-15,1.070895,20428482.0,577,21876760.76
2024-11-18,1.078558,21237734.0,600,22906126.47
2024-11-19,1.086493,27276383.0,644,29635588.1
2024-11-20,1.083743,29422012.0,698,31885897.6
2024-11-21,1.058907,32477799.0,736,34390958.5
2024-11-22,1.078175,32853117.0,747,35421422.89
2024-11-25,1.09341,30471280.0,760,33317594.65
2024-11-26,1.106956,30748693.0,797,34037462.73
2024-11-27,1.105526,25638507.0,826,28344043.94
2024-11-28,1.104715,27067357.0,855,29901720.14
2024-11-29,1.09929,28568856.0,868,31405459.93
2024-12-02,1.098275,28974322.0,880,31821768.64
2024-12-03,1.100591,28316974.0,893,31165399.31
2024-12-04,1.101382,27433669.0,883,30214947.65
2024-12-05,1.110418,28301591.0,881,31426586.36
2024-12-06,1.118551,28199676.0,885,31542770.56
2024-12-09,1.127107,29446904.0,893,33189803.47
2024-12-10,1.143746,30484493.0,916,34866529.1
2024-12-11,1.133395,31071108.0,912,35215828.11
2024-12-12,1.12845,40263286.0,927,45435087.11
2024-12-13,1.136802,41588526.0,936,47277939.33
2024-12-16,1.144569,42066270.0,951,48147761.57
2024-12-17,1.129064,33404713.0,985,37716058.59
2024-12-18,1.134032,42569408.0,985,48275058.68
2024-12-19,1.13035,42288046.0,980,47800298.86
2024-12-20,1.11724,41705075.0,978,46594595.2
2024-12-23,1.113848,40884163.0,973,45538758.67
2024-12-24,1.109627,40543351.0,972,44987990.72
2024-12-25,1.115538,39786288.0,955,44383103.68
2024-12-26,1.134036,39608211.0,948,44917145.07
2024-12-27,1.139154,39323159.0,954,44795122.51
2024-12-30,1.156676,38272816.0,949,44269242.52
2024-12-31,1.167411,38723244.0,964,45205937.83
2025-01-02,1.174841,39093474.0,980,45928601.46
2025-01-03,1.16892,39897878.0,1016,46637425.43
2025-01-06,1.176113,40745593.0,1047,47921432.49
2025-01-07,1.18198,56767281.0,1071,67097779.61
2025-01-08,1.179891,57398823.0,1105,67724341.76
2025-01-09,1.171623,59951567.0,1124,70240662.1
2025-01-10,1.179829,62136006.0,1133,73309886.93
2025-01-13,1.177563,66686587.0,1129,78527631.75
2025-01-14,1.161227,67151366.0,1135,77977967.9
2025-01-15,1.157744,66981262.0,1118,77547133.76
2025-01-16,1.156933,66910668.0,1112,77411132.74
