date,fiyat,pay,hesap,buyukluk
2024-09-02,8.613081,43059900.0,5340,370878410.27
2024-09-03,8.845001,43156000.0,5344,381714874.24
2024-09-04,8.80426,42863700.0,5325,377383175.47
2024-09-05,8.787881,42747300.0,5312,375658172.47
2024-09-06,8.822505,42698200.0,5305,376705063.7
2024-09-09,8.693246,42885900.0,5292,372817682.56
2024-09-10,8.678371,42652000.0,5294,370149892.5
2024-09-11,8.630821,42557600.0,5266,367307021.52
2024-09-12,8.415409,42152500.0,5242,354730537.17
2024-09-13,8.439312,42071500.0,5221,355054497.17
2024-09-16,8.582858,41815900.0,5206,358899944.15
2024-09-17,8.486865,42000800.0,5222,356455100.89
2024-09-18,8.618357,42043600.0,5222,362346772.53
2024-09-19,8.625543,41884700.0,5209,361278281.74
2024-09-20,8.728435,42090500.0,5215,367384205.63
2024-09-23,8.684688,42079100.0,5214,365443847.87
2024-09-24,8.640359,42051000.0,5222,363335745.07
2024-09-25,8.715761,41963900.0,5200,365747329.91
2024-09-26,8.529909,41990200.0,5195,358172578.6
2024-09-27,8.525513,41960200.0,5184,357732250.91
2024-09-30,8.540042,41995500.0,5174,358643332.97
2024-10-01,8.450148,41999800.0,5172,354904512.44
2024-10-02,8.137607,42097600.0,5164,342573741.93
2024-10-03,7.861401,42107000.0,5145,331020020.22
2024-10-04,7.837113,41837400.0,5120,327884423.09
2024-10-07,8.008776,41964900.0,5108,336087482.8
2024-10-08,8.000518,42009700.0,5116,336099361.34
2024-10-09,7.958548,41752100.0,5100,332286106.1
2024-10-10,7.971216,41656900.0,5098,332056129.35
2024-10-11,7.850248,41514500.0,5092,325899108.85
2024-10-14,7.732551,41367100.0,5080,319873213.34
2024-10-15,7.531412,41315100.0,5072,311161026.99
2024-10-16,7.61926,41246800.0,5064,314270089.75
2024-10-17,7.673281,41299900.0,5072,316905751.52
2024-10-18,7.757097,41687700.0,5074,323375530.09
2024-10-21,7.665785,41984500.0,5072,321844136.09
2024-10-22,7.597725,42015500.0,5073,319222227.0
2024-10-23,7.698847,41879400.0,5056,322423078.55
2024-10-24,7.603285,41937300.0,5050,318861260.01
2024-10-25,7.682459,41885200.0,5041,321781334.22
2024-10-28,7.687994,42352600.0,5035,325606541.58
2024-10-30,7.745159,42375500.0,5036,328204976.19
2024-10-31,7.815716,42367600.0,5035,331133130.51
2024-11-01,7.802601,42318500.0,5021,330194387.33
2024-11-04,7.869411,42317200.0,5009,333011442.98
2024-11-05,7.667759,42294100.0,5014,324300966.82
2024-11-06,7.606922,42374800.0,5005,322341779.0
2024-11-07,7.816358,42360900.0,5001,331107957.27
2024-11-08,7.87987,42474100.0,5002,334690371.92
2024-11-11,8.006152,42411300.0,4998,339551328.73
2024-11-12,8.13748,42359100.0,5007,344696342.18
2024-11-13,8.127306,42336300.0,5012,344080070.15
2024-11-14,8.177421,42414200.0,5014,346838775.67
2024-11-15,8.276828,42569100.0,5012,352337117.11
2024-11-18,8.310248,42729800.0,5023,355095233.23
2024-11-19,8.349652,43155200.0,5043,360330910.4
2024-11-20,8.266848,43235800.0,5045,357423767.72
2024-11-21,8.11053,43293600.0,5039,351134033.62
2024-11-22,8.329712,43336600.0,5036,360981396.22
2024-11-25,8.484634,43330000.0,5034,367639205.6
2024-11-26,8.548903,43336100.0,5048,370476135.56
2024-11-27,8.537956,43391700.0,5053,370476416.42
2024-11-28,8.533934,43263200.0,5037,369205314.44
2024-11-29,8.501271,43317500.0,5030,368253798.02
2024-12-02,8.56574,43248800.0,5018,370457973.12
2024-12-03,8.570646,43202600.0,5041,370274179.17
2024-12-04,8.63261,43396200.0,5023,374622465.69
2024-12-05,8.713801,43357400.0,5012,377807772.08
2024-12-06,8.793109,43376300.0,5015,381412512.3
2024-12-09,8.938958,42864500.0,5016,383163984.84
2024-12-10,9.0481,42967500.0,5045,388774247.73
2024-12-11,8.930754,43185300.0,5051,385677278.92
2024-12-12,8.90238,43336500.0,5039,385797985.85
2024-12-13,8.978515,43361700.0,5036,389323658.68
2024-12-16,9.094172,43451800.0,5027,395158121.87
2024-12-17,9.063545,43432500.0,5033,393652404.45
2024-12-18,9.108051,43771600.0,5031,398673979.3
2024-12-19,9.073978,43886900.0,5019,398228774.53
2024-12-20,8.949932,43621200.0,5005,390406788.0
2024-12-23,8.905387,42495700.0,4995,378440636.04
2024-12-24,8.819027,42510800.0,4999,374903896.94
2024-12-25,8.853095,42362100.0,4984,375035703.01
2024-12-26,8.967717,42415900.0,4970,380373785.82
2024-12-27,9.010781,43491600.0,4967,391893269.15
2024-12-30,9.119734,43835700.0,4960,399769935.21
2024-12-31,8.993126,43039200.0,4964,387056947.22
2025-01-02,8.925186,43197700.0,4960,385547526.12
2025-01-03,8.928474,42990000.0,4959,383835077.7
2025-01-06,8.960522,43664000.0,4958,391252245.67
2025-01-07,8.97184,43831400.0,4966,393248321.6
2025-01-08,8.902565,43891400.0,4947,390746046.63
2025-01-09,8.787815,43786500.0,4924,384787665.93
2025-01-10,8.89272,42837600.0,4914,380942769.57
2025-01-13,8.847504,42843600.0,4908,379058917.74
2025-01-14,8.598021,42827200.0,4904,368229163.25
2025-01-15,8.549978,42005100.0,4870,359142672.5
2025-01-16,8.596226,41985700.0,4868,360918572.85
2025-01-17,8.745956,41845600.0,4856,365979795.67
2025-01-20,8.823402,41892800.0,4845,369637031.34
2025-01-21,8.852839,41885300.0,4831,370803809.47
2025-01-22,8.823083,41841700.0,4811,369172807.43
2025-01-23,8.86193,41488200.0,4788,367665518.41
2025-01-24,8.881814,41588500.0,4781,369381341.75
2025-01-27,8.880324,41565000.0,4771,369110650.25
2025-01-28,8.775096,41399500.0,4762,363284592.51
2025-01-29,8.837084,41260600.0,4738,364623406.15
2025-01-30,8.789681,41322100.0,4738,363208082.76
2025-01-31,8.806316,41274500.0,4725,363476288.04
2025-02-03,8.747935,41205100.0,4709,360459520.25
2025-02-04,8.56315,41015800.0,4697,351224439.86
2025-02-05,8.678515,41027300.0,4686,356056030.8
2025-02-06,8.537015,41235800.0,4658,352030636.46
2025-02-07,8.55753,41221200.0,4647,352751664.43
2025-02-10,8.648517,41235600.0,4650,356626783.01
2025-02-11,8.655676,41200300.0,4636,356616462.62
2025-02-12,8.641967,40945000.0,4635,353845340.55
2025-02-13,8.530835,40854100.0,4623,348519573.19
2025-02-14,8.616219,40807300.0,4614,351604628.82
2025-02-17,8.587799,40847500.0,4607,350790114.45
2025-02-18,8.570507,40833800.0,4598,349966380.24
2025-02-19,8.610879,40755800.0,4595,350943255.44
2025-02-20,8.481345,40705300.0,4571,345235680.02
2025-02-21,8.536212,40483100.0,4552,345572315.0
2025-02-24,8.330591,40226900.0,4542,335113858.38
2025-02-25,8.380253,40220300.0,4527,337056289.24
2025-02-26,8.247761,40071500.0,4529,330500158.68
2025-02-27,8.321779,39279800.0,4502,326877830.38
2025-02-28,8.443529,39309400.0,4493,331910063.86
2025-03-03,8.463682,39313500.0,4490,332736975.23
2025-03-04,8.537714,39357100.0,4485,336019682.81
2025-03-05,8.50091,39517900.0,4492,335938107.11
2025-03-06,8.661279,39651500.0,4488,343432710.78
2025-03-07,8.786733,39616800.0,4479,348102253.35
2025-03-10,8.930149,39746900.0,4484,354945754.08
2025-03-11,8.903315,40387400.0,4487,359581750.53
2025-03-12,8.826787,40272900.0,4497,355480294.9
2025-03-13,8.88513,40650200.0,4495,361182321.75
2025-03-14,9.04184,40672000.0,4502,367749721.39
2025-03-17,9.218809,40566300.0,4499,373972989.02
2025-03-18,9.234187,40832500.0,4494,377054926.68
2025-03-19,9.219331,41976700.0,4542,386997099.93
2025-03-20,8.459013,41689100.0,4553,352648638.43
2025-03-21,8.480327,41400900.0,4542,351093155.68
2025-03-24,7.867604,41431800.0,4511,325968986.24
2025-03-25,8.082693,41508200.0,4510,335498018.23
2025-03-26,8.401497,42638900.0,4525,358230579.89
2025-03-27,8.325986,43202100.0,4510,359700096.97
2025-03-28,8.333095,43059500.0,4505,358818896.6
2025-04-02,8.366644,43639100.0,4504,365112799.07
2025-04-03,8.321019,43815600.0,4507,364590428.01
2025-04-04,8.276567,43663000.0,4517,361379738.8
2025-04-07,8.150337,43525400.0,4507,354746698.48
2025-04-08,8.104011,43486900.0,4500,352418308.87
2025-04-09,8.233558,43333200.0,4495,356786422.7
2025-04-10,8.094873,43287900.0,4470,350410061.5
2025-04-11,8.151305,43236500.0,4462,352433892.06
2025-04-14,8.193116,43404800.0,4455,355620544.83
2025-04-15,8.249829,43342300.0,4436,357566566.8
2025-04-16,8.245312,43132100.0,4440,355637636.15
2025-04-17,8.117138,42873000.0,4421,348006078.58
2025-04-18,8.227095,42362900.0,4408,348523593.51
2025-04-21,8.203505,42296700.0,4386,346981176.42
2025-04-22,8.159909,42240300.0,4371,344676984.52
2025-04-24,8.104509,41956600.0,4371,340037625.21
2025-04-25,8.199617,41946100.0,4354,343941974.88
2025-04-28,8.209884,41908000.0,4333,344059815.87
2025-04-29,8.088515,41798400.0,4316,338086982.86
2025-04-30,8.041159,41778800.0,4311,335949977.31
2025-05-02,7.923987,41768600.0,4293,330973835.03
2025-05-05,7.972365,41752400.0,4270,332865381.34
2025-05-06,7.992689,41584100.0,4262,332368762.55
2025-05-07,7.980312,41486800.0,4250,331077622.43
2025-05-08,7.87081,41417700.0,4225,325990843.47
2025-05-09,8.017014,41141400.0,4211,329831182.32
2025-05-12,8.119281,41109700.0,4194,333781212.67
2025-05-13,8.43704,41085400.0,4185,346639160.06
2025-05-14,8.482428,41740600.0,4189,354061615.31
2025-05-15,8.454219,41978300.0,4190,354893726.98
2025-05-16,8.357918,41877600.0,4185,350009554.74
2025-05-20,8.450017,41824000.0,4183,353413523.73
2025-05-21,8.419707,41753500.0,4169,351552228.07
2025-05-22,8.332676,41549000.0,4167,346214335.73
