date,value
2015-04-01,100.00000
2015-05-01,106.91000
2015-06-01,103.57000
2015-07-01,109.64000
2015-08-01,108.21000
2015-09-01,104.04000
2015-10-01,105.78000
2015-11-01,100.92000
2015-12-01,110.27000
2016-01-01,99.06000
2016-02-01,97.09000
2016-03-01,108.10000
2016-04-01,105.63000
2016-05-01,112.39000
2016-06-01,110.25000
2016-07-01,105.37000
2016-08-01,111.42000
2016-09-01,106.41000
2016-10-01,107.26000
2016-11-01,108.23000
2016-12-01,110.28000
2017-01-01,102.05000
2017-02-01,95.04000
2017-03-01,110.04000
2017-04-01,105.25000
2017-05-01,114.20000
2017-06-01,108.74000
2017-07-01,119.25000
2017-08-01,121.10000
2017-09-01,111.54000
2017-10-01,113.88000
2017-11-01,111.98000
2017-12-01,117.28000
2018-01-01,112.63000
2018-02-01,101.90000
2018-03-01,117.25000
2018-04-01,114.67000
2018-05-01,121.65000
2018-06-01,114.37000
2018-07-01,126.27000
2018-08-01,118.48000
2018-09-01,116.41000
2018-10-01,109.90000
2018-11-01,111.64000
2018-12-01,114.37000
2019-01-01,109.21000
2019-02-01,101.55000
2019-03-01,119.27000
2019-04-01,113.91000
2019-05-01,124.72000
2019-06-01,118.59000
2019-07-01,128.99000
2019-08-01,121.24000
2019-09-01,122.48000
2019-10-01,121.77000
2019-11-01,123.99000
2019-12-01,126.64000
2020-01-01,122.17000
2020-02-01,116.29000
2020-03-01,116.48000
2020-04-01,91.49000
2020-05-01,101.54000
2020-06-01,126.64000
2020-07-01,146.76000
2020-08-01,131.87000
2020-09-01,136.79000
2020-10-01,138.84000
2020-11-01,134.13000
2020-12-01,131.02000
2021-01-01,123.06000
2021-02-01,121.57000
2021-03-01,148.48000
2021-04-01,134.28000
2021-05-01,131.45000
2021-06-01,163.02000
2021-07-01,166.54000
2021-08-01,167.20000
2021-09-01,171.23000
2021-10-01,173.25000
2021-11-01,183.91000
2021-12-01,171.63000
2022-01-01,145.51000
2022-02-01,145.28000
2022-03-01,174.95000
2022-04-01,168.12000
2022-05-01,182.85000
2022-06-01,191.40000
2022-07-01,194.20000
2022-08-01,209.04000
2022-09-01,212.99000
2022-10-01,213.57000
2022-11-01,225.65000
2022-12-01,246.29000
2023-01-01,227.36000
2023-02-01,198.38000
2023-03-01,252.78000
2023-04-01,256.83000
2023-05-01,295.32000
2023-06-01,289.93000
2023-07-01,312.01000
2023-08-01,303.64000
2023-09-01,293.10000
2023-10-01,293.40000
2023-11-01,301.60000
2023-12-01,322.80000
2024-01-01,300.10000
2024-02-01,299.50000
2024-03-01,338.80000
2024-04-01,313.50000
2024-05-01,342.30000
2024-06-01,335.30000
2024-07-01,364.30000
2024-08-01,355.00000
2024-09-01,352.00000
2024-10-01,351.30000
2024-11-01,354.00000
2024-12-01,388.50000
2025-01-01,349.60000
2025-02-01,324.00000
2025-03-01,364.00000
2025-04-01,359.50000
2025-05-01,397.30000
2025-06-01,374.42000
2025-07-01,415.27000
2025-08-01,403.70000
2025-09-01,398.90000
2025-10-01,392.70000
2025-11-01,399.20000
2025-12-01,438.50000
2026-01-01,387.40000
2026-02-01,362.50000
2026-03-01,413.90000
2026-04-01,389.90000
2026-05-01,394.40000
2026-06-01,425.20000
2026-07-01,433.40000
