date,value
2019-01-01,3271.24000
2019-02-01,2910.79000
2019-03-01,3285.51000
2019-04-01,3445.22000
2019-05-01,3488.08000
2019-06-01,3890.96000
2019-07-01,4248.28000
2019-08-01,4375.75000
2019-09-01,4113.19000
2019-10-01,4031.51000
2019-11-01,3378.24000
2019-12-01,3508.64000
2020-01-01,3581.43000
2020-02-01,3320.89000
2020-03-01,1928.17000
2020-06-01,505.46000
2020-07-01,1514.25000
2020-08-01,2521.80000
2020-09-01,2595.74000
2020-10-01,2525.26000
2020-11-01,2039.71000
2020-12-01,1738.23000
2021-01-01,1909.94000
2021-02-01,1665.78000
2021-03-01,1981.14000
2021-04-01,1948.01000
2021-05-01,1601.35000
2021-06-01,2705.36000
2021-07-01,4001.36000
2021-08-01,4044.28000
2021-09-01,3513.67000
2021-10-01,3589.74000
2021-11-01,3063.23000
2021-12-01,3028.59000
2022-01-01,2916.57000
2022-02-01,2660.17000
2022-03-01,2825.35000
2022-04-01,3427.13000
2022-05-01,4065.76000
2022-06-01,4456.27000
2022-07-01,5020.17000
2022-08-01,5076.86000
2022-09-01,4743.12000
2022-10-01,4769.43000
2022-11-01,3688.60000
2022-12-01,3993.22000
2023-01-01,3734.82000
2023-02-01,3391.76000
2023-03-01,3827.48000
2023-04-01,4709.28000
2023-05-01,5008.71000
2023-06-01,5484.55000
2023-07-01,5928.74000
2023-08-01,6009.75000
2023-09-01,5514.53000
2023-10-01,5506.79000
2023-11-01,4397.37000
2023-12-01,4703.41000
2024-01-01,4784.91000
2024-02-01,4542.22000
2024-03-01,4849.58000
2024-04-01,5149.58000
2024-05-01,5732.40000
2024-06-01,6029.35000
2024-07-01,6391.48000
2024-08-01,6513.91000
2024-09-01,6048.42000
2024-10-01,5945.83000
2024-11-01,5299.59000
2024-12-01,5521.06000
2025-01-01,5710.20000
2025-02-01,4939.25000
2025-03-01,5467.97000
2025-04-01,6321.04000
2025-05-01,6737.71000
2025-06-01,6798.22000
2025-07-01,7239.28000
2025-08-01,7641.82000
2025-09-01,7289.14000
2025-10-01,7461.17000
2025-11-01,6255.87000
2025-12-01,6474.72000
2026-01-01,6364.29000
2026-02-01,5551.85000
2026-03-01,5628.89000
2026-04-01,6204.40000
2026-05-01,6341.74000
2026-06-01,6709.01000
2026-07-01,7886.87929
2026-08-01,8085.38000
