date,value
2020-02-01,4158.00000
2020-03-01,2211.00000
2020-04-01,171.00000
2020-05-01,0.00000
2020-06-01,0.00000
2020-07-01,0.00000
2020-08-01,9831.00000
2020-09-01,15122.00000
2020-10-01,13921.00000
2020-11-01,5364.00000
2020-12-01,4920.00000
2021-01-01,4719.00000
2021-02-01,4389.00000
2021-03-01,7565.00000
2021-04-01,8340.00000
2021-05-01,3111.00000
2021-06-01,12150.00000
2021-07-01,42514.00000
2021-08-01,40126.00000
2021-09-01,37194.00000
2021-10-01,40421.00000
2021-11-01,16452.00000
2021-12-01,11230.00000
2022-01-01,8219.00000
2022-02-01,6986.00000
2022-03-01,9772.00000
2022-04-01,19905.00000
2022-05-01,28948.00000
2022-06-01,30530.00000
2022-07-01,55390.00000
2022-08-01,41916.00000
2022-09-01,27761.00000
2022-10-01,30768.00000
2022-11-01,7871.00000
2022-12-01,5336.00000
2023-01-01,8448.00000
2023-02-01,5245.00000
2023-03-01,15362.00000
2023-04-01,15726.00000
2023-05-01,26303.00000
2023-06-01,46053.00000
2023-07-01,75736.00000
2023-08-01,61452.00000
2023-09-01,48734.00000
2023-10-01,47787.00000
2023-11-01,15958.00000
2023-12-01,10354.00000
2024-01-01,10730.00000
2024-02-01,9122.00000
2024-03-01,16877.00000
2024-04-01,33503.00000
2024-05-01,59811.00000
2024-06-01,70503.00000
2024-07-01,108142.00000
2024-08-01,85080.00000
2024-09-01,70841.00000
2024-10-01,75057.00000
2024-11-01,19662.00000
2024-12-01,10645.00000
2025-01-01,9402.00000
2025-02-01,5866.00000
2025-03-01,12792.00000
2025-04-01,34158.00000
2025-05-01,57244.00000
2025-06-01,68549.00000
2025-07-01,114087.00000
2025-08-01,91235.00000
2025-09-01,74040.00000
2025-10-01,71492.00000
2025-11-01,19575.00000
2025-12-01,9873.00000
2026-01-01,9208.00000
2026-02-01,6026.00000
2026-03-01,11564.00000
2026-04-01,25348.00000
2026-05-01,45715.00000
2026-06-01,63047.00000
2026-07-01,96562.00000
2026-08-01,83766.00000
