date,value
2021-08-01,387280.00000
2021-09-01,261637.00000
2021-10-01,169679.00000
2021-11-01,93233.00000
2021-12-01,75623.00000
2022-01-01,67716.00000
2022-02-01,71037.00000
2022-03-01,78438.00000
2022-04-01,121241.00000
2022-05-01,188420.00000
2022-06-01,265738.00000
2022-07-01,330515.00000
2022-08-01,331893.00000
2022-09-01,254510.00000
2022-10-01,161550.00000
2022-11-01,90525.00000
2022-12-01,80845.00000
2023-01-01,88685.00000
2023-02-01,71644.00000
2023-03-01,93397.00000
2023-04-01,135495.00000
2023-05-01,190478.00000
2023-06-01,282184.00000
2023-07-01,374824.00000
2023-08-01,377199.00000
2023-09-01,286332.00000
2023-10-01,185249.00000
2023-11-01,98427.00000
2023-12-01,84894.00000
2024-01-01,88334.00000
2024-02-01,94290.00000
2024-03-01,102259.00000
2024-04-01,169104.00000
2024-05-01,212061.00000
2024-06-01,322154.00000
2024-07-01,375439.00000
2024-08-01,379746.00000
2024-09-01,283875.00000
2024-10-01,198355.00000
2024-11-01,107032.00000
2024-12-01,95242.00000
2025-01-01,100057.00000
2025-02-01,79626.00000
2025-03-01,103703.00000
2025-04-01,157148.00000
2025-05-01,211031.00000
2025-06-01,306667.00000
2025-07-01,412695.00000
2025-08-01,440795.00000
2025-09-01,339606.00000
2025-10-01,215300.00000
2025-11-01,113455.00000
2025-12-01,105251.00000
2026-01-01,104214.00000
2026-02-01,91427.00000
2026-03-01,118626.00000
2026-04-01,143726.00000
2026-05-01,229361.00000
2026-06-01,299431.00000
2026-07-01,470631.00000
2026-08-01,505661.00000
