date,value
2020-02-01,184236.00000
2020-03-01,97063.00000
2020-04-01,5118.00000
2020-05-01,13881.00000
2020-06-01,44402.00000
2020-07-01,78070.00000
2020-08-01,93553.00000
2020-09-01,65963.00000
2020-10-01,55289.00000
2020-11-01,42715.00000
2020-12-01,41498.00000
2021-01-01,38063.00000
2021-02-01,31534.00000
2021-03-01,43731.00000
2021-04-01,54092.00000
2021-05-01,69019.00000
2021-06-01,100933.00000
2021-07-01,154323.00000
2021-08-01,194993.00000
2021-09-01,191092.00000
2021-10-01,182838.00000
2021-11-01,164278.00000
2021-12-01,179582.00000
2022-01-01,140176.00000
2022-02-01,148830.00000
2022-03-01,196280.00000
2022-04-01,255870.00000
2022-05-01,265317.00000
2022-06-01,292761.00000
2022-07-01,329203.00000
2022-08-01,348381.00000
2022-09-01,325339.00000
2022-10-01,321046.00000
2022-11-01,253666.00000
2022-12-01,247736.00000
2023-01-01,221764.00000
2023-02-01,208469.00000
2023-03-01,264740.00000
2023-04-01,322056.00000
2023-05-01,329473.00000
2023-06-01,347039.00000
2023-07-01,369493.00000
2023-08-01,383618.00000
2023-09-01,370845.00000
2023-10-01,351133.00000
2023-11-01,275848.00000
2023-12-01,279198.00000
2024-01-01,249578.00000
2024-02-01,245260.00000
2024-03-01,300914.00000
2024-04-01,369298.00000
2024-05-01,399730.00000
2024-06-01,406028.00000
2024-07-01,432608.00000
2024-08-01,439008.00000
2024-09-01,422862.00000
2024-10-01,416752.00000
2024-11-01,315655.00000
2024-12-01,319013.00000
2025-01-01,280542.00000
2025-02-01,261116.00000
2025-03-01,315323.00000
2025-04-01,419675.00000
2025-05-01,437568.00000
2025-06-01,438362.00000
2025-07-01,470365.00000
2025-08-01,490994.00000
2025-09-01,470887.00000
2025-10-01,461562.00000
2025-11-01,340201.00000
2025-12-01,334984.00000
2026-01-01,296861.00000
2026-02-01,281495.00000
2026-03-01,339126.00000
2026-04-01,415256.00000
2026-05-01,448290.00000
2026-06-01,438574.00000
2026-07-01,468194.00000
2026-08-01,479275.00000
