date,value
2023-01-01,3883.13863
2023-02-01,3049.32901
2023-03-01,4667.82601
2023-04-01,3433.04738
2023-05-01,3436.95733
2023-06-01,3071.22670
2023-07-01,3843.72880
2023-08-01,4798.83711
2023-09-01,3554.20584
2023-10-01,3689.51042
2023-11-01,3422.10478
2023-12-01,4101.58935
2024-01-01,2374.57446
2024-02-01,5651.42476
2024-03-01,4852.70297
2024-04-01,4048.89920
2024-05-01,3196.57358
2024-06-01,3483.56574
2024-07-01,3879.98346
2024-08-01,4194.15614
2024-09-01,4514.72840
2024-10-01,4708.80186
2024-11-01,6338.60769
2024-12-01,4710.06339
2025-01-01,3862.26544
2025-02-01,4173.74133
2025-03-01,3845.87466
2025-04-01,4125.88061
2025-05-01,4529.86192
2025-06-01,5625.24807
2025-07-01,5703.34693
2025-08-01,3511.31529
2025-09-01,3569.67826
2025-10-01,4797.42693
2025-11-01,3595.23959
2025-12-01,4351.95168
2026-01-01,3166.89587
2026-02-01,3046.47811
2026-03-01,4276.60464
2026-04-01,7106.01901
2026-05-01,4196.01660
2026-06-01,5261.34310
2026-07-01,5376.71808
2026-08-01,6177.41758
