date,value
2023-01-01,6328.54932
2023-02-01,7997.90791
2023-03-01,18180.03166
2023-04-01,19684.98638
2023-05-01,21100.64704
2023-06-01,17798.85118
2023-07-01,20611.63228
2023-08-01,29069.37051
2023-09-01,21579.95758
2023-10-01,19840.55209
2023-11-01,22275.25038
2023-12-01,18234.39617
2024-01-01,11406.23866
2024-02-01,36655.47568
2024-03-01,32419.35009
2024-04-01,33000.11879
2024-05-01,28807.79540
2024-06-01,22300.57897
2024-07-01,24086.17957
2024-08-01,25049.01157
2024-09-01,35047.03235
2024-10-01,27815.59915
2024-11-01,26957.51746
2024-12-01,30839.79780
2025-01-01,26331.74315
2025-02-01,24905.91202
2025-03-01,24343.33498
2025-04-01,26662.22158
2025-05-01,27074.43821
2025-06-01,28716.38491
2025-07-01,31375.62854
2025-08-01,35605.25010
2025-09-01,33162.68902
2025-10-01,33679.15679
2025-11-01,32954.34147
2025-12-01,36768.97012
2026-01-01,22500.28454
2026-02-01,31068.57442
2026-03-01,32674.72077
2026-04-01,34618.29288
2026-05-01,30905.37030
2026-06-01,27062.99198
2026-07-01,28085.50294
2026-08-01,35248.82928
