date,value
2023-01-01,692.93997
2023-02-01,461.11381
2023-03-01,304.23664
2023-04-01,1105.81632
2023-05-01,186.26054
2023-06-01,903.21679
2023-07-01,276.46376
2023-08-01,647.60666
2023-09-01,427.12496
2023-10-01,197.13317
2023-11-01,322.61029
2023-12-01,631.97603
2024-01-01,1405.98887
2024-02-01,317.92509
2024-03-01,1014.61886
2024-04-01,220.59053
2024-05-01,884.71562
2024-06-01,552.72252
2024-07-01,385.24982
2024-08-01,691.81585
2024-09-01,406.98881
2024-10-01,862.13718
2024-11-01,317.80379
2024-12-01,193.00888
2025-01-01,714.78614
2025-02-01,1255.91905
2025-03-01,529.12387
2025-04-01,1030.11342
2025-05-01,576.86440
2025-06-01,660.21385
2025-07-01,610.84417
2025-08-01,319.88054
2025-09-01,753.56608
2025-10-01,136.62797
2025-11-01,546.89128
2025-12-01,825.13187
2026-01-01,294.48486
2026-02-01,426.86088
2026-03-01,837.36606
2026-04-01,1190.39913
2026-05-01,249.24111
2026-06-01,839.11161
2026-07-01,839.64724
2026-08-01,1435.66554
