date,value
2023-01-01,631.84110
2023-02-01,709.04386
2023-03-01,1170.60155
2023-04-01,1278.81041
2023-05-01,628.18584
2023-06-01,862.06119
2023-07-01,1048.23458
2023-08-01,958.17012
2023-09-01,1045.40229
2023-10-01,679.71666
2023-11-01,794.10134
2023-12-01,753.52498
2024-01-01,781.61522
2024-02-01,1107.17471
2024-03-01,1868.66014
2024-04-01,634.17863
2024-05-01,422.32255
2024-06-01,562.18286
2024-07-01,572.27927
2024-08-01,655.54668
2024-09-01,545.15656
2024-10-01,908.03972
2024-11-01,658.76213
2024-12-01,743.41612
2025-01-01,783.00847
2025-02-01,1457.19887
2025-03-01,1685.95706
2025-04-01,1231.85589
2025-05-01,1312.36677
2025-06-01,589.02446
2025-07-01,1595.56568
2025-08-01,1411.85257
2025-09-01,673.34113
2025-10-01,929.22474
2025-11-01,719.94797
2025-12-01,633.15002
2026-01-01,501.41630
2026-02-01,743.28216
2026-03-01,380.78780
2026-04-01,1088.12448
2026-05-01,523.49871
2026-06-01,483.07671
2026-07-01,479.76333
2026-08-01,528.48818
