date,value
2023-01-01,83.43287
2023-02-01,22.27688
2023-03-01,28.19473
2023-04-01,43.57324
2023-05-01,37.78685
2023-06-01,20.59451
2023-07-01,19.35258
2023-08-01,76.07708
2023-09-01,70.45770
2023-10-01,49.38652
2023-11-01,18.95140
2023-12-01,29.04035
2024-01-01,15.66766
2024-02-01,31.95282
2024-03-01,53.44648
2024-04-01,6.77094
2024-05-01,39.17302
2024-06-01,44.83781
2024-07-01,67.03462
2024-08-01,8.93072
2024-09-01,37.53413
2024-10-01,70.80548
2024-11-01,65.26369
2024-12-01,56.21346
2025-01-01,18.00985
2025-02-01,44.34231
2025-03-01,17.35581
2025-04-01,39.16843
2025-05-01,7.02288
2025-06-01,0.00000
2025-07-01,3.23847
2025-08-01,29.00766
2025-09-01,2318.03223
2025-10-01,32.62073
2025-11-01,0.60728
2025-12-01,39.91443
2026-01-01,0.00000
2026-02-01,26.09830
2026-03-01,4.29678
2026-04-01,23.19749
2026-05-01,38.87452
2026-06-01,6.69903
2026-07-01,4.82564
2026-08-01,4.87294
