date,value
2023-01-01,59391.81802
2023-02-01,51514.80219
2023-03-01,69470.07380
2023-04-01,62630.95037
2023-05-01,68349.03565
2023-06-01,70090.75472
2023-07-01,66401.45274
2023-08-01,73761.14727
2023-09-01,58678.01220
2023-10-01,62809.56100
2023-11-01,70648.02831
2023-12-01,59994.22600
2024-01-01,47717.31790
2024-02-01,50232.96508
2024-03-01,59306.27210
2024-04-01,45108.03056
2024-05-01,68601.64898
2024-06-01,50471.49421
2024-07-01,65615.89494
2024-08-01,54392.45576
2024-09-01,57826.78133
2024-10-01,71050.46468
2024-11-01,67580.41405
2024-12-01,68599.40249
2025-01-01,44508.92070
2025-02-01,51932.52962
2025-03-01,58206.64919
2025-04-01,55183.65606
2025-05-01,63084.35144
2025-06-01,54814.16387
2025-07-01,66303.62669
2025-08-01,65110.78151
2025-09-01,58986.84898
2025-10-01,64338.44643
2025-11-01,59049.04297
2025-12-01,66170.36241
2026-01-01,56050.15601
2026-02-01,61015.92696
2026-03-01,68587.08052
2026-04-01,77831.37109
2026-05-01,65235.16614
2026-06-01,69069.84277
2026-07-01,86925.12140
2026-08-01,64040.21316
