date,value
2023-01-01,109805.88472
2023-02-01,96755.75172
2023-03-01,143251.85316
2023-04-01,134739.50133
2023-05-01,142918.74296
2023-06-01,123843.49301
2023-07-01,101970.66514
2023-08-01,151006.62591
2023-09-01,171279.95958
2023-10-01,191831.93246
2023-11-01,161968.73074
2023-12-01,167746.55001
2024-01-01,125128.13897
2024-02-01,126617.87412
2024-03-01,136744.68224
2024-04-01,121515.97698
2024-05-01,176936.82113
2024-06-01,114686.21328
2024-07-01,215004.41064
2024-08-01,178177.81606
2024-09-01,153873.38439
2024-10-01,161516.81098
2024-11-01,126004.40490
2024-12-01,154413.71957
2025-01-01,125076.52311
2025-02-01,120020.75222
2025-03-01,138643.65822
2025-04-01,140594.57249
2025-05-01,138748.22094
2025-06-01,132403.85984
2025-07-01,155762.68616
2025-08-01,143306.34271
2025-09-01,147432.20213
2025-10-01,154986.38104
2025-11-01,129002.08204
2025-12-01,169537.44555
2026-01-01,122371.65000
2026-02-01,116899.24198
2026-03-01,140499.62430
2026-04-01,169112.44527
2026-05-01,137054.09870
2026-06-01,190095.61492
2026-07-01,184010.52835
2026-08-01,162450.74361
