date,value
2023-01-01,3680.52664
2023-02-01,2900.64871
2023-03-01,4041.60462
2023-04-01,4556.49380
2023-05-01,7184.16875
2023-06-01,6234.14217
2023-07-01,7142.54816
2023-08-01,6179.64730
2023-09-01,5163.46098
2023-10-01,5100.01263
2023-11-01,4210.97116
2023-12-01,6395.75602
2024-01-01,5956.19304
2024-02-01,3486.68910
2024-03-01,4929.73028
2024-04-01,3832.52227
2024-05-01,5793.54399
2024-06-01,3122.90118
2024-07-01,5407.82962
2024-08-01,3909.15946
2024-09-01,2862.78791
2024-10-01,3314.90945
2024-11-01,3694.32465
2024-12-01,2411.38211
2025-01-01,4731.33621
2025-02-01,3396.82545
2025-03-01,5872.87288
2025-04-01,4390.38928
2025-05-01,5466.37212
2025-06-01,3653.18871
2025-07-01,4027.10978
2025-08-01,4459.76673
2025-09-01,4681.36213
2025-10-01,5006.33351
2025-11-01,4264.69053
2025-12-01,3957.70986
2026-01-01,4308.41801
2026-02-01,3677.99199
2026-03-01,5192.17078
2026-04-01,6355.43214
2026-05-01,5067.00325
2026-06-01,4433.12424
2026-07-01,5020.35085
2026-08-01,3091.36879
