date,value
2023-01-01,1309.88297
2023-02-01,1375.24700
2023-03-01,2106.33304
2023-04-01,2408.80342
2023-05-01,2207.95160
2023-06-01,1166.43531
2023-07-01,368.84561
2023-08-01,313.38461
2023-09-01,486.10019
2023-10-01,1165.15192
2023-11-01,1876.09774
2023-12-01,3160.18086
2024-01-01,2667.61026
2024-02-01,2352.60609
2024-03-01,3181.19316
2024-04-01,4905.55582
2024-05-01,3964.82645
2024-06-01,1800.36038
2024-07-01,460.68029
2024-08-01,505.62737
2024-09-01,496.30139
2024-10-01,762.87449
2024-11-01,1495.33425
2024-12-01,2300.43624
2025-01-01,1709.16274
2025-02-01,2375.54356
2025-03-01,2606.38278
2025-04-01,3623.19439
2025-05-01,3111.98805
2025-06-01,1322.32363
2025-07-01,329.91402
2025-08-01,199.19348
2025-09-01,696.09579
2025-10-01,2333.43849
2025-11-01,1463.96232
2025-12-01,2118.77065
2026-01-01,1510.11424
2026-02-01,2806.89329
2026-03-01,6178.99503
2026-04-01,7556.69259
2026-05-01,3434.18186
2026-06-01,3032.80676
2026-07-01,689.46083
2026-08-01,460.73089
