date,value
2023-01-01,2942.16691
2023-02-01,6665.45777
2023-03-01,4780.67042
2023-04-01,4038.76787
2023-05-01,5257.31366
2023-06-01,4152.31195
2023-07-01,4397.70406
2023-08-01,4316.55137
2023-09-01,4194.41637
2023-10-01,2601.62822
2023-11-01,2132.44884
2023-12-01,3593.78350
2024-01-01,3779.29854
2024-02-01,5540.49743
2024-03-01,5876.90961
2024-04-01,5605.53605
2024-05-01,9155.67553
2024-06-01,6753.97423
2024-07-01,6962.39419
2024-08-01,5713.57709
2024-09-01,5427.24347
2024-10-01,6609.59313
2024-11-01,6406.50543
2024-12-01,7126.49580
2025-01-01,7999.44054
2025-02-01,6786.05120
2025-03-01,9924.46589
2025-04-01,9201.47395
2025-05-01,8076.05804
2025-06-01,7151.01570
2025-07-01,7870.92506
2025-08-01,8121.61787
2025-09-01,7158.11689
2025-10-01,7099.27327
2025-11-01,5125.03752
2025-12-01,6334.41518
2026-01-01,4895.44045
2026-02-01,5023.54691
2026-03-01,6144.20826
2026-04-01,8547.22517
2026-05-01,6878.47584
2026-06-01,6529.18076
2026-07-01,7873.20771
2026-08-01,5968.19118
