date,value
2023-01-01,2619.81047
2023-02-01,1930.75274
2023-03-01,2451.92979
2023-04-01,2326.94116
2023-05-01,2334.33464
2023-06-01,2179.08809
2023-07-01,1920.28233
2023-08-01,2699.23478
2023-09-01,2042.33957
2023-10-01,1702.92386
2023-11-01,1891.86394
2023-12-01,1705.63667
2024-01-01,2061.04909
2024-02-01,2205.02486
2024-03-01,1762.10856
2024-04-01,1698.86998
2024-05-01,2344.32785
2024-06-01,1949.91479
2024-07-01,1927.44604
2024-08-01,2165.04262
2024-09-01,1734.63431
2024-10-01,1719.94931
2024-11-01,2220.27458
2024-12-01,1484.55513
2025-01-01,1701.08504
2025-02-01,1923.56610
2025-03-01,1911.77925
2025-04-01,1515.84078
2025-05-01,2310.92346
2025-06-01,1584.51888
2025-07-01,1841.03536
2025-08-01,2099.11479
2025-09-01,1566.61331
2025-10-01,2090.74908
2025-11-01,2662.73099
2025-12-01,2285.50778
2026-01-01,1345.00272
2026-02-01,2142.98598
2026-03-01,1695.92776
2026-04-01,1909.06544
2026-05-01,1586.50908
2026-06-01,1480.37185
2026-07-01,1357.66594
2026-08-01,1717.01376
