date,value
2023-01-01,858.04348
2023-02-01,1155.88655
2023-03-01,2096.27649
2023-04-01,1715.54950
2023-05-01,1842.88939
2023-06-01,1401.68759
2023-07-01,1340.04252
2023-08-01,2220.67105
2023-09-01,3330.43960
2023-10-01,2347.51137
2023-11-01,2426.55995
2023-12-01,3613.44137
2024-01-01,1028.69683
2024-02-01,1673.99667
2024-03-01,808.17014
2024-04-01,1407.18235
2024-05-01,1192.52371
2024-06-01,1075.64678
2024-07-01,2269.37517
2024-08-01,2103.89824
2024-09-01,2730.17260
2024-10-01,2463.34928
2024-11-01,2447.22075
2024-12-01,1904.55647
2025-01-01,1123.36073
2025-02-01,1216.28809
2025-03-01,1093.72850
2025-04-01,1324.54806
2025-05-01,1819.18282
2025-06-01,1580.98188
2025-07-01,2004.33173
2025-08-01,2884.94384
2025-09-01,2821.61480
2025-10-01,3030.07570
2025-11-01,1748.27449
2025-12-01,1945.12481
2026-01-01,1235.70586
2026-02-01,1975.55616
2026-03-01,1158.14785
2026-04-01,2292.70483
2026-05-01,1775.79146
2026-06-01,2496.38769
2026-07-01,2429.31024
2026-08-01,2648.13954
