date,value
2023-01-01,3080.73122
2023-02-01,6278.91047
2023-03-01,4738.38273
2023-04-01,3792.99797
2023-05-01,3183.38267
2023-06-01,2206.64227
2023-07-01,2685.26344
2023-08-01,3522.77818
2023-09-01,5026.13576
2023-10-01,11396.68775
2023-11-01,17443.06105
2023-12-01,15058.57360
2024-01-01,2412.64712
2024-02-01,10100.94679
2024-03-01,5282.00403
2024-04-01,5634.30792
2024-05-01,4249.97200
2024-06-01,3155.23638
2024-07-01,2881.18987
2024-08-01,3048.92295
2024-09-01,4121.50363
2024-10-01,9520.97860
2024-11-01,12106.86459
2024-12-01,12012.86339
2025-01-01,8664.37305
2025-02-01,5882.43984
2025-03-01,4536.65303
2025-04-01,4296.55485
2025-05-01,5257.24327
2025-06-01,3377.78124
2025-07-01,6120.50694
2025-08-01,2666.53443
2025-09-01,2270.91029
2025-10-01,2678.72058
2025-11-01,2378.69222
2025-12-01,2589.06060
2026-01-01,2493.15377
2026-02-01,3001.31099
2026-03-01,3328.46995
2026-04-01,3670.09957
2026-05-01,4582.83893
2026-06-01,1919.73527
2026-07-01,2713.32478
2026-08-01,2253.59251
