date,value
2023-01-01,3061.26958
2023-02-01,2830.34650
2023-03-01,3906.97983
2023-04-01,2193.09288
2023-05-01,2735.67688
2023-06-01,2357.74745
2023-07-01,3010.96505
2023-08-01,3262.60019
2023-09-01,2621.19784
2023-10-01,2595.83212
2023-11-01,2744.91502
2023-12-01,3797.35092
2024-01-01,2986.59829
2024-02-01,3077.32201
2024-03-01,2950.30347
2024-04-01,2250.38039
2024-05-01,2951.05365
2024-06-01,1850.98261
2024-07-01,2770.56179
2024-08-01,2742.76517
2024-09-01,2171.90416
2024-10-01,2621.48651
2024-11-01,3089.96633
2024-12-01,2484.09606
2025-01-01,2258.55441
2025-02-01,2531.51476
2025-03-01,2486.15640
2025-04-01,2564.18047
2025-05-01,2357.61647
2025-06-01,2329.36312
2025-07-01,2097.11552
2025-08-01,2878.46203
2025-09-01,2291.49902
2025-10-01,2174.13267
2025-11-01,1678.10607
2025-12-01,2581.51893
2026-01-01,2651.31615
2026-02-01,2856.25801
2026-03-01,2265.05230
2026-04-01,3101.17808
2026-05-01,1650.97330
2026-06-01,2673.89371
2026-07-01,3064.93646
2026-08-01,2546.87606
