date,value
2023-01-01,487572.71018
2023-02-01,579509.22610
2023-03-01,661517.14546
2023-04-01,518987.22951
2023-05-01,660744.16836
2023-06-01,709867.63375
2023-07-01,460929.70884
2023-08-01,593823.85401
2023-09-01,472588.89469
2023-10-01,706085.09256
2023-11-01,713339.32632
2023-12-01,644942.09546
2024-01-01,493534.61892
2024-02-01,662861.65965
2024-03-01,661724.31407
2024-04-01,540089.32847
2024-05-01,724376.23643
2024-06-01,571266.62009
2024-07-01,555222.53062
2024-08-01,443097.49368
2024-09-01,614407.40368
2024-10-01,797057.46037
2024-11-01,812749.62125
2024-12-01,785869.02707
2025-01-01,585423.96231
2025-02-01,627093.06161
2025-03-01,817317.43354
2025-04-01,687151.61926
2025-05-01,848718.00619
2025-06-01,729435.67708
2025-07-01,825532.05270
2025-08-01,547439.88662
2025-09-01,874180.29592
2025-10-01,850287.30223
2025-11-01,889570.60051
2025-12-01,921264.91331
2026-01-01,588544.76521
2026-02-01,832692.98984
2026-03-01,868780.43335
2026-04-01,929460.43062
2026-05-01,891141.26074
2026-06-01,890570.59574
2026-07-01,770221.02607
2026-08-01,497779.02795
